鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區新站三路２７號七樓之２,24.05,1120906,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131024,210.77,4,2,2,有,有,15300000,85782,坡道平面,63.42,2660000,RPOQMLSJJIJGFFB08DA,88.51,0,8.92,有
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區新站三路２７號十四樓之２,24.05,1120913,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131024,179.05,4,2,2,有,有,14950000,91082,坡道平面,31.71,1530000,RPVQMLSJJIJGFFB78DA,88.51,0,8.92,有
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區新站三路２５號六樓之１,24.85,1120906,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131024,183.49,4,2,2,有,有,14270000,83937,坡道平面,31.71,1530000,RPOUMLSJJIJGFFB48DA,91.98,0,8.38,有
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區新站三路２５號三樓之３,21.04,1120927,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131024,160.51,3,2,2,有,有,12500000,86724,坡道平面,31.71,1330000,RPRRMLNKJIJGFFB08DA,77.29,0,7.85,有
大里區,房地(土地+建物),臺中市大里區至善路８巷１９弄５６號,70.06,1120915,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130301,190.75,4,3,4,有,有,19350000,101442,,0,0,RPQNMLTKKIJGFIB58DA,179.01,0,11.48,無
大里區,房地(土地+建物),臺中市大里區至善路８巷１９弄５２號,70.05,1120915,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130301,190.75,4,3,4,有,有,19350000,101442,,0,0,RPRNMLTKKIJGFIB68DA,179.01,0,11.48,無
南區,房地(土地+建物)+車位,臺中市南區東興路一段２５號二樓之６,10.35,1120925,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131009,106.68,2,2,2,有,有,11450000,122045,坡道平面,28.43,1900000,RPTOMLOLKIJGFAB77DA,48.86,0,3.49,有
大雅區,房地(土地+建物),臺中市大雅區永和路１０９之２８號,96.98,1120921,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1131108,207.88,4,3,5,有,無,20000000,96209,,0,0,RPQOMLKLKIJGFHB77DA,194.17,0,13.71,無
梧棲區,房地(土地+建物)+車位,臺中市梧棲區青年路１６６號十四樓之１,18.29,1120915,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131021,118.54,2,2,1,有,有,8600000,81930,坡道平面,29.44,1300000,RPSOMLOLKIJGFFB18DA,51.82,0,7.42,有
龍井區,房地(土地+建物)+車位,臺中市龍井區南社三街７８號四樓之８,39.05,1120917,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131104,131.89,3,2,2,有,有,11500000,93308,坡道平面,25.79,1600000,RPQOMLMJKIJGFKB08DA,67.03,0,3.35,有
龍井區,房地(土地+建物)+車位,臺中市龍井區南社三街７８號五樓之９,37.11,1120922,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131104,126.69,3,2,2,有,有,11300000,96135,坡道平面,25.79,1600000,RPUOMLMJKIJGFKB48DA,63.57,0,3.35,有
南區,房地(土地+建物)+車位,臺中市南區東興路一段２５號十樓之１２,10.1,1120926,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131009,106.31,2,2,2,有,有,12000000,129687,坡道平面,28.43,1900000,RPQOMLLMKIJGFAB27DA,48.71,0,3.38,有
外埔區,房地(土地+建物),臺中市外埔區長生路２３１號二樓之１,21.66,1120923,土地2建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130828,116.37,3,2,2,有,有,7200000,61872,,0,0,RPQNMLPJKIJGFEB67DA,83.69,0,7.69,有
