物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
基隆市七堵區明德二路三角窗金店面,基隆市七堵區明德二路,電梯大樓,28.8年,18,#NAME?,1/12樓,888 萬
基隆市安樂區凱悅名宮電梯溫馨兩房,基隆市安樂區基金一路,華廈,33.3年,31.19,2房(室)2廳2衛,3/9樓,660 萬
大武崙麥當勞旁台北大鎮社區裝潢公寓三房兩衛,基隆市安樂區基金一路,公寓,31.0年,32.19,3房(室)2廳2衛,5/5樓,498 萬
基隆市中正區正義路基隆塔旁電梯樓中樓,基隆市中正區正義路,華廈,24.3年,40.46,4房(室)2廳2衛,5/5樓,"1,088 萬"
水美幸福成家美三房 成家首選 屋況良 好即可入住,基隆市中正區觀海街,電梯大樓,26.8年,35.2,3房(室)2廳2衛,9/16樓,688 萬
海洋寧靜高樓層美三房 格局方正採光佳 臨近商圈,基隆市中正區新豐街,電梯大樓,29.6年,35.3,3房(室)2廳2衛,10/14樓,820 萬
安樂區武聖街透天別墅 鄰近外木山沙灘,基隆市安樂區武聖街,透天厝,28.3年,51.58,5房(室)2廳3衛,1~3/3樓,"1,580 萬"
基隆廟口正市區一樓蛋黃區仁二精品4房,基隆市仁愛區仁二路,公寓,56.5年,26.17,4房(室)2廳2衛,B1~1/4樓,"1,100 萬"
基隆廟口蛋黃區市區二樓仁二精品3房,基隆市仁愛區仁二路,公寓,56.5年,22.57,3房(室)2廳2衛,2/2樓,750 萬
基隆市安樂區基金一路電梯三房近62國道三,基隆市安樂區基金一路,電梯大樓,26.9年,33.92,3房(室)2廳2衛,9/12樓,798 萬
低公設大坪數景觀電梯房-稀有釋出要買要快,基隆市七堵區堵南街,華廈,31.6年,43.73,4房(室)2廳2衛,7/10樓,"1,098 萬"
東明路77巷1樓4房/露台大空間/即可入住,基隆市信義區東明路,公寓,35.4年,36.77,4房(室)2廳2衛,1/5樓,998 萬
微笑台北帝王戶可隔回四房平面車位,基隆市信義區孝東路,電梯大樓,8.0年,73.26,3房(室)2廳2衛,4/15樓,"2,350 萬"
大武崙龍邸中國電梯2房近國道3號,基隆市安樂區基金一路,華廈,28.9年,27.12,2房(室)2廳1衛,5/7樓,575 萬
近新橫濱四房華廈+另約定專有車位,基隆市中山區復興路,華廈,16.0年,60.69,4房(室)2廳3衛,5/5樓,"2,480 萬"
近新橫濱四房華廈+另約定專有車位,基隆市中山區復興路,華廈,16.0年,60.69,4房(室)2廳3衛,5/5樓,"2,480 萬"
海洋大學祥豐街公寓2樓1579到台北,基隆市中正區祥豐街,公寓,42.2年,36.74,3房(室)2廳2衛,2/5樓,628 萬
劉銘傳路20巷2樓~4樓.生活機能雅寓~免爬坡,基隆市仁愛區劉銘傳路,公寓,32.5年,35.43,4房(室)3廳2衛,2~4/4樓,858 萬
七堵區稀有電梯五房帶車位-低公設使用空間大,基隆市七堵區福一街,華廈,30.1年,51.19,5房(室)2廳4衛,2/5樓,"1,420 萬"
基隆市安樂區武隆尊貴電梯亮麗三房,基隆市安樂區武隆街,華廈,26.8年,36.21,3房(室)2廳2衛,4/7樓,798 萬
七堵稀有崇信街高投報穩定收租9套房,基隆市七堵區崇信街,公寓,45.5年,30.82,9房(室)--廳9衛,5/5樓,"1,050 萬"
基隆市中正區新豐街近愛買 電梯三房平面車位,基隆市中正區新豐街,電梯大樓,29.3年,46.99,3房(室)2廳2衛,4/11樓,938 萬
基隆市仁愛區孝一路近市區投資第一首選,基隆市仁愛區孝一路,公寓,N/A,4,#NAME?,1/1樓,250 萬
L542 獨家安樂中學風水起家厝四房美寓,基隆市安樂區安一路,公寓,53.1年,26.45,4房(室)2廳1衛,3/4樓,328 萬
基隆市仁愛區正市區生活機能佳權利屋,基隆市仁愛區仁五路,公寓,54.3年,43.94,3房(室)2廳2衛,5/6樓,288 萬
陽光青境樓中樓+平面車位/面向二信小學/永久棟距,基隆市安樂區樂利三街,公寓,33.4年,53.86,4房(室)2廳2衛,3~4/5樓,830 萬
崇法街免整理低樓層即可住3房美屋,基隆市信義區崇法街,公寓,30.9年,30.94,3房(室)2廳1.5衛,2/5樓,638 萬
基隆市安樂區國道三號旁保護區土地,基隆市安樂區新會段,土地,N/A,--,#NAME?,#NAME?,138 萬
水美水水美3房L棟/側看海景近全家.7-11,基隆市中正區觀海街,電梯大樓,26.8年,28.84,3房(室)1廳2衛,13/16樓,698 萬
信五路.市區漂亮頂加公寓.屋美即可入住,基隆市中正區信五路,公寓,49.3年,20.34,3房(室)1廳1.5衛,4/4樓,688 萬
中正區北寧路鴻聖雙璽電梯3房車位,基隆市中正區北寧路,華廈,2.6年,77.92,3房(室)2廳2衛,5/8樓,"2,185 萬"
中正區北寧路鴻聖雙璽全新3房電梯,基隆市中正區北寧路,華廈,2.6年,64.63,3房(室)2廳2衛,3/8樓,"1,938 萬"
中正區北寧路鴻聖雙璽露臺3房電梯,基隆市中正區北寧路,華廈,2.6年,64.63,3房(室)2廳2衛,2/8樓,"2,068 萬"
中正區北寧路鴻聖雙璽露臺電梯3房,基隆市中正區北寧路,華廈,2.6年,77.92,3房(室)2廳2衛,2/8樓,"2,248 萬"
近62快速道路、近家樂福、近全聯的典雅公寓,基隆市中正區新豐街,公寓,28.9年,33.97,3房(室)2廳1.5衛,5/5樓,370 萬
基隆市中正區山海觀水美二房二衛平面車,基隆市中正區觀海街,電梯大樓,26.8年,36.07,2房(室)2廳2衛,8/16樓,626 萬
水美4房車位 海科館.潮境公園.海洋大學,基隆市中正區觀海街,電梯大樓,26.8年,50.07,4房(室)2廳1衛,5/16樓,838 萬
麥金路轟動天廈4房景觀大戶邊間採光,基隆市安樂區麥金路,電梯大樓,31.0年,53.98,4房(室)2廳2衛,6/19樓,"1,450 萬"
登輝採光屋.新豐商圈 麥當勞 潮境公園,基隆市中正區新豐街,公寓,28.9年,33.97,3房(室)2廳2衛,5/5樓,358 萬
信五路4+5樓機能美寓/空中花園/近市政府.廟口,基隆市中正區信五路,公寓,49.3年,20.34,3房(室)2廳2.5衛,4/4樓,688 萬
基隆市仁愛區南榮路前段廟口旁金店面,基隆市仁愛區南榮路,透天厝,N/A,36.05,#NAME?,1~2/2樓,"2,800 萬"
基隆市仁愛區黃金收租電梯透天店面,基隆市仁愛區愛一路,透天厝,N/A,204.97,22房(室)1廳23衛,1~4/4樓,"12,000 萬"
柏悅府旁陽光1樓/近信義市場/生活機能佳鬧中取靜,基隆市信義區義六路,公寓,52.3年,16.91,3房(室)1廳2衛,B1/4樓,798 萬
幸福成家首選低總價三房華廈美一樓,基隆市暖暖區碇內街,華廈,30.4年,38.16,3房(室)2廳2衛,1/6樓,698 萬
新豐登輝美1樓/近便利商店/麥當勞商圈,基隆市中正區新豐街,公寓,28.9年,32.15,3房(室)2廳2衛,1/5樓,798 萬
基隆市信義區法院商圈正一樓精緻裝潢 另有增建,基隆市信義區東信路,公寓,51.9年,36,#NAME?,1/4樓,"1,399 萬"
基隆市信義區法院商圈正一樓精緻裝潢 另有增建,基隆市信義區東信路,公寓,51.9年,36,#NAME?,1/4樓,"1,399 萬"
獨家銷售 碇內國小旁 四房公寓 [基隆市],基隆市暖暖區源遠路,公寓,45.2年,32.09,4房(室)2廳1衛,3/4樓,498 萬
基隆法院旁電梯二房車位 格局方正.採光佳,基隆市信義區崇法街,華廈,5.4年,38.41,2房(室)2廳1衛,3/9樓,"1,288 萬"
基隆女中、信義市場旁店面、住家、辦公1樓,基隆市信義區正信路,公寓,46.2年,40.69,#NAME?,1/6樓,"1,063 萬"
面綠景溫馨成家山海關電梯3房車免整理,基隆市中正區觀海街,電梯大樓,26.8年,46.46,3房(室)2廳2衛,11/15樓,880 萬
萬隆青田-百福重磅稀有高樓層釋出,基隆市七堵區福二街,電梯大樓,8.7年,47.86,2房(室)2廳1衛,10/15樓,"1,980 萬"
水美前區高樓層正觀海景戶+平面車位,基隆市中正區觀海街,電梯大樓,26.8年,33.9,1房(室)1廳1衛,13/16樓,599 萬
港都絕美華廈3房~近市政府.機能好,基隆市中正區中正路,華廈,37.0年,33.7,3房(室)2廳2衛,2/10樓,"1,298 萬"
基隆市仁愛區仁愛市場發財店面廟口商圈,基隆市仁愛區愛一路,華廈,38.7年,30.09,#NAME?,1/10樓,"2,500 萬"
和一路商用店住.1~4樓獨立門牌,基隆市中正區和一路,透天厝,46.8年,56.66,5房(室)5廳6衛,1~4/4樓,"1,088 萬"
暖暖稀有方正建地－極具開發潛力，投資，歡迎賞地,基隆市暖暖區暖暖段東勢坑小段,土地,N/A,--,#NAME?,#NAME?,"2,380 萬"
七堵大坪數公寓帶車位-環境清幽格局方正,基隆市七堵區堵南街,公寓,32.0年,45.84,3房(室)2廳2衛,5/5樓,720 萬
中平街美寓-使用空間大，幸福好成家,基隆市安樂區中平街,公寓,44.5年,30.86,4房(室)2廳2衛,4/4樓,498 萬
-七堵詠幸福旁高投報率收租9套房-,基隆市七堵區崇信街,公寓,45.5年,30.82,9房(室)--廳9衛,5/5樓,"1,050 萬"
基隆正義路買地送房有稅籍登記機能強,基隆市中正區正義路,公寓,N/A,34.73,3房(室)2廳2衛,5~6/6樓,288 萬
稀有東新街停車場－極具開發潛力，投資，歡迎賞地,基隆市七堵區明德段,土地,N/A,--,#NAME?,#NAME?,"1,225 萬"
百福百三街大坪數大三房生活機能屋,基隆市七堵區百三街,公寓,38.0年,35.68,3房(室)2廳2衛,5/5樓,660 萬
基隆市七堵區瑪陵坑路邊開心小農地,基隆市七堵區瑪陵坑段東勢上股小段,土地,N/A,--,#NAME?,#NAME?,188 萬
基隆市七堵區瑪陵坑路邊私徑大農地,基隆市七堵區瑪陵坑段東勢上股小段,土地,N/A,--,#NAME?,#NAME?,"2,230 萬"
(跨區)基隆海大雙拼美寓4房收租投報穩,基隆市中正區祥豐街,公寓,45.3年,26.74,4房(室)1廳3衛,5/5樓,500 萬
基隆正義路４＋５樓投資收租鈔值屋,基隆市中正區正義路,公寓,47.0年,9.29,3房(室)3廳3衛,4/4樓,388 萬
優質一樓住商通用-電商最愛，低公設使用空間大,基隆市七堵區泰安路,公寓,27.0年,96.06,4房(室)2廳2衛,1/5樓,"1,720 萬"
樂利人潮金店面,基隆市安樂區樂利三街,店面,35.0年,63.02,#NAME?,B1~1/7樓,"1,880 萬"
E1💖廟口稀有土地方正🍎增值潛力佳👍,基隆市仁愛區仁三路,土地,84.4年,--,#NAME?,#NAME?,230 萬
基隆市中正區萬家興稀有低樓層3F,基隆市中正區新豐街,公寓,28.9年,31.43,3房(室)2廳1衛,3/5樓,528 萬
基隆市信義區微笑台北商圈旁花墅透天,基隆市信義區深澳坑路,透天厝,29.9年,46.31,4房(室)3廳3衛,1~3/3樓,988 萬
基隆市信義區正信路前段近市區美裝2樓,基隆市信義區正信路,公寓,41.6年,29.04,3房(室)2廳2衛,2/5樓,698 萬
基隆市中山區德安家康邊間採光透天,基隆市中山區德安路,透天厝,19.0年,87.26,5房(室)4廳4衛,B1~4/4樓,"1,980 萬"
基隆市仁愛區仁三路電梯商務卡拉OK,基隆市仁愛區仁三路,華廈,39.4年,30.65,#NAME?,4/7樓,988 萬
基隆市暖暖區暖暖街松泉美4房+雙車位,基隆市暖暖區暖暖街,華廈,20.8年,51.55,4房(室)2廳4衛,2/10樓,"1,680 萬"
基隆市信義區花源一街空氣清新休閒美3房,基隆市信義區花源一街,公寓,35.8年,39.05,3房(室)2廳2衛,2/5樓,698 萬
基隆市信義區花源一街空氣清新休閒美3房,基隆市信義區花源一街,公寓,35.8年,39.05,3房(室)2廳2衛,2/5樓,698 萬
基隆市仁愛區延平街亮麗裝潢1F離塵不離城,基隆市仁愛區延平街,公寓,56.3年,30.32,3房(室)1廳2衛,1/4樓,"1,150 萬"
基隆市信義區東信路小家庭可愛3樓美寓,基隆市信義區東信路,公寓,43.9年,21.54,3房(室)2廳1衛,3/5樓,528 萬
基隆市仁愛區市中心廟口商圈美透店,基隆市仁愛區仁三路,不限,24.8年,97.99,3房(室)2廳5衛,1~5/5樓,"7,300 萬"
基隆市信義區東信路稀有電梯美四房,基隆市信義區東信路,華廈,32.5年,41.04,4房(室)2廳2衛,4/6樓,"1,050 萬"
基隆市復興路新橫濱亮麗生活便利2房,基隆市中山區復興路,電梯大樓,2.9年,24.98,2房(室)1廳1衛,5/14樓,990 萬
基隆市中山區中山二路兩戶打通景觀美寓,基隆市中山區中山二路,公寓,39.3年,53.52,4房(室)2廳3衛,5/5樓,890 萬
基隆市安樂區國揚大地3樓亮麗美屋,基隆市安樂區基金一路,公寓,29.5年,30.57,3房(室)2廳2衛,3/5樓,680 萬
基隆市中正區新豐街太平洋包租四套房,基隆市中正區新豐街,公寓,42.5年,24.51,4房(室)--廳4衛,1/4樓,598 萬
基隆市仁愛區光華國宅稀有中區3房,基隆市仁愛區成功一路,電梯大樓,28.3年,46.86,3房(室)2廳2衛,2/14樓,"1,428 萬"
基隆市安樂區安和一街6巷生活便利美寓,基隆市安樂區安和一街,公寓,45.2年,24.76,3房(室)1廳1衛,5/5樓,508 萬
基隆市安樂區新西街平地免爬坡三房,基隆市安樂區新西街,公寓,51.4年,20.78,3房(室)1廳2衛,4/4樓,438 萬
基隆市中山區新橫濱2夢悅城二房車位,基隆市中山區復興路,電梯大樓,1.7年,34.85,2房(室)1廳1衛,8/13樓,"1,198 萬"
信義區深澳坑路民生世界成家首選3房,基隆市信義區深澳坑路,公寓,30.4年,28.01,3房(室)1廳2衛,4/4樓,438 萬
基隆市仁愛區光華國宅溫馨成家3房,基隆市仁愛區成功一路,電梯大樓,28.3年,48.25,3房(室)2廳2衛,7/14樓,"1,399 萬"
🌊我愛海洋城市之基隆文心大香港景觀美妝三房,基隆市信義區深澳坑路,電梯大樓,29.5年,29.18,3房(室)2廳2衛,6/16樓,558 萬
基隆市信義區麗景江山前區三房平車,基隆市信義區深溪路,華廈,30.4年,64.36,3房(室)2廳2衛,2/7樓,"1,020 萬"
基隆市中和路乙種工業區廠辦大樓 ( II ),基隆市安樂區中和路,廠房,51.3年,359.78,#NAME?,5/10樓,"9,280 萬"
基隆市中和路乙種工業區廠辦大樓 ( I ),基隆市安樂區中和路,廠房,51.3年,343.47,#NAME?,4/10樓,"8,890 萬"
基隆市中山區新橫濱2夢悅城全新店面(十),基隆市中山區復興路,電梯大樓,1.7年,60.58,#NAME?,1/13樓,"3,665 萬"
基隆市安樂區楓林小橋一期機能美屋,基隆市安樂區基金一路,華廈,30.6年,45.18,4房(室)2廳2衛,7/7樓,998 萬
基隆市中山區新橫濱2夢悅城全新店面(九),基隆市中山區復興路,電梯大樓,1.7年,80.53,#NAME?,1/13樓,"4,962 萬"
基隆市中山區新橫濱2夢悅城全新店面(八),基隆市中山區復興路,電梯大樓,1.7年,109.14,#NAME?,1/22樓,"5,066 萬"
基隆市中山區新橫濱2夢悅城全新店面(七),基隆市中山區復興路,電梯大樓,1.7年,57.48,#NAME?,1/13樓,"3,478 萬"
基隆市中山區新橫濱2夢悅城全新店面(六),基隆市中山區復興路,電梯大樓,1.7年,83.24,#NAME?,1/22樓,"4,121 萬"
基隆市中山區新橫濱2夢悅城全新店面(五),基隆市中山區復興路,電梯大樓,1.7年,110.51,#NAME?,1/13樓,"4,637 萬"
基隆市中山區新橫濱2夢悅城全新店面(四),基隆市中山區復興路,電梯大樓,1.7年,61,#NAME?,1/13樓,"3,691 萬"
基隆市中山區新橫濱2夢悅城全新店面(三),基隆市中山區復興路,電梯大樓,1.7年,62.94,#NAME?,1/13樓,"3,808 萬"
基隆市中山區新橫濱2夢悅城全新店面(二),基隆市中山區復興路,電梯大樓,1.7年,71.01,#NAME?,1/13樓,"4,297 萬"
基隆市中山區新橫濱2夢悅城全新店面(一),基隆市中山區復興路,不限,1.7年,80.05,#NAME?,1/13樓,"3,963 萬"
基隆市微笑台北居高臨下面中庭三房+車位,基隆市信義區孝東路,電梯大樓,8.0年,62.82,3房(室)2廳2衛,15/15樓,"1,888 萬"
基隆市微笑台北居高臨下面中庭三房+車位,基隆市信義區孝東路,電梯大樓,8.0年,62.82,3房(室)2廳2衛,15/15樓,"1,888 萬"
基隆市安樂區喜市4房1F鬧中取靜,基隆市安樂區中和路,電梯大樓,28.4年,24.31,4房(室)1廳2衛,1/11樓,758 萬
基隆市安樂區陽光故鄉寧靜樸實一樓,基隆市安樂區基金一路,華廈,32.1年,45.56,4房(室)2廳2衛,1/7樓,"1,188 萬"
基隆市信義區東信路2樓住家辦公兩相宜,基隆市信義區東信路,公寓,49.6年,13.52,#NAME?,2/4樓,298 萬
基隆市中正區我泉山莊高檔義大利風三房平車,基隆市中正區新豐街,華廈,12.1年,90.11,3房(室)3廳3衛,3/6樓,"2,680 萬"
基隆市信義區信義大街景觀明亮三房,基隆市信義區東光路,公寓,29.9年,32.48,3房(室)2廳2衛,5/5樓,398 萬
基隆市信義區微笑台北機能社區三房平車,基隆市信義區孝東路,電梯大樓,8.0年,53.25,3房(室)2廳2衛,10/15樓,"1,600 萬"
基隆市中正區新豐街碧海收租四套房車位,基隆市中正區新豐街,電梯大樓,28.9年,46.05,4房(室)--廳4衛,11/23樓,938 萬
基隆大香港山海景觀第一排精品套房大車位,基隆市信義區深澳坑路,電梯大樓,29.5年,23.35,#NAME?,15/16樓,598 萬
基隆市中正區早安國揚前區美2房加車位,基隆市中正區新豐街,華廈,4.0年,34.88,2房(室)2廳1衛,2/9樓,958 萬
基隆市中正區基隆塔旁電梯四房樓中樓,基隆市中正區正義路,華廈,24.3年,40.46,4房(室)2廳2衛,5/5樓,"1,088 萬"
基隆市中正區水美便利一樓三房平車,基隆市中正區觀海街,電梯大樓,26.8年,46.26,3房(室)2廳2衛,1/15樓,838 萬
基隆市安樂區九如社區稀有電梯套房,基隆市安樂區樂利二街,電梯大樓,26.8年,10.72,#NAME?,2/12樓,358 萬
基隆市中山區新橫濱旁精裝景觀3樓美寓,基隆市中山區復興路,公寓,45.0年,30.1,3房(室)2廳2衛,3/4樓,598 萬
基隆市安樂區天母綠墅三代同堂溫馨別墅,基隆市安樂區樂利三街,透天厝,25.6年,59.89,4房(室)3廳2衛,1~3/3樓,"1,188 萬"
武昌街陽光幸福三樓 好停車 圓夢成家屋,基隆市中正區武昌街,公寓,29.8年,32.21,3房(室)2廳2衛,3/3樓,438 萬
新橫濱旁全民一家裝潢3房（長租車位可換約）,基隆市中山區復興路,公寓,31.0年,32.82,3房(室)2廳2衛,5/5樓,458 萬
孝一路牛仔街口精緻三房超值便利屋,基隆市仁愛區孝一路,公寓,50.6年,19.15,3房(室)1廳1衛,4/4樓,598 萬
百福社區市中心近市場採光佳精美3房,基隆市七堵區百五街,公寓,43.0年,43.36,3房(室)2廳2衛,4/5樓,950 萬
信義區培德路低樓層方正格局採光明亮屋優質地段,基隆市信義區培德路,公寓,35.3年,32.81,3房(室)2廳2衛,3/5樓,598 萬
樂一路 看風景烤肉有天有地的小透天,基隆市安樂區樂一路,公寓,63.8年,13.7,2房(室)1廳1衛,1/1樓,215 萬
巴賽隆納大三房面中庭面林蔭通風採光佳,基隆市中正區新豐街,電梯大樓,27.9年,36.77,3房(室)2廳2衛,3/17樓,830 萬
孝一路三角窗旁店面穩定長期收租中,基隆市仁愛區孝一路,公寓,46.9年,11.67,1房(室)--廳1衛,1/4樓,"1,180 萬"
愛一路 絕對超稀有釋出穩定長期收租中,基隆市仁愛區愛一路,電梯大樓,29.1年,82.65,8房(室)2廳2衛,4/11樓,"3,380 萬"
愛一路 穩定收租中的稀有電梯超大戶,基隆市仁愛區愛一路,電梯大樓,29.1年,82.65,10房(室)2廳2衛,3/11樓,"3,280 萬"
(專)暖暖幸福華城低總價輕鬆成家2房,基隆市暖暖區碇內街,華廈,30.2年,30.02,2房(室)2廳2衛,6/6樓,398 萬
新橫濱2夢悅城景觀裝潢2房+車位,基隆市中山區復興路,電梯大樓,1.7年,35.59,2房(室)1廳1衛,2/22樓,"1,388 萬"
基隆女中旁1樓市區學區交通便利宅,基隆市信義區正信路,公寓,50.2年,22.35,2房(室)2廳2衛,1/4樓,398 萬
海洋大學世界高樓層電梯三房通風棒,基隆市中正區新豐街,電梯大樓,29.6年,35.3,3房(室)2廳2衛,10/14樓,798 萬
培德路平地絕美裝潢三房通風採光超棒,基隆市信義區培德路,公寓,47.3年,26.49,3房(室)2廳2衛,4/4樓,498 萬
中平街邊間景觀精緻美寓採光通風超棒,基隆市安樂區中平街,公寓,47.1年,38.58,4房(室)2廳2衛,4/4樓,538 萬
中平街邊間景觀精緻美寓採光通風超棒,基隆市安樂區中平街,公寓,47.1年,38.58,4房(室)2廳2衛,4/4樓,538 萬
東信路稀有低樓層四房近東光國小成家小資首選,基隆市信義區東信路,公寓,43.5年,27.69,4房(室)2廳1衛,3/5樓,480 萬
和平島稀有邊間1樓採光明亮美3房,基隆市中正區和二路,公寓,43.0年,22.09,3房(室)2廳1衛,1/5樓,428 萬
安樂區麥金路優質店面稀有釋出錯過不再,基隆市安樂區麥金路,電梯大樓,32.8年,41.46,#NAME?,1/12樓,"4,500 萬"
暖暖碇內街超低總價絕美山景採光屋,基隆市暖暖區碇內街,公寓,42.6年,24.95,3房(室)2廳2衛,4/4樓,380 萬
大慶大城 稀有邊間三面採光 溫馨四房,基隆市安樂區,公寓,30.8年,42.5,4房(室)2廳2衛,2/5樓,688 萬
七堵友一段農地 適合養老養草還養心,基隆市七堵區友一段,土地,N/A,--,#NAME?,#NAME?,320 萬
大慶一樓精緻裝潢+全新整地下室好停車,基隆市安樂區中和路,公寓,30.7年,65.4,5房(室)2廳3衛,1/5樓,"1,160 萬"
新豐街商圈 海洋世界高樓層漂亮裝潢3房,基隆市中正區新豐街,電梯大樓,29.6年,34.04,3房(室)2廳2衛,15/15樓,798 萬
國家新城台北生活家無限採光大兩房,基隆市安樂區樂利三街,華廈,34.1年,25.16,2房(室)1廳1衛,7/7樓,598 萬
真心推薦國家新城近公車總站便利屋,基隆市安樂區樂利三街,公寓,46.9年,24.05,3房(室)2廳2衛,4/4樓,480 萬
陽光清境優質房大廳大4房加平面車位,基隆市安樂區樂利三街,公寓,33.4年,44.49,4房(室)2廳2衛,4/5樓,698 萬
水美安穩首選海景2房+車位社區生活機能宅,基隆市中正區觀海街,電梯大樓,26.8年,33.9,2房(室)1廳2衛,10/16樓,698 萬
火車站旁.全新完工.稀有地段平地一手屋,基隆市中山區中山二路,華廈,0.6年,41.51,3房(室)2廳2衛,2/7樓,"2,283 萬"
深澳坑路稀有釋出4房樓中樓挑高客廳,基隆市信義區深澳坑路,公寓,31.2年,39.33,4房(室)2廳3衛,4/5樓,498 萬
稀有釋出南新街低樓層低總價成家屋,基隆市仁愛區南新街,公寓,47.3年,23.93,2房(室)2廳1衛,3/3樓,298 萬
麗景江山四+五樓 稀有邊間 老闆的家,基隆市信義區深溪路,華廈,26.7年,77.52,6房(室)4廳3衛,4~5/7樓,"1,780 萬"
基隆無敵海景兩房車˙零遮蔽浪漫視野!,基隆市中山區華興街,華廈,18.7年,34.89,2房(室)2廳1衛,7/8樓,798 萬
基隆市中心近中正公園三房華夏好屋有車位,基隆市中正區信六路,華廈,28.5年,60.88,3房(室)2廳2衛,4/10樓,"1,558 萬"
安樂路一段正路邊二樓小資成家首選,基隆市安樂區安樂路一段,公寓,38.0年,13.67,2房(室)1廳1衛,2/5樓,550 萬
復興路統一新城1+2樓+地下室精裝3房備有車庫,基隆市中山區復興路,公寓,43.8年,34.37,3房(室)3廳3衛,1/5樓,"1,088 萬"
中正路前段平地精裝絕美大四房非頂樓,基隆市中正區中正路,公寓,40.7年,32.96,4房(室)1廳2衛,4/5樓,598 萬
水美前區正三房+平面車位出價來談,基隆市中正區觀海街,電梯大樓,26.8年,42.16,3房(室)1廳2衛,2/16樓,858 萬
M482  基隆商圈傳奇鋼骨29樓景觀餐廳,基隆市中正區信一路,電梯大樓,24.7年,229.97,#NAME?,29/33樓,"8,600 萬"
基隆市七堵百福市中心地點佳.4樓公寓,基隆市七堵區福一街,公寓,47.2年,24.77,5房(室)2廳2衛,4/4樓,598 萬
M481  基隆商圈傳奇鋼骨15樓景觀餐廳,基隆市中正區信一路,電梯大樓,24.7年,256.93,#NAME?,15/33樓,"9,400 萬"
安樂國小旁全新整理精美兩房．頂樓加蓋套房,基隆市安樂區樂一路,公寓,36.2年,28.37,2房(室)1廳1衛,5/5樓,698 萬
幸福華城前區精美一樓加地下兒童游樂區,基隆市暖暖區碇內街,華廈,30.4年,38.16,3房(室)1廳2衛,1/6樓,698 萬
東光路旁大氣二樓 信義國中的優質學區屋,基隆市信義區東光路,公寓,37.1年,30.54,3房(室)2廳1衛,2/5樓,528 萬
水美首選美三房 無敵景觀屋+平面車位,基隆市中正區觀海街,電梯大樓,26.8年,46.46,3房(室)1廳2衛,11/15樓,880 萬
水美前區全新精緻裝潢 高樓層景觀屋,基隆市中正區觀海街,電梯大樓,26.8年,34.06,3房(室)1廳2衛,12/16樓,890 萬
水美前區全新精緻裝潢 高樓層景觀屋,基隆市中正區觀海街,電梯大樓,26.8年,34.06,3房(室)1廳2衛,12/16樓,890 萬
仁愛區孝三路店面.透天.收租投資好選擇,基隆市仁愛區孝三路,透天厝,94.8年,50.38,2房(室)5廳4衛,1~3/3樓,"3,380 萬"
東明路39巷內 全新整理三房兩廳兩陽台,基隆市信義區東明路,公寓,48.8年,25.03,3房(室)2廳1衛,4/4樓,428 萬
孔雀開屏雙併高樓層景觀大戶自住投資兩相宜,基隆市安樂區基金一路,電梯大樓,30.8年,78.31,5房(室)3廳3衛,12/12樓,"1,650 萬"
台北大國吉祥區全新整理馬上入主三房+車位,基隆市安樂區武嶺街,華廈,29.7年,39.33,3房(室)2廳2衛,3/7樓,"1,038 萬"
A崇德路基隆港景觀美三房+頂佳1房1衛,基隆市安樂區崇德路,公寓,44.3年,32.42,4房(室)2廳3衛,4/4樓,538 萬
近廟口華四街4房雙主臥+頂佳3房2衛,基隆市仁愛區華四街,公寓,52.3年,25.94,7房(室)2廳5衛,4/4樓,868 萬
西定路前區7-11巷子4樓(頂樓增建),基隆市中山區西定路,公寓,30.7年,19.77,2房(室)1廳2衛,4/4樓,580 萬
真善美典雅柚木美妝屋加坡平大車位,基隆市安樂區樂利二街,華廈,30.2年,53.83,4房(室)2廳2衛,5/7樓,"1,350 萬"
國花壹樓絕讚兩戶打通多功能使用｜住家、辦公、倉儲,基隆市安樂區基金一路,公寓,30.2年,76.75,4房(室)5廳3衛,1/6樓,"1,888 萬"
南榮路邊全新收租三套房.稀有釋出值得擁有,基隆市仁愛區南新街,公寓,54.1年,23.8,3房(室)--廳3衛,4/4樓,368 萬
★★★喜市前區三房挑高美屋★★★,基隆市安樂區中和路,電梯大樓,28.4年,34.39,3房(室)2廳2衛,3~4/22樓,598 萬
基隆市仁愛區正火車站收租高投報旅社,基隆市仁愛區孝四路,公寓,59.6年,110.71,21房(室)2廳14衛,2~5/5樓,"5,900 萬"
中山一路近火車站平地3樓海景三房,基隆市中山區中山一路,公寓,44.7年,34.3,3房(室)2廳2衛,3/5樓,630 萬
中山區通仁街建地有未辦保存登記建物及門牌,基隆市中山區仁德段,土地,N/A,--,#NAME?,#NAME?,795 萬
信義區近快速道路民生世界低樓層2樓,基隆市信義區深澳坑路,公寓,30.4年,21.28,3房(室)2廳2衛,2/4樓,488 萬
仁愛區平地近三坑火車站旁精美電梯3房,基隆市仁愛區南榮路,華廈,30.1年,25.84,3房(室)2廳2衛,2/8樓,850 萬
大慶7弄7一11正對面全新裝潢精美大三房,基隆市安樂區中和路,公寓,28.9年,39.06,3房(室)2廳2衛,5/5樓,520 萬
大武崙前段明湖免千萬透天門前可停車,基隆市安樂區基金一路,透天厝,42.1年,34.78,5房(室)2廳2衛,1~3/3樓,858 萬
