鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
鳳山區,房地(土地+建物)+車位,高雄市鳳山區工協街７１號三樓,52.25,1130926,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010605,208.27,4,2,2,有,有,15100000,72502,坡道平面,0,0,RPRNMLRJJIJGFGE38DA,117.16,0,12.65,有
楠梓區,房地(土地+建物),高雄市楠梓區常德路２４０巷２３弄５５號,37.54,1130906,土地1建物1車位0,一層，二層，騎樓,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830201,180.19,0,3,2,有,有,11500000,63822,,0,0,RPPNMLPLKIJGFEE18EA,159.88,1.61,0,有
前金區,房地(土地+建物),高雄市前金區育才街４號,39.25,1130909,土地1建物1車位0,一層，騎樓，地下層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0650123,144.06,0,0,0,無,無,12450000,86422,,0,0,RPROMLPLKIJGFAE97DA,144.06,0,0,無
鹽埕區,房地(土地+建物),高雄市鹽埕區大仁路２６０巷１６號２樓之１,26.83,1130903,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680811,75.6,3,2,1,有,無,4500000,59524,,0,0,RPPNMLQLKIJGFAE77DA,75.6,0,0,無
三民區,房地(土地+建物),高雄市三民區春陽街１１６號五樓,18.12,1130915,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0731011,82.8,3,0,3,有,無,6250000,75483,,0,0,RPVOMLTLIIJGFDE88DA,77.02,2.26,3.52,無
橋頭區,房地(土地+建物)+車位,高雄市橋頭區橋都路９２號十七樓之６,17.13,1130917,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100303,140.47,3,1,2,有,有,14100000,100377,坡道平面,27.89,0,RPPQMLSKRHJGFFE66DA,64.62,0,7.38,有
仁武區,房地(土地+建物),高雄市仁武區霞海路３５０巷２３號,85.46,1130925,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土,1061030,224.24,6,2,5,有,無,23580000,105155,,0,0,RPTOMLNLKIJGFIE78DA,207.15,0,16.97,無
湖內區,房地(土地+建物),高雄市湖內區長壽路９５巷８號二樓之６,19.16,1130922,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130822,76.74,2,2,2,有,無,6350000,82747,,0,0,RPUNMLPLKIJGFJE09DA,51.22,0,5.97,有
美濃區,房地(土地+建物),高雄市美濃區民權路３之１號,114.1,1130920,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,206.29,5,2,5,有,無,12500000,60594,,0,0,RPRNMLQJKIJGFKE78DA,199.04,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之３號,113.34,1130920,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,206.29,5,2,5,有,無,12500000,60594,,0,0,RPSNMLRJKIJGFKE98DA,199.04,0,7.25,無
