鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
桃園區,房地(土地+建物)+車位,桃園市桃園區朝陽街３６９號十九樓,23.77,1110212,土地1建物1車位1,十九層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140102,190.43,3,2,2,有,有,21550000,123537,坡道平面,29.75,1700000,RPROMLLKKHKGFAH77DA,96.04,0,10.08,有
桃園區,房地(土地+建物)+車位,桃園市桃園區朝陽街３６３號十九樓,27.92,1110226,土地1建物1車位1,十九層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140102,218.52,3,2,2,有,有,25600000,126344,坡道平面,29.75,1750000,RPWNMLMKKHKGFAH28DA,107.59,0,17.07,有
中壢區,房地(土地+建物)+車位,桃園市中壢區正光一街５號五樓,24.95,1110227,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,157,3,2,2,有,無,14760000,107777,坡道平面,37.68,1900000,RPPTMLTJNHKGFBH56DA,73.9,0,7.15,有
中壢區,房地(土地+建物)+車位,桃園市中壢區正光一街１號五樓,24.88,1110227,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,159.96,3,2,2,有,無,14720000,107776,坡道平面,41.01,1900000,RPWOMLNKNHKGFBH88DA,73.65,0,7.15,有
龍潭區,房地(土地+建物)+車位,桃園市龍潭區龍城路１３０號十樓之２,26.39,1110219,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140110,126.2,2,2,2,有,有,7740000,62035,坡道平面,24,1400000,RPRPMLSLLHKGFCH98DA,62.49,0,7.03,有
蘆竹區,房地(土地+建物),桃園市蘆竹區機捷路二段７５２號四樓,12.47,1110212,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140311,51.57,1,1,1,有,無,4980000,96568,,0,0,RPPNMLMJOHKGFEH28DA,29.74,0,3.83,有
中壢區,房地(土地+建物)+車位,桃園市中壢區青雲路１１６號三樓之１１,7.65,1110219,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1131211,84.04,0,0,1,有,有,9140000,151184,坡道平面,35.49,1800000,RPXPMLLKOHKGFBH98DA,31.92,0,0,有
龜山區,房地(土地+建物)+車位,桃園市龜山區文桃路４８９號六樓之２,15.3,1110212,土地1建物1車位1,六層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131227,175.99,3,2,2,有,有,15010000,99358,坡道平面,45.05,2000000,RPSNMLLKOHKGFHH88DA,81.86,0,5.27,有
大園區,房地(土地+建物)+車位,桃園市大園區學二街２４８號十樓,33.27,1110215,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140218,141.41,3,1,2,有,有,9000000,70166,坡道平面,34.52,1500000,RPXNMLMKOHKGFEH66EA,63.77,0,9.13,有
大園區,房地(土地+建物)+車位,桃園市大園區文治路６０號十一樓,29.46,1110221,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140218,129.17,3,1,2,有,有,8460000,73006,坡道平面,34.52,1550000,RPQOMLMKOHKGFEH68EA,58.02,0,6.54,有
大園區,房地(土地+建物)+車位,桃園市大園區學二街２５２號七樓,23.04,1110228,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140218,108.25,2,1,1,有,有,6880000,72291,坡道平面,34.52,1550000,RPSOMLMKOHKGFEH88EA,45.87,0,4.33,有
中壢區,房地(土地+建物)+車位,桃園市中壢區松義路２９號十九樓,19.67,1110205,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130906,207.22,3,2,2,有,有,16600000,89380,坡道平面,37.16,1400000,RPTRMLQKOHKGFBH66DA,100.92,0,9.6,有
大園區,房地(土地+建物)+車位,桃園市大園區致成路５８號五樓之２,31.75,1110227,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140326,171.89,3,2,2,有,有,18350000,125499,坡道平面,39.22,1700000,RPVPMLQKOHKGFEH96DA,79.88,0,8.08,有
中壢區,房地(土地+建物),桃園市中壢區青雲路１１８號三樓之１３,7.65,1110225,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1131211,48.55,0,0,1,有,有,7490000,154274,,0,0,RPQPMLRKOHKGFBH88DA,31.92,0,0,有
中壢區,房地(土地+建物)+車位,桃園市中壢區領航南路三段４０８號十七樓,12.15,1110212,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140407,110.63,2,2,2,有,有,13370000,137493,坡道平面,26.48,1800000,RPRPMLTJMHKGFBH88DA,50.81,0,4.9,有
龍潭區,房地(土地+建物)+車位,桃園市龍潭區民治路１２２號七樓之２０,8.47,1110207,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140423,81.58,1,1,1,有,有,5180000,73082,坡道平面,23.7,950000,RPVUMLOKNHKGFCH96DA,32.59,0,3.43,有
龍潭區,房地(土地+建物)+車位,桃園市龍潭區民治路１２２號七樓之２２,15.29,1110215,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140423,128.21,2,2,2,有,有,8500000,72242,坡道平面,23.7,950000,RPWWMLOKNHKGFCH27DA,58.95,0,5.99,有
龍潭區,房地(土地+建物),桃園市龍潭區民治路１２２號七樓之１９,8.42,1110207,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140423,57.73,1,1,1,有,有,4220000,73099,,0,0,RPWUMLPKNHKGFCH17DA,32.59,0,3.28,有
龜山區,房地(土地+建物)+車位,桃園市龜山區文桃路４８９號八樓之７,10.47,1110204,土地1建物1車位1,八層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131227,135.93,2,2,1,有,有,11260000,96941,坡道平面,41.44,2100000,RPTPMLPLOHKGFHH07DA,56.05,1.59,5.23,有
