鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０１號九樓,14.58,商,,,1121104,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,163.76,3,2,2,有,有,15400000,101270,坡道平面,27.49,1600000,預售屋、或土地及建物分件登記案件；,RPORMLPJLHKGFBH28DA,82.79,2.13,6.39,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０９號五樓,13.4,商,,,1121111,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,152.53,3,2,2,有,有,12940000,90691,坡道平面,27.49,1600000,預售屋、或土地及建物分件登記案件；,RPSNMLRJLHKGFBH48DA,78.26,1.81,3.73,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路９９號十三樓,10.03,商,,,1121122,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,120.99,2,2,2,有,有,10200000,98930,坡道機械,27.49,950000,預售屋、或土地及建物分件登記案件；,RPVNMLPLPHKGFBH56DA,56.65,2.13,3.79,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０７號十一樓,10.08,商,,,1121125,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,121.29,2,2,1,有,有,10750000,97548,坡道平面,27.49,1600000,預售屋、或土地及建物分件登記案件；,RPOSMLQJLHKGFBH48DA,55.95,2.13,4.79,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１９號四樓,11.79,商,,,1121116,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,137.49,3,2,2,有,有,11410000,91455,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPXNMLKKLHKGFBH38DA,67.84,1.7,4.09,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１９號七樓,11.79,商,,,1121126,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,137.49,3,2,2,有,有,11840000,95364,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPPOMLKKLHKGFBH67DA,67.84,1.7,4.09,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路９５號八樓,14.64,商,,,1121114,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,164.4,3,2,2,有,有,14350000,91301,坡道平面,27.49,1850000,預售屋、或土地及建物分件登記案件；,RPSOMLNKQHKGFBH78DA,85.35,2.47,3.84,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０７號十六樓,10.08,商,,,1121111,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,121.29,2,2,1,有,有,10530000,97868,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPSSMLQJLHKGFBH88DA,55.95,2.13,4.79,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１２３號十五樓,10.29,商,,,1121120,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,123.63,2,2,1,有,有,10520000,95382,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPQSMLKKLHKGFBH18DA,56.83,1.2,6.32,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０７號八樓,10.08,商,,,1121001,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,121.29,2,2,1,有,有,10460000,97122,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPWRMLQJLHKGFBH56DA,55.95,2.13,4.79,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１２７號七樓,14.8,商,,,1121007,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,169.41,3,2,2,有,有,15050000,96765,坡道平面,30.93,1650000,預售屋、或土地及建物分件登記案件；,RPOQMLLKOHKGFBH18DA,83.31,2.55,6.81,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０５號八樓,10.29,商,,,1121027,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,122.29,2,2,1,有,有,11020000,101528,坡道平面,26.06,1250000,預售屋、或土地及建物分件登記案件；,RPWPMLQJLHKGFBH98DA,58.24,2.3,3.91,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路９５號四樓,14.64,商,,,1121018,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,164.4,3,2,2,有,有,13300000,86188,坡道平面,27.49,1500000,預售屋、或土地及建物分件登記案件；,RPSNNLKKLHKGFBH97DA,85.35,2.47,3.84,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０９號十一樓,13.4,商,,,1121015,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,152.53,3,2,2,有,有,13140000,93090,坡道平面,27.49,1500000,預售屋、或土地及建物分件登記案件；,RPUPMLRKLHKGFBH98DA,78.26,1.81,3.73,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１２３號八樓,10.29,商,,,1121026,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,122.19,2,2,1,有,有,10450000,95704,坡道平面,26.06,1250000,預售屋、或土地及建物分件登記案件；,RPORMLKKLHKGFBH87DA,56.83,1.2,6.32,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０１號四樓,14.58,商,,,1121001,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,163.76,3,2,2,有,有,13800000,90629,坡道平面,27.49,1450000,預售屋、或土地及建物分件登記案件；,RPTPMLPJLHKGFBH58DA,82.79,2.13,6.39,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０１號十四樓,14.58,商,,,1121028,土地1建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,163.76,3,2,2,有,有,14830000,98921,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPURMLPJLHKGFBH88DA,82.79,2.13,6.39,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０３號十四樓,10.94,商,,,1121030,土地1建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,132.65,2,2,2,有,有,11400000,98801,坡道平面,30.93,1350000,預售屋、或土地及建物分件登記案件；,RPRUMLPJLHKGFBH88DA,62.28,1.75,4.19,有,
