鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３７號十三樓之１,24.88,1101227,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,174.19,4,2,2,有,有,15800000,96413,坡道平面,25.87,1500000,RPSPMLLKQHKGFJB88DA,88.43,0,9.81,有
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３７號十三樓之２,21.85,1101226,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,157.65,3,2,2,有,有,13540000,91670,坡道平面,27.4,1600000,RPTPMLLKQHKGFJB98DA,76.55,0,9.74,有
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３９號十四樓之３,21.08,1101224,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,153.09,3,2,2,有,有,13000000,91495,坡道平面,27.4,1500000,RPWPMLLKQHKGFJB66DA,74.49,0,8.77,有
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３７號十五樓之１,24.88,1101228,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,175.72,4,2,2,有,有,16000000,96413,坡道平面,27.4,1700000,RPXPMLLKQHKGFJB76DA,88.43,0,9.81,有
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３９號十五樓之３,21.08,1101226,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,153.09,3,2,2,有,有,13460000,94359,坡道平面,27.4,1600000,RPPQMLLKQHKGFJB68DA,74.49,0,8.77,有
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３９號十五樓之２,21.85,1101228,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,185.05,3,2,2,有,有,16000000,96737,坡道平面,54.8,3400000,RPRQMLLKQHKGFJB88DA,76.55,0,9.74,有
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區正德路８０號二樓之６,37.18,1101221,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140627,127.61,3,2,2,有,有,10258745,85485,坡道平面,25.15,1500000,RPOOMLRJQHKGFFB48DA,64.67,0,3.34,有
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區正德路８０號四樓之６,37.18,1101220,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140627,115.05,3,2,2,有,有,9716752,86051,坡道機械,12.59,900000,RPSOMLRJQHKGFFB88DA,64.67,0,3.34,有
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區正德路８０號四樓之７,37.18,1101228,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140627,127.61,3,2,2,有,有,10308851,85974,坡道平面,25.15,1500000,RPTOMLRJQHKGFFB98DA,64.67,0,3.34,有
梧棲區,房地(土地+建物)+車位,臺中市梧棲區四維中路８之３號三樓之６,13.03,1101211,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,143.95,3,2,2,有,有,6190000,46966,坡道平面,28.76,780000,RPORMLSKQHKGFFB98DA,70.89,0,6.25,有
南屯區,房地(土地+建物),臺中市南屯區永春南路７９３號,165.82,1101220,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1140211,314.83,3,1,6,有,有,33500000,106407,,0,0,RPXRMLKLQHKGFCB88DA,282.75,0,11.73,有
東勢區,房地(土地+建物)+車位,臺中市東勢區文新二街３３號六樓之５,35.25,1101203,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140417,150.36,3,2,2,有,有,9200000,67722,坡道平面,32.23,1200000,RPRNMLMLQHKGFGB48DA,71.8,0,7.63,有
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大同街２８６號二樓之１,15.29,1101224,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140626,94.59,2,1,2,有,有,6790000,69798,坡道機械,10.92,950000,RPQTMLRJQHKGFFB56DA,51.26,0,3.89,有
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大同街２８６號二樓之２,18.16,1101224,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140626,127.39,3,1,2,有,有,7700000,64051,坡道平面,28.25,1350000,RPRTMLRJQHKGFFB66DA,57.03,0,8.49,有
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大同街２８６號二樓之３,13.06,1101224,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140626,82.51,2,1,1,有,有,5690000,70401,坡道機械,10.92,650000,RPSTMLRJQHKGFFB76DA,42.72,0,4.72,有
