鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
三重區,房地(土地+建物)+車位,新北市三重區三賢街８５號七樓,25.82,住,,,1101128,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,155.32,3,2,2,有,有,22450000,168318,坡道平面,36.2,2400000,預售屋、或土地及建物分件登記案件；,RPRNMLPLPHKGFGF09DA,67.46,0,9.93,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街８５號十四樓,25.82,住,,,1101110,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,155.32,3,2,2,有,有,23180000,175285,坡道平面,36.2,2300000,預售屋、或土地及建物分件登記案件；,RPSNMLPLPHKGFGF56DA,67.46,0,9.93,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街８７號,28.78,住,,,1101110,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1140522,179.85,0,1,1,有,有,39700000,299108,坡道平面,55.48,2500000,預售屋、或土地及建物分件登記案件；,RPTNMLPLPHKGFGF66DA,86.12,0,0,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街８７號十四樓,32.28,住,,,1101110,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,184.96,3,2,2,有,有,29690000,184122,坡道平面,36.2,2300000,預售屋、或土地及建物分件登記案件；,RPWNMLPLPHKGFGF96DA,87.85,0,8.75,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街８９號十四樓,23.4,住,,,1101110,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,143.96,3,2,2,有,有,22150000,184206,坡道平面,36.2,2300000,預售屋、或土地及建物分件登記案件；,RPPOMLPLPHKGFGF98DA,61.45,0,8.51,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街９１號三樓,19.63,住,,,1101121,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,126.33,2,2,1,有,有,18250000,179186,坡道平面,36.2,2100000,預售屋、或土地及建物分件登記案件；,RPQOMLPLPHKGFGF09DA,53.44,0,5.04,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街８７號三樓,32.28,住,,,1101118,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,184.96,3,2,2,有,有,27990000,172694,坡道平面,36.2,2300000,預售屋、或土地及建物分件登記案件；,RPSOMLPLPHKGFGF66DA,87.85,0,8.75,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街９１號九樓,19.63,住,,,1101108,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,126.33,2,2,1,有,有,18300000,178631,坡道平面,36.2,2200000,預售屋、或土地及建物分件登記案件；,RPTOMLPLPHKGFGF76DA,53.44,0,5.04,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街８９號十三樓,23.4,住,,,1101124,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,143.96,3,2,2,有,有,21950000,183278,坡道平面,36.2,2200000,預售屋、或土地及建物分件登記案件；,RPUOMLPLPHKGFGF86DA,61.45,0,8.51,有,
三重區,房地(土地+建物)+車位,新北市三重區三賢街９７號四樓,27.43,住,,,1101122,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140522,162.6,3,2,2,有,有,23380000,167563,坡道平面,36.2,2200000,預售屋、或土地及建物分件登記案件；,RPPSMLSLPHKGFGF07DA,73.7,0,8.4,有,
