物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
降3千萬電梯別墅,台北市內湖區民權東路六段 墅琴,透天厝,18.9年,建坪230.15,9房(室)6廳8衛(含加蓋3房(室)4廳5.5衛),1~4/4樓,"13,800 萬"
師大附中菁選集,台北市大安區信義路三段 菁選集,套房,18.3年,建坪11.78,1房(室)1廳1衛,3/14樓,"2,000 萬"
上林苑稀有面公園,台北市信義區青雲街 挹翠山莊,透天厝,39.6年,建坪102.90,4房(室)2廳6衛(含加蓋1房(室)1廳4衛),1~3/3樓,"7,980 萬"
華固學府三房坡車,台北市大安區復興南路二段 華固大安學府,住宅大樓,0.7年,建坪56.13,3房(室)2廳2衛,10/23樓,"8,800 萬"
華固後棟四房坡車,台北市大安區復興南路二段 華固大安學府,住宅大樓,0.7年,建坪67.25,4房(室)2廳2衛,5/23樓,"9,988 萬"
名人巷綠蔭美三房,台北市大安區敦化南路一段 萬代福鳳座,華廈,48.1年,建坪48.37,3房(室)2廳2衛,5/7樓,"6,998 萬"
金華國中管理美妝,台北市大安區新生南路一段 大安滕,住宅大樓,4.5年,建坪20.65,3房(室)2廳1衛(含加蓋2房(室)--廳--衛),2/12樓,"3,368 萬"
元大公園挑高美妝,台北市大安區新生南路一段 元大公園賞,辦公商業大樓,27.8年,建坪14.58,1房(室)2廳1衛(含加蓋1房(室)--廳1衛),11/11樓,"2,750 萬"
松江收租都更三樓,台北市中山區松江路,公寓,41.8年,建坪36.32,5房(室)2廳3衛(含加蓋1房(室)1廳1衛),3/5樓,"3,088 萬"
三普安和景觀美屋,台北市大安區復興南路一段 三普安和大樓,住宅大樓,43.6年,建坪33.27,2房(室)2廳1衛,16/16樓,"4,380 萬"
安和捷運低總小宅,台北市大安區信義路四段 曼哈頓(信義),辦公商業大樓,29.3年,建坪13.52,1房(室)1廳1衛,3/12樓,"1,650 萬"
大安捷運景觀小宅,台北市大安區復興南路二段 朝代金站,辦公商業大樓,30.1年,建坪13.92,1房(室)1廳1衛,8/11樓,"1,688 萬"
大安捷運鋼骨邊間,台北市大安區復興南路二段 大安釀,住宅大樓,5.2年,建坪17.55,1房(室)2廳1衛,6/15樓,"2,598 萬"
中正區透天好便宜,台北市中正區汀州路一段,透天厝,62.4年,建坪22.50,4房(室)2廳2衛(含加蓋--房(室)1廳2衛),1/1樓,"2,388 萬"
天玉街全新屋兩房,台北市士林區天玉街 天鈺,辦公商業大樓,8.7年,建坪38.90,2房(室)2廳2衛,5/7樓,"3,388 萬"
三鐵東區門戶計畫,台北市南港區興華路 三鐵首馥(三鐵飛行館),住宅大樓,16.5年,建坪70.40,4房(室)2廳2衛,3/12樓,"5,500 萬"
東方林園五室平車,台北市信義區中坡南路 東方林園,其他,35.4年,建坪62.26,5房(室)2廳5衛,1~B1/7樓,"4,298 萬"
捷運採光高樓兩房,台北市內湖區文德路 湖光CD,華廈,19.5年,建坪31.92,2房(室)1廳2衛,9/10樓,"3,288 萬"
信義安和漂亮三房,台北市大安區通化街,華廈,41.3年,建坪36.50,3房(室)2廳2衛,5/7樓,"3,980 萬"
正大安路人潮店王,台北市大安區大安路一段,店面,49.7年,建坪29.02,2房(室)2廳1衛(含加蓋2房(室)1廳--衛),1/7樓,"7,588 萬"
敦南綠意極致景觀,台北市大安區敦化南路一段 信義新城,華廈,30.2年,建坪66.62,3房(室)2廳2衛,10/10樓,"8,660 萬"
政大露臺景觀豪邸,台北市文山區政大一街 雅敘緣,華廈,20.3年,建坪74.35,4房(室)2廳2衛(含加蓋--房(室)1廳--衛),6/7樓,"3,888 萬"
政大露臺景觀豪邸,台北市文山區政大一街 雅敘緣,華廈,20.3年,建坪74.35,4房(室)2廳2衛(含加蓋--房(室)1廳--衛),6/7樓,"3,888 萬"
永安學區邊間四房,台北市中山區北安路,辦公商業大樓,35.3年,建坪41.36,4房(室)2廳2衛(含加蓋--房(室)--廳1衛),4/7樓,"3,958 萬"
皇御尊爵大器名邸,台北市南港區經貿二路 永泰皇御,住宅大樓,12.9年,建坪124.27,#NAME?,6/14樓,"9,788 萬"
廣慈小金雞,台北市信義區中坡南路,辦公商業大樓,46.7年,建坪5.31,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),1/4樓,885 萬
水綠清翫客製八樓,台北市中山區北安路 水綠清翫,住宅大樓,6.6年,建坪156.34,4房(室)2廳5衛,8/17樓,"22,880 萬"
水綠清翫拾捌號戶,台北市中山區北安路 水綠清翫,住宅大樓,6.6年,建坪156.34,--房(室)2廳5衛,16/17樓,"23,725 萬"
水綠清翫拾陸號戶,台北市中山區北安路 水綠清翫,住宅大樓,6.6年,建坪156.79,--房(室)2廳5衛,16/17樓,"23,822 萬"
泰順庭院採光豪邸,台北市大安區泰順街,公寓,38.5年,建坪69.11,5房(室)4廳2衛(含加蓋2房(室)2廳1衛),B1~1/5樓,"7,288 萬"
捷運高樓遠景四房,台北市內湖區文德路 湖光CD,華廈,19.5年,建坪63.85,4房(室)2廳3衛,9/10樓,"5,758 萬"
文德遠景兩房車位,台北市內湖區文德路 湖光CD,華廈,19.5年,建坪31.92,2房(室)1廳1衛,9/10樓,"2,988 萬"
摩斯樓上萬大線,台北市萬華區青年路 青年新城,住宅大樓,38.6年,建坪40.23,4房(室)2廳2衛,9/12樓,"2,750 萬"
中正國中精美兩房,台北市中正區和平西路一段 花齊匯,住宅大樓,6.5年,建坪28.97,2房(室)1廳1衛,9/14樓,"4,418 萬"
港墘店面優質首選,台北市內湖區港墘路,店面,47.3年,建坪26.99,1房(室)1廳--衛,1/5樓,"5,488 萬"
正737連鎖店面,台北市內湖區內湖路一段,店面,46.5年,建坪22.74,--房(室)1廳1衛,1/4樓,"6,980 萬"
碧湖美景管理大廈,台北市內湖區內湖路二段 濱湖皇家,住宅大樓,42.9年,建坪94.97,4房(室)2廳3衛,10/12樓,"8,800 萬"
遠眺天際雲端豪邸,台北市內湖區內湖路三段 安縵莊園,住宅大樓,8.4年,建坪78.11,3房(室)2廳2衛,15/19樓,"7,588 萬"
