物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
開價都比實登便宜,台北市中山區南京東路二段 台北Mid town新東京宅Midtown,住宅大樓,15.1年,建坪42.22,1房(室)--廳1衛,5/18樓,"3,600 萬"
安和捷運四房仁愛,台北市大安區仁愛路四段 鴻福大樓,住宅大樓,42.2年,建坪43.11,4房(室)2廳2衛,13/14樓,"4,988 萬"
信義捷運三室車位,台北市大安區信義路四段 嘉德大樓,辦公商業大樓,45.8年,建坪44.09,3房(室)2廳2衛,6/12樓,"4,398 萬"
景觀頂家寬大空間,台北市中山區四平街,華廈,53.3年,建坪42.82,2房(室)2廳3衛(含加蓋2房(室)1廳2衛),7/7樓,"4,380 萬"
景觀兩房捷運美宅,台北市大同區延平北路一段 問鼎匯,住宅大樓,6.5年,建坪26.31,2房(室)1廳1衛,12/12樓,"3,580 萬"
近公園電梯大三房,台北市中山區四平街,華廈,53.3年,建坪42.82,2房(室)2廳3衛(含加蓋1房(室)1廳2衛),7/7樓,"4,380 萬"
近公園電梯大三房,台北市中山區四平街,華廈,53.3年,建坪42.82,2房(室)2廳3衛(含加蓋1房(室)1廳2衛),7/7樓,"4,380 萬"
公園景觀大空間,台北市中山區四平街,公寓,41.4年,建坪29.19,4房(室)3廳2衛(含加蓋2房(室)1廳2衛),5/5樓,"2,627 萬"
士科傳家車庫透天,台北市北投區文林北路,透天厝,56.3年,建坪52.02,5房(室)2廳3衛,1~2/2樓,"6,900 萬"
世貿捷運電梯三房,台北市信義區基隆路一段 忠駝國宅,住宅大樓,42.1年,建坪33.31,3房(室)2廳2衛,6/12樓,"3,358 萬"
藝術陽明基河豪邸,台北市士林區士商路 藝術陽明,住宅大樓,21.4年,建坪81.66,3房(室)2廳2衛,10/12樓,"7,450 萬"
捷運公園美妝三樓,台北市文山區辛亥路四段,公寓,43.0年,建坪28.70,3房(室)2廳2衛,3/5樓,"1,968 萬"
光點邊間高樓景觀,台北市內湖區民權東路六段 城市光點,辦公商業大樓,18.1年,建坪33.42,1房(室)2廳1衛,9/11樓,"2,988 萬"
民權西全新兩房,台北市大同區民權西路 民權首富,住宅大樓,1.5年,建坪25.60,2房(室)2廳1衛,6/15樓,"3,280 萬"
麗山面寬停車一樓,台北市內湖區麗山街,公寓,40.3年,建坪42.46,3房(室)3廳2衛(含加蓋--房(室)1廳--衛),1/5樓,"3,180 萬"
一眼瞬間國家山莊,台北市文山區辛亥路七段 國家山莊,透天厝,24.4年,建坪67.71,4房(室)3廳3衛(含加蓋--房(室)--廳1衛),1~4/4樓,"4,638 萬"
大美河景邊間二房,台北市松山區松河街 松河大美,住宅大樓,10.5年,建坪37.08,2房(室)2廳1衛,6/15樓,"3,485 萬"
宏廷富山居2房車,台北市文山區富山路 宏廷富山?,住宅大樓,1.4年,建坪29.04,2房(室)2廳1衛,8/15樓,"2,780 萬"
發現之旅森活豪邸,台北市文山區辛亥路六段 發現之旅,住宅大樓,26.2年,建坪110.40,4房(室)2廳3衛,4/19樓,"5,668 萬"
河濱靜巷三房平車,台北市文山區和興路 靜巷,華廈,20.5年,建坪43.34,3房(室)2廳1.5衛,3/8樓,"2,798 萬"
小資首選公寓三樓,台北市文山區試院路,其他,42.7年,建坪27.62,4房(室)2廳2衛(含加蓋1房(室)--廳2衛),3/7樓,"1,130 萬"
考試院堤香綠意屋,台北市文山區和興路,公寓,35.7年,建坪32.93,2房(室)2廳1衛,4/5樓,"1,480 萬"
寧靜綠莊平地二樓,台北市文山區木柵路一段 早安綠莊,公寓,42.8年,建坪22.35,2房(室)2廳1衛,2/5樓,"1,300 萬"
極美之旅大三房車,台北市文山區辛亥路六段 發現之旅,住宅大樓,26.2年,建坪77.84,3房(室)2廳2衛,8/22樓,"4,280 萬"
景美河濱電梯別墅,台北市文山區和興路 藍山,透天厝,17.0年,建坪110.78,6房(室)4廳5衛,B1~5/5樓,"7,980 萬"
木柵桃花園大透天,台北市文山區試院路,透天厝,45.2年,建坪76.92,6房(室)2廳4衛(含加蓋--房(室)--廳1衛),B1~3/3樓,"4,500 萬"
木柵典雅河濱綠地,台北市文山區和興路,公寓,45.4年,建坪23.66,3房(室)2廳1衛,4/4樓,"1,298 萬"
邊間兩房古亭捷運,台北市中正區金門街,華廈,34.9年,建坪23.94,2房(室)1廳1衛,3/5樓,"2,568 萬"
低總價世新金店面,台北市文山區試院路,華廈,21.6年,建坪17.56,--房(室)1廳1衛,1/5樓,898 萬
太子東都四房釋出,台北市信義區松山路 太子東都,住宅大樓,38.3年,建坪43.65,4房(室)2廳2衛,2/16樓,"3,868 萬"
尊榮奢華美學四房,台北市信義區崇德街,華廈,36.9年,建坪74.62,4房(室)2廳3衛,7/7樓,"5,800 萬"
美日僑學校景觀宅,台北市北投區同德街 天母MIHO,辦公商業大樓,20.0年,建坪28.72,1房(室)2廳2衛(含加蓋1房(室)--廳1衛),10/15樓,"2,528 萬"
近捷高樓景觀三房,台北市萬華區桂林路 青山郡,住宅大樓,20.2年,建坪50.31,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),10/14樓,"3,588 萬"
板南稀有電梯頂加,台北市萬華區西園路一段 龍府大廈,住宅大樓,36.8年,建坪46.49,5房(室)3廳2衛(含加蓋1房(室)1廳--衛),12/12樓,"3,950 萬"
永春博愛電梯頂加,台北市信義區忠孝東路五段 海華,華廈,40.8年,建坪35.13,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),7/7樓,"4,180 萬"
鋼骨捷運河景露臺,台北市萬華區康定路 台北晶麒,住宅大樓,9.5年,建坪53.44,3房(室)2廳2衛,20/26樓,"4,500 萬"
中山超級便宜兩房,台北市中山區林森北路 林森京品,華廈,25.0年,建坪12.96,2房(室)1廳1衛(含加蓋1房(室)1廳--衛),8/8樓,980 萬
中山超級便宜兩房,台北市中山區林森北路 林森京品,華廈,25.0年,建坪12.96,2房(室)1廳1衛(含加蓋1房(室)1廳--衛),8/8樓,980 萬
公園大空間三樓,台北市萬華區環河南路二段,公寓,42.1年,建坪30.88,4房(室)2廳1.5衛,3/5樓,"1,480 萬"
首購族電梯三房,台北市信義區松山路 永春樓,住宅大樓,41.4年,建坪26.50,3房(室)2廳1衛,4/15樓,"2,088 萬"
站前文華露台戶,台北市南港區興華路 東方文華,辦公商業大樓,20.4年,建坪27.18,1房(室)2廳2衛(含加蓋1房(室)--廳1衛),2/10樓,"2,350 萬"
東方大地高樓三房,台北市南港區興華路 東方大地,住宅大樓,35.8年,建坪41.59,3房(室)2廳2衛,10/13樓,"3,800 萬"
南港站前昇之陽,台北市南港區興華路 昇之陽,辦公商業大樓,28.1年,建坪43.34,3房(室)2廳2衛,5/18樓,"3,988 萬"
東區粉圓二樓住辦,台北市大安區忠孝東路四段 太平洋華園,華廈,47.4年,建坪40.27,6房(室)1廳2衛,2/7樓,"4,180 萬"
大安裝潢車庫一樓,台北市大安區樂利路,公寓,43.6年,建坪33.59,3房(室)2廳2衛,1/5樓,"4,480 萬"
仁愛樹景管理四房,台北市大安區仁愛路四段 安和鑽石,住宅大樓,48.5年,建坪48.51,4房(室)2廳2衛,2/12樓,"5,880 萬"
雙子星高樓住辦,台北市大同區重慶北路二段 企業新都心大廈,辦公商業大樓,35.2年,建坪64.23,4房(室)3廳3衛(含加蓋3房(室)1廳1衛),12/12樓,"4,698 萬"
大安電梯樹海三房,台北市大安區安和路二段 春暉華廈,華廈,41.9年,建坪35.24,3房(室)2廳2衛,5/7樓,"4,288 萬"
公園管理美妝四房,台北市松山區民生東路三段 福之鄉民生,華廈,42.4年,建坪49.50,4房(室)2廳2衛,5/7樓,"4,950 萬"
士林可談極稀透天,台北市士林區明溪街 中央社區,透天厝,49.5年,建坪32.19,3房(室)2廳2衛,1~2/2樓,"1,880 萬"
璞園天玉露臺美宅,台北市士林區天玉街 璞園天玉,住宅大樓,1.0年,建坪60.66,3房(室)2廳2衛,2/14樓,"5,980 萬"
公寓價買電梯,台北市文山區辛亥路五段 台企大樓,華廈,42.2年,建坪24.97,2房(室)2廳1衛,2/8樓,"1,799 萬"
樹景庭院露營電梯,台北市文山區萬芳路 涵碧園,住宅大樓,17.3年,建坪50.52,3房(室)2廳2衛,2/15樓,"4,188 萬"
華固松疆稀有三房,台北市中山區松江路 華固松疆,住宅大樓,11.2年,建坪132.18,3房(室)2廳3衛,6/21樓,"14,600 萬"
大直永安四房河景,台北市中山區明水路 大直儒園,華廈,30.6年,建坪71.70,4房(室)2廳2衛,4/7樓,"5,980 萬"
輝達商一方正三樓,台北市士林區福港街,公寓,49.8年,建坪30.86,3房(室)2廳1衛,3/4樓,"2,400 萬"
市府層峰電梯美屋,台北市信義區松信路 永順大樓,住宅大樓,43.8年,建坪33.59,2房(室)2廳2衛,12/12樓,"2,800 萬"
信義安和挑高極品,台北市大安區通化街 安和賞,華廈,17.8年,建坪28.04,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),4/7樓,"3,399 萬"
大安美妝靜巷透天,台北市大安區通化街,透天厝,35.0年,建坪33.42,2房(室)2廳3衛,1~3/3樓,"2,599 萬"
新敦化站五房坡車,台北市大安區敦化南路一段,華廈,49.1年,建坪83.77,5房(室)2廳3衛,2/6樓,"7,998 萬"
信義安和精美一樓,台北市大安區通化街,公寓,49.0年,建坪19.38,2房(室)1廳2衛(含加蓋--房(室)--廳1衛),1/4樓,"2,300 萬"
奇岩霸景天上人間,台北市北投區奇岩路 天硯,華廈,24.0年,建坪110.61,4房(室)2廳3衛(含加蓋1房(室)--廳--衛),4~5/6樓,"4,500 萬"
北投平面車位美寓,台北市北投區公舘路,公寓,35.3年,建坪58.43,3房(室)2廳2衛,4/5樓,"2,568 萬"
大安管理捷運美套,台北市大安區基隆路二段 睿泰美,辦公商業大樓,4.7年,建坪13.67,1房(室)1廳1衛,2/9樓,"1,650 萬"
五期米蘭苑面公園,台北市內湖區新富街 米蘭苑,住宅大樓,13.4年,建坪127.70,3房(室)2廳3衛,4/14樓,"12,688 萬"
家美金融景觀美辦,台北市信義區忠孝東路五段 家美金融,辦公商業大樓,32.2年,建坪72.08,6房(室)1廳1衛,15/27樓,"6,680 萬"
挑高美妝3房有車,台北市中山區建國北路一段 京硯,住宅大樓,12.3年,建坪62.62,4房(室)2廳2衛(含加蓋2房(室)--廳--衛),9/13樓,"5,688 萬"
捷運超大露台坡車,台北市中山區南京東路三段 南京御邸,住宅大樓,4.9年,建坪59.72,2房(室)2廳2衛,2/20樓,"8,890 萬"
捷運超大露台坡車,台北市中山區南京東路三段 南京御邸,住宅大樓,4.9年,建坪59.72,2房(室)2廳2衛,2/20樓,"8,890 萬"
採光方正住辦配車,台北市中山區民生東路三段 廣陽天下,華廈,29.7年,建坪27.38,1房(室)2廳1衛(含加蓋--房(室)1廳--衛),8/9樓,"2,188 萬"
捷運美妝純住2房,台北市中山區南京東路三段 南京御邸,住宅大樓,4.9年,建坪42.28,2房(室)2廳2衛,2/20樓,"5,860 萬"
松江南京精美套房,台北市中山區長安東路一段 第五街大廈,套房,47.4年,建坪10.19,1房(室)--廳1衛,7/7樓,888 萬
財庫景觀三房坡車,台北市北投區自強街 臻盛英倫,住宅大樓,16.1年,建坪59.48,3房(室)2廳2衛,8/14樓,"5,880 萬"
西湖美寓採光三房,台北市內湖區內湖路一段,公寓,45.0年,建坪38.62,3房(室)2廳1衛,5/5樓,"2,350 萬"
聖荷西．豪邸五房,台北市中山區堤頂大道二段 聖荷西花園,住宅大樓,22.0年,建坪119.21,5房(室)2廳3衛,4/11樓,"10,180 萬"
近松江南京小品,台北市中山區林森北路 波麗露,華廈,13.8年,建坪13.02,3房(室)1廳1衛(含加蓋2房(室)--廳--衛),2/7樓,"1,388 萬"
力行頂級裝潢豪邸,台北市文山區一壽街 太子大第,住宅大樓,33.3年,建坪105.71,6房(室)2廳4衛(含加蓋1房(室)--廳--衛),10~11/15樓,"5,380 萬"
天母管理漂亮三房,台北市北投區天母西路 天母新城,華廈,41.3年,建坪52.46,3房(室)2廳2衛,4/7樓,"4,350 萬"
近大安電梯美屋,台北市文山區和平東路四段,華廈,31.1年,建坪33.29,3房(室)2廳2衛,3/7樓,"2,068 萬"
明湖大空間雅寓,台北市內湖區民權東路六段,公寓,37.2年,建坪37.32,5房(室)4廳3衛(含加蓋2房(室)2廳1衛),5/5樓,"2,588 萬"
國泰仁愛精緻四房,台北市大安區仁愛路四段,華廈,41.2年,建坪42.94,4房(室)2廳2衛,4/7樓,"4,688 萬"
捷運青安小資美宅,台北市文山區興德路 芳朵,住宅大樓,10.3年,建坪10.04,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),3/12樓,"1,188 萬"
麗山學區邊間三房,台北市內湖區環山路二段,公寓,44.1年,建坪32.83,3房(室)2廳2衛,3/5樓,"2,250 萬"
降價580萬四房,台北市士林區天母東路,公寓,46.4年,建坪38.99,4房(室)2廳2衛,2/5樓,"1,788 萬"
捷運管理美屋兩房,台北市中正區忠孝東路一段 自由之丘,住宅大樓,19.0年,建坪25.47,2房(室)2廳1衛,9/13樓,"4,199 萬"
採光公園兩房車位,台北市中山區合江街 泰碁合江街華廈,住宅大樓,8.0年,建坪30.06,2房(室)2廳1衛(含加蓋2房(室)--廳--衛),3/11樓,"2,980 萬"
民生面寬獨戶辦公,台北市中山區民生東路一段,辦公商業大樓,31.8年,建坪83.67,4房(室)2廳4衛(含加蓋--房(室)--廳1衛),10/11樓,"7,500 萬"
大砌皇鼎4房坡車,台北市士林區德行東路 皇鼎儷園二期,華廈,18.4年,建坪71.31,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),7/10樓,"7,380 萬"
天母國小首選一樓,台北市士林區天母北路 天母晴園,華廈,36.3年,建坪55.42,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),B1~1/5樓,"3,580 萬"
萬隆捷運藝術城堡,台北市文山區興隆路一段 所羅門花園,住宅大樓,34.8年,建坪77.67,3房(室)3廳3衛,2~4/11樓,"5,988 萬"
全陽豐會霸景坡車,台北市士林區中山北路五段 全陽豐會,住宅大樓,1.1年,建坪83.54,4房(室)2廳2衛,16/18樓,"9,980 萬"
安和琢寓坡車一樓,台北市大安區安和路二段,華廈,0.4年,建坪30.35,#NAME?,B1~1/5樓,"4,310 萬"
中庭花園管理雙車,台北市松山區光復北路 太子敦園,住宅大樓,20.8年,建坪78.93,3房(室)2廳2衛,7/11樓,"7,500 萬"
低總價電梯兩房,台北市內湖區文湖街 大直碧雲天,華廈,34.4年,建坪25.56,2房(室)1廳1衛,4/7樓,"2,298 萬"
港墘麗山純一樓,台北市內湖區環山路三段 綠揚福村,公寓,44.8年,建坪35.86,3房(室)2廳2衛,1/5樓,"2,600 萬"
山水相映捷運三房,台北市文山區木柵路四段,公寓,44.7年,建坪32.85,5房(室)4廳2衛(含加蓋2房(室)2廳1衛),5/5樓,"1,498 萬"
俯瞰湖景美妝四房,台北市內湖區內湖路二段 濱湖皇家,住宅大樓,42.9年,建坪67.38,4房(室)2廳3衛,4/12樓,"5,280 萬"
濱湖景觀三房車位,台北市內湖區內湖路二段 濱湖皇家,住宅大樓,42.9年,建坪93.04,3房(室)3廳3衛,7/12樓,"7,650 萬"
公寓三樓有管理,台北市內湖區環山路三段 綠揚福村,公寓,44.8年,建坪34.14,3房(室)2廳2衛,3/5樓,"2,180 萬"
公寓三樓有管理,台北市內湖區環山路三段 綠揚福村,公寓,44.8年,建坪34.14,3房(室)2廳2衛,3/5樓,"2,180 萬"
仁愛星河管理三房,台北市大安區仁愛路四段 星河雲河華廈,華廈,49.4年,建坪48.23,3房(室)2廳2衛,4/7樓,"5,300 萬"
南京京鼎高樓四房,台北市中山區南京東路二段 德運京鼎,住宅大樓,7.8年,建坪66.91,4房(室)2廳2衛,10/24樓,"8,898 萬"
磐琚天母三房坡車,台北市北投區行義路 天母公園別墅,華廈,12.6年,建坪50.47,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),4/5樓,"3,450 萬"
邊間方正採光四房,台北市北投區行義路 天母名宮,公寓,40.0年,建坪42.06,4房(室)2廳2衛,5/5樓,"1,580 萬"
專約勿擾麗山二房,台北市內湖區內湖路一段 巷上雲海,華廈,15.8年,建坪26.99,2房(室)1廳1衛,4/9樓,"2,168 萬"
兩房裝潢車位捷運,台北市士林區文林路 囍堂,住宅大樓,12.6年,建坪24.52,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),12/13樓,"2,966 萬"
國寶高樓三房車位,台北市北投區雙全街 國寶花園,住宅大樓,18.4年,建坪55.69,3房(室)2廳2衛,10/13樓,"4,588 萬"
捷運旁精裝小宅,台北市中山區林森北路 佳昌大廈,套房,29.2年,建坪18.37,1房(室)1廳1衛,10/10樓,"1,380 萬"
風雅靜巷森鄰美居,台北市內湖區內湖路三段 安縵莊園,住宅大樓,8.5年,建坪56.45,2房(室)2廳1衛,6/19樓,"4,800 萬"
稀有庭院裝潢美邸,台北市內湖區金龍路 璞園偕樂,住宅大樓,10.4年,建坪66.49,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),1/11樓,"7,200 萬"
大安核心市景豪邸,台北市大安區忠孝東路三段 台北之星Diamond Towers,住宅大樓,3.5年,建坪180.17,--房(室)1廳--衛,24/30樓,"39,225 萬"
穩定收租松江金店,台北市中山區松江路,店面,47.8年,建坪203.69,--房(室)2廳3衛(含加蓋--房(室)1廳3衛),B1~1/11樓,"16,900 萬"
璞真作奢華琚苑,台北市大安區忠孝東路四段 璞真作,華廈,8.8年,建坪26.46,1房(室)1廳1衛,8/10樓,"4,588 萬"
中山核心露臺二房,台北市大同區南京西路 中山M1,華廈,13.9年,建坪38.92,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),9/9樓,"5,688 萬"
森活綠境四房雙車,台北市大安區復興南路二段 夏朵,華廈,18.2年,建坪92.37,4房(室)2廳2衛,5/8樓,"10,888 萬"
精裝兩房近古亭,台北市中正區水源路 翠堤灣/巨流河,住宅大樓,6.5年,建坪40.32,2房(室)2廳2衛,2/15樓,"4,068 萬"
敦南樹海一景美妝,台北市大安區敦化南路一段 信義新城,華廈,30.2年,建坪66.62,3房(室)2廳2衛,7/10樓,"8,188 萬"
市府高樓景觀2房,台北市信義區基隆路一段 信義國際,住宅大樓,11.9年,建坪29.49,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),10/13樓,"2,980 萬"
大巨蛋雙車一樓,台北市大安區延吉街 龍門大廈,華廈,43.6年,建坪41.34,3房(室)2廳2衛,1/6樓,"4,680 萬"
西園吉祥電梯大戶,台北市萬華區西園路二段,華廈,11.1年,建坪92.54,4房(室)2廳3衛,6/9樓,"6,600 萬"
青安首購邊間大套,台北市中山區新生北路三段 真善美,住宅大樓,44.4年,建坪13.40,--房(室)1廳1衛,5/12樓,"1,126 萬"
貴族一房小豪宅,台北市松山區三民路 泰無限,住宅大樓,11.2年,建坪21.30,1房(室)1廳1衛,2/11樓,"2,150 萬"
北市千萬內小透天,台北市萬華區環河南路二段,透天厝,#NAME?,建坪10.36,2房(室)1廳1衛(含加蓋--房(室)--廳1衛),1~2/2樓,960 萬
敦化環球管理高樓,台北市松山區敦化北路 敦化環球,華廈,42.5年,建坪46.20,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),7/7樓,"4,890 萬"
立功美裝車位好宅,台北市松山區延壽街 立功國宅,住宅大樓,19.3年,建坪51.80,3房(室)2廳2衛,3/11樓,"4,658 萬"
民生頂客電梯管理,台北市松山區三民路 民生頂客,套房,29.9年,建坪14.96,1房(室)1廳1衛,3/5樓,"1,568 萬"
中正景觀電梯三房,台北市中正區福州街 南海頤荷園,華廈,37.0年,建坪36.52,3房(室)2廳2衛,6/7樓,"2,900 萬"
近萬芳再興首購宅,台北市文山區興隆路三段,公寓,43.6年,建坪34.66,4房(室)3廳3衛(含加蓋1房(室)1廳1衛),5/5樓,"1,368 萬"
捷運公園管理美寓,台北市文山區辛亥路四段 南方庭園,公寓,39.3年,建坪32.46,3房(室)2廳2衛,2/5樓,"1,888 萬"
大同中學挑高兩房,台北市中山區長春路 基泰高更,辦公商業大樓,27.8年,建坪13.56,3房(室)1廳1衛(含加蓋3房(室)--廳--衛),4/10樓,"1,988 萬"
大同中學挑高兩房,台北市中山區長春路 基泰高更,辦公商業大樓,27.8年,建坪13.56,3房(室)1廳1衛(含加蓋3房(室)--廳--衛),4/10樓,"1,988 萬"
大直紅點全新落成,台北市中山區植福路 大直紅點,辦公商業大樓,1.2年,建坪43.16,--房(室)1廳--衛,9/11樓,"3,780 萬"
高樓邊間美四房,台北市內湖區康樂街,公寓,38.3年,建坪37.59,4房(室)2廳2衛,5/5樓,"1,800 萬"
羅馬邊間大車位,台北市中山區樂群二路 羅馬假期,辦公商業大樓,17.3年,建坪21.51,--房(室)1廳1衛,6/11樓,"1,888 萬"
雅璞涵館漂亮露臺,台北市中山區堤頂大道二段 雅璞涵館,辦公商業大樓,14.8年,建坪65.45,3房(室)2廳2衛,3/10樓,"5,688 萬"
JR捷座稀有上市,台北市萬華區和平西路三段 JR捷座,住宅大樓,14.6年,建坪27.50,2房(室)2廳1衛,8/13樓,"2,688 萬"
睿泰川矅全新兩房,台北市中正區詔安街 睿泰川曜,住宅大樓,1.5年,建坪38.82,2房(室)2廳1.5衛,9/11樓,"3,250 萬"
士北科高樓五房車,台北市士林區承德路四段 領袖圓山-藏鋒,住宅大樓,23.1年,建坪91.20,5房(室)2廳2衛,3/14樓,"7,688 萬"
學區名紳三房坡車,台北市內湖區東湖路 濱湖名紳,華廈,30.4年,建坪41.15,3房(室)2廳1.5衛,4/8樓,"2,800 萬"
中正銅山靜巷車庫,台北市中正區銅山街,辦公商業大樓,42.6年,建坪56.20,6房(室)3廳2衛(含加蓋3房(室)1廳--衛),B1~1/6樓,"6,250 萬"
薇閣邊間渡假美宅,台北市北投區中山路 天月,住宅大樓,22.8年,建坪30.58,1房(室)2廳1衛,8/25樓,"2,188 萬"
靜心悠居三房車位,台北市文山區興隆路二段 迎風賞,華廈,15.9年,建坪47.07,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),2/9樓,"3,488 萬"
稀有景觀溫泉兩房,台北市北投區溫泉路 泉之鄉,華廈,48.0年,建坪20.06,2房(室)2廳1衛,7/7樓,820 萬
東門捷運新三房,台北市大安區信義路二段 大安A+,華廈,11.8年,建坪33.98,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),5/6樓,"5,500 萬"
陽光悠活邊間兩房,台北市文山區福興路 蒙娜麗莎花園,公寓,33.9年,建坪22.07,2房(室)2廳1衛,5/5樓,"1,388 萬"
中正金華車庫三房,台北市大安區信義路二段,公寓,49.3年,建坪31.00,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),1/4樓,"5,880 萬"
朝南山景電梯三房,台北市內湖區康寧路一段 警智新村,住宅大樓,26.4年,建坪41.46,3房(室)2廳2衛,8/12樓,"3,080 萬"
金爵騎仕寧靜庭院,台北市內湖區內湖路一段 金爵騎仕,華廈,1.2年,建坪13.01,1房(室)1廳1衛,1/6樓,"1,698 萬"
中山捷運管理好,台北市中山區中原街 七喜大廈,華廈,48.3年,建坪9.81,1房(室)1廳1衛,6/7樓,"1,158 萬"
富錦街花園景觀,台北市松山區富錦街 聯合二村富錦,公寓,58.4年,建坪45.34,3房(室)3廳3衛(含加蓋1房(室)1廳1衛),4/4樓,"4,988 萬"
鄰近大直美屋車位,台北市內湖區文湖街 大直新貴,華廈,22.4年,建坪28.59,3房(室)2廳1衛,2/8樓,"2,288 萬"
信義安和裝潢美屋,台北市大安區通安街,公寓,45.7年,建坪20.79,2房(室)2廳1衛(含加蓋--房(室)--廳1衛),3/5樓,"2,168 萬"
敦南雙拼電梯華廈,台北市大安區敦化南路二段,華廈,41.3年,建坪36.82,3房(室)2廳2衛,2/7樓,"4,500 萬"
敦南安和管理名廈,台北市大安區安和路二段 雙橡園華廈,華廈,43.8年,建坪54.60,3房(室)2廳3衛,2/7樓,"5,488 萬"
大同皇家四房坡車,台北市大同區敦煌路 大同世界皇家特區,住宅大樓,17.4年,建坪71.62,4房(室)2廳2衛,4/15樓,"5,880 萬"
捷運森活陽光宅邸,台北市文山區木柵路四段 富邦大樓,住宅大樓,31.9年,建坪30.91,2房(室)2廳1衛,9/12樓,"2,388 萬"
天母仰格三房車位,台北市士林區中山北路五段 天母仰格,住宅大樓,1.4年,建坪74.79,3房(室)2廳2衛,6/17樓,"6,488 萬"
市府大透天首選,台北市信義區永吉路,透天厝,36.0年,建坪35.67,7房(室)4廳3衛(含加蓋1房(室)1廳--衛),1~3/3樓,"3,580 萬"
市府站邊間三房,台北市信義區忠孝東路五段 春秋大廈,住宅大樓,42.3年,建坪35.69,5房(室)2廳3衛(含加蓋2房(室)--廳1衛),14/14樓,"5,500 萬"
忠孝市府電梯兩房,台北市信義區忠孝東路五段 忠孝101,住宅大樓,11.1年,建坪36.40,2房(室)2廳1.5衛(含加蓋1房(室)--廳0.5衛),6/13樓,"5,388 萬"
正馬路改建潛力寓,台北市信義區忠孝東路五段,公寓,53.6年,建坪24.71,3房(室)3廳3衛(含加蓋1房(室)1廳1衛),4/4樓,"3,700 萬"
正馬路改建潛力寓,台北市信義區忠孝東路五段,公寓,53.6年,建坪24.71,3房(室)3廳3衛(含加蓋1房(室)1廳1衛),4/4樓,"3,700 萬"
市府高樓景觀兩房,台北市信義區忠孝東路五段 忠孝101,住宅大樓,11.1年,建坪36.40,2房(室)2廳2衛(含加蓋1房(室)--廳1衛),10/13樓,"6,200 萬"
大巨強美妝大三房,台北市信義區忠孝東路四段,華廈,34.7年,建坪42.99,3房(室)2廳2衛,4/6樓,"4,480 萬"
市府方正四房美寓,台北市信義區永吉路,公寓,39.8年,建坪45.49,4房(室)2廳2衛,4/5樓,"3,600 萬"
稀有市府景觀豪邸,台北市信義區忠孝東路五段 忠孝101,住宅大樓,11.1年,建坪36.40,1房(室)3廳2衛(含加蓋1房(室)--廳1衛),11/13樓,"5,988 萬"
文創好停車一樓,台北市信義區松隆路,華廈,42.1年,建坪34.62,3房(室)2廳2衛,1/7樓,"4,280 萬"
近捷運公寓四房讚,台北市中山區民生東路二段,公寓,55.7年,建坪29.62,4房(室)2廳1.5衛,3/4樓,"2,338 萬"
市府美妝小資首選,台北市信義區忠孝東路五段 101富裔館,華廈,16.2年,建坪9.97,1房(室)--廳1衛,5/7樓,"1,650 萬"
世貿獨戶電梯三房,台北市信義區嘉興街,華廈,36.7年,建坪33.48,3房(室)2廳2衛,3/6樓,"3,168 萬"
敦南忠孝捷運名廈,台北市大安區忠孝東路四段,辦公商業大樓,47.8年,建坪37.51,3房(室)2廳2衛,3/7樓,"3,888 萬"
景豐靜心採光美寓,台北市文山區景豐街,公寓,50.7年,建坪45.83,7房(室)4廳3衛(含加蓋3房(室)2廳1衛),4/4樓,"2,980 萬"
忠孝抗震綠建純辦,台北市大安區忠孝東路三段,辦公商業大樓,2.2年,建坪100.62,--房(室)1廳--衛,10/15樓,"16,160 萬"
中正高樓採光電梯,台北市中正區南昌路二段,辦公商業大樓,46.0年,建坪57.87,4房(室)2廳4衛(含加蓋4房(室)1廳4衛),8/8樓,"5,500 萬"
清江國小芳鄰美寓,台北市北投區公館路,公寓,40.3年,建坪60.52,5房(室)2廳3衛,5/5樓,"2,888 萬"
吉林低總價鼎佳,台北市中山區吉林路,公寓,59.5年,建坪23.89,4房(室)1廳1衛(含加蓋1房(室)--廳--衛),4/4樓,"1,798 萬"
永春捷運國泰博愛,台北市信義區虎林街,公寓,56.0年,建坪25.89,3房(室)2廳1衛,4/4樓,"2,288 萬"
仁愛御品高樓樹景,台北市大安區忠孝東路四段 仁愛御品,住宅大樓,15.5年,建坪84.70,2房(室)2廳2衛,12/14樓,"9,498 萬"
