鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
觀音區,房地(土地+建物),桃園市觀音區學文一街１２７巷１３號五樓,35.79,1140212,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131107,97.24,3,0,3,有,有,8600000,88441,,0,0,RPWPMLQJNHKGFBH56DA,63.62,0,7.19,有
中壢區,房地(土地+建物),桃園市中壢區龍慈路５７號十二樓,18.64,1140221,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,108.97,2,2,2,有,有,12880000,118198,,0,0,RPRRMLMKNHKGFBH58DA,64.02,0,8.64,有
楊梅區,房地(土地+建物),桃園市楊梅區梅獅路一段５０６號二樓,42.75,1140221,土地1建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681003,109.17,3,2,2,有,無,5750000,52670,,0,0,RPRNMLTJNHKGFDH98DA,109.17,0,0,無
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區奉化路１４６之７號十一樓,7.85,1140226,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931210,76.4,1,1,1,有,有,8800000,145331,坡道平面,26.17,1500000,RPPNMLKLMHKGFEH08DA,29.95,0,7.12,有
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南崁路２６５號四樓,91.98,1140211,土地11建物1車位2,四層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,850409,925.45,0,0,0,無,有,59326600,66664,坡道平面,80.52,3000000,RPSNMLTLMHKGFEH66DA,452.5,0,31.15,有
平鎮區,房地(土地+建物),桃園市平鎮區中豐路山頂段興峰巷４弄２６號,81.85,1140206,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,670113,141.02,5,2,3,有,無,8200000,58148,,0,0,RPTNMLNKKHKGFGH68DA,141.02,0,0,無
中壢區,房地(土地+建物),桃園市中壢區復華八街３號,72,1140219,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,951127,193.43,5,3,4,有,無,16000000,82717,,0,0,RPQNMLMKNHKGFBH18EA,164.95,2.56,25.92,無
桃園區,房地(土地+建物),桃園市桃園區介壽路５之９號五樓,8.64,1140219,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920728,63.4,2,1,1,有,有,7000000,110410,,0,0,RPXSMLRLLHKGFAH96DA,38.6,0.9,7.17,有
桃園區,房地(土地+建物),桃園市桃園區峨眉四街２２巷１１９號,257,1140213,土地1建物1車位0,全,一層,透天厝,住家用,土造,171110,91,2,2,1,有,無,4700000,51648,,0,0,RPRNMLSKMHKGFAH58DA,91,0,0,無
桃園區,房地(土地+建物)+車位,桃園市桃園區建國路３４８巷３２號七樓,41.51,1140212,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1040125,177.85,3,2,2,有,有,13500000,75907,坡道平面,0,0,RPUPMLQJNHKGFAH88DA,87.26,2.04,8.37,有
中壢區,房地(土地+建物)+車位,桃園市中壢區崇德二路１７０巷１９號八樓,34.42,1140217,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131220,166.09,3,2,2,有,有,16500000,111178,坡道平面,32.52,1650000,RPPTMLLKLHKGFBH28DA,79.44,0,8.44,有
中壢區,房地(土地+建物)+車位,桃園市中壢區崇德二路１７０巷２１號十一樓,33.71,1140217,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131220,163.4,3,2,2,有,有,16830000,114456,坡道平面,32.52,1850000,RPSTMLLKLHKGFBH58DA,77.62,0,8.44,有
中壢區,房地(土地+建物),桃園市中壢區中園路３６之８號十七樓,4.7,1140222,土地1建物1車位0,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990522,61.57,1,1,1,有,有,6560000,106545,,0,0,RPWTMLKLLHKGFBH98DA,36.07,1,3.65,有
大溪區,房地(土地+建物),桃園市大溪區埔頂路二段１７２號,231.93,1140207,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,950520,307.92,6,2,3,有,無,28400000,92232,,0,0,RPPNMLTKKHKGFCH48DA,291.98,10.3,5.64,無
八德區,房地(土地+建物)+車位,桃園市八德區富榮街３６巷４５號八樓之５,31.09,1140207,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130403,149.89,3,2,2,有,有,14650000,97738,坡道平面,31.39,0,RPUNMLNJLHKGFFH68DA,72.05,0,6.94,有
平鎮區,房地(土地+建物),桃園市平鎮區興隆路２６巷３６號,32.09,1140224,土地1建物1車位0,一層，地下層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,841107,102.69,3,2,2,有,無,3150000,30675,,0,0,RPSNMLMKNHKGFGH78DA,78.02,2.7,5.4,無
龜山區,房地(土地+建物)+車位,桃園市龜山區文昌五街７８號九樓之１,17.09,1140205,土地1建物1車位1,九層，夾層,十層,華廈(10層含以下有電梯),住辦用,鋼筋混凝土造,890727,109.27,2,2,2,有,有,15850000,145054,升降機械,13.76,0,RPUNMLLJMHKGFHH78DA,66.91,0,8.04,有
中壢區,房地(土地+建物)+車位,桃園市中壢區金鋒四街５０巷４０號九樓,5.99,1140223,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930706,85.63,1,1,1,有,有,5360000,62595,坡道平面,0,0,RPPNMLNKNHKGFBH18EA,28.18,0,3.27,有
桃園區,房地(土地+建物),桃園市桃園區中正路１３９６號四樓之四,10.11,1140218,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830803,96.19,3,2,2,有,有,10800000,112278,,0,0,RPPQMLLLLHKGFAH97DA,66.48,0,11.53,有
中壢區,房地(土地+建物)+車位,桃園市中壢區五族街１８７之２號二樓,16.1,1140216,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830330,120.94,3,2,2,有,有,9500000,78551,升降機械,0,0,RPVQMLLMLHKGFBH78DA,68.64,0,8.06,有
楊梅區,房地(土地+建物)+車位,桃園市楊梅區瑞坪路１８巷４５號,22.68,1140220,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860204,122.05,3,2,2,有,有,8100000,66366,坡道平面,0,0,RPTNMLMKNHKGFDH58DA,66.77,0,2.22,有
楊梅區,房地(土地+建物),桃園市楊梅區楊湖路三段２４８巷１１９弄２８號,99.48,1140218,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,841004,196.29,5,2,3,有,無,3900000,19869,,0,0,RPORMLPKNHKGFDH78DA,156.38,11.26,28.65,無
