鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
湖內區,房地(土地+建物)+車位,高雄市湖內區中山路一段２８４巷１５號三樓之１,26.84,1140322,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110923,89.25,2,2,1,有,有,5850000,65546,其他,11.22,0,RPQNMLLKOHKGFJE58DA,54.15,0,3.66,有
鼓山區,房地(土地+建物)+車位,高雄市鼓山區馬卡道路７９號十七樓,25.8,1140303,土地1建物1車位2,十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120515,341.17,3,2,2,有,有,55960000,178231,坡道平面,60.86,6000000,RPXNMLSKOHKGFAE09DA,151.58,1.27,28.22,有
新興區,房地(土地+建物)+車位,高雄市新興區興華路５５號十二樓之５,13.57,1140302,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960413,136.09,3,2,2,有,有,14500000,106547,坡道平面,14.27,0,RPUNMLQKOHKGFBE68DA,74.46,0,8.97,有
苓雅區,房地(土地+建物),高雄市苓雅區中山二路３２０號,109.84,1140305,土地2建物2車位0,一層，騎樓，地下層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,701231,765.78,0,0,0,無,有,42000000,54846,,0,0,RPUNMLKLOHKGFBE18DA,664.56,0,0,有
前鎮區,房地(土地+建物),高雄市前鎮區鎮東一街５１３號,89,1140320,土地1建物1車位0,全,一層,透天厝,住家用,：磚瓦造,570815,78.89,2,1,1,有,無,8350000,105844,,0,0,RPWNMLLLNHKGFCE48DA,78.89,0,0,無
楠梓區,房地(土地+建物),高雄市楠梓區援中路５１０巷１５號,85.51,1140326,土地2建物1車位0,全,四層,透天厝,其他,見使用執照,930617,170.77,5,2,3,有,有,17020000,99666,,0,0,RPVNMLKLOHKGFEE58DA,147.76,0,23.01,無
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十九街１４２號十三樓,14.13,1140327,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1130910,86.83,2,2,1,有,有,8700000,91731,坡道機械,8.34,1500000,RPRNMLQLOHKGFEE78DA,43.43,0,7.67,有
岡山區,房地(土地+建物)+車位,高雄市岡山區河堤路二段１２３號五樓,32.53,1140313,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950306,182.02,3,2,2,有,有,12980000,71311,坡道平面,0,0,RPTNMLPLOHKGFFE98DA,102.31,0,14.02,有
鳳山區,房地(土地+建物)+車位,高雄市鳳山區埤頂街１６０巷８號四樓,27.39,1140322,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1131014,92.09,2,2,2,有,有,10660000,105238,一樓平面,9.8,2000000,RPOOMLPLOHKGFGE68DA,58.71,0,4.82,有
仁武區,房地(土地+建物)+車位,高雄市仁武區京吉二路５３號七樓,21.66,1140309,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040420,152.79,3,2,2,有,有,12000000,78539,坡道平面,20.24,0,RPQOMLLKMHKGFIE38DA,82.51,0,5.23,有
