鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
萬華區,房地(土地+建物),臺北市萬華區西藏路４２８巷７號九樓之３,14.99,1101210,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,1140516,88.22,2,2,2,有,有,19750000,223872,,0,0,RPUOMLLKQHKGFBA08DA,49.71,2.04,6.26,有
萬華區,房地(土地+建物)+車位,臺北市萬華區西藏路４２８巷７號十樓之３,14.99,1101213,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,1140516,122.22,1,2,1,有,有,22750000,225006,坡道平面,34,2900000,RPOOMLPKQHKGFBA87DA,49.71,2.04,6.26,有
萬華區,房地(土地+建物),臺北市萬華區西藏路４２８巷７號四樓之１,15.61,1101225,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,1140516,90.6,2,2,2,有,有,18900000,208609,,0,0,RPOQMLLJRHKGFBA67DA,51.87,3.21,4,有
大同區,房地(土地+建物),臺北市大同區承德路二段１０１號七樓之３,14.28,1101112,土地2建物1車位0,七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1140121,208.02,4,2,2,有,有,69160000,332468,,0,0,RPOPMLLJOHKGFBA27DA,117.28,3.52,16.38,有
大安區,房地(土地+建物)+車位,臺北市大安區臥龍街２６８號二十樓,20.12,1101126,土地1建物1車位1,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130927,184.82,2,2,2,有,有,49590000,314114,坡道平面,38.09,3500000,RPVOMLLKNHKGFFA28DA,86.68,3.38,7.26,有
大安區,房地(土地+建物)+車位,臺北市大安區臥龍街２６８號二十三樓之３,12.4,1101112,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130927,124.06,2,2,1,有,有,32000000,331511,坡道平面,38.09,3500000,RPPPMLQKOHKGFFA38DA,48.98,3.9,5.16,有
中山區,房地(土地+建物)+車位,臺北市中山區松江路２５２巷１０號五樓之２,5.87,1101102,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140207,55.31,1,0,1,有,有,12980000,307824,升降機械,20.29,2200000,RPRQMLOLLHKGFCA97DA,18.5,0,2.92,有
北投區,房地(土地+建物),臺北市北投區石牌路二段３１７號二樓,12.98,1101104,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140416,76.75,2,2,1,有,有,19300000,251466,,0,0,RPTNMLKMNHKGFEA97DA,45.46,0,4.63,有
大安區,房地(土地+建物)+車位,臺北市大安區臥龍街２６８號二十一樓之２,13.93,1101114,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130927,136.86,1,2,2,有,有,33100000,304748,坡道平面,38.09,3000000,RPQOMLOJOHKGFFA08DA,56.67,3.87,5.9,有
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段１０１號十七樓,19.72,1101121,土地2建物1車位2,十七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1140121,309.09,3,2,3,有,有,107300000,363538,坡道平面,30.99,6200000,RPSPMLNKNHKGFBA87DA,165.45,3.38,14.16,有
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段１０１號三樓之１,19.72,1101103,土地2建物1車位2,三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1140121,306.85,3,2,3,有,有,101520000,341304,坡道平面,28.74,6600000,RPUNMLLJOHKGFBA67DA,165.45,3.38,14.16,有
