鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
安南區,房地(土地+建物),臺南市安南區智安四街１０５巷２５號,79.94,住,,,1140411,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1070202,225.95,3,2,5,有,無,24000000,106218,,0,0,陽台外推；其他增建；,RPUNMLRLNHKGFBD68DA,203.93,0,22.02,無,407
南區,房地(土地+建物),臺南市南區西門路一段６４３號,119.78,住,,,1140408,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,651130,136.14,5,2,6,有,無,16360000,120170,,0,0,頂樓加蓋；其他增建；,RPPNMLSJMHKGFCD08DA,136.14,0,0,無,
東區,房地(土地+建物),臺南市東區東寧路３４２號五樓之２,5.32,住,,,1140413,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821209,28.44,1,0,1,有,有,2000000,70323,,0,0,,RPOOMLTLMHKGFCD38DA,18.45,0,2,有,408
東區,房地(土地+建物),臺南市東區東成街２８巷２號四樓之１,36.09,都市：其他:住宅區,,,1140409,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770423,107.26,3,2,1,有,無,4700000,43819,,0,0,,RPSNMLSLNHKGFCD68DA,81.54,0,5.15,無,409
南區,房地(土地+建物)+車位,臺南市南區大同路二段１６４巷８號十一樓之３,36.04,住,,,1140430,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881021,146.12,3,2,2,有,有,8000000,54750,坡道平面,0,100000,,RPVOMLMJOHKGFCD38DA,88.01,0,8.24,有,
東區,房地(土地+建物)+車位,臺南市東區東興路８６號十四樓,44.4,住,,,1140417,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,951127,285.14,3,1,2,有,有,29000000,101704,坡道平面,29.78,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOJOHKGFCD08DA,159.01,0,23.22,有,
柳營區,房地(土地+建物),臺南市柳營區東昇村９鄰康樂街２４６號四樓之一,31.58,住,,,1140403,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850429,147.3,3,2,2,有,無,3800000,25798,,0,0,,RPVNMLTKNHKGFDD09DA,101.24,0,7.42,有,
鹽水區,房地(土地+建物),臺南市鹽水區忠孝路６１號,85.11,住,,,1140425,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1131107,186.1,3,2,5,有,無,15000000,80602,,0,0,,RPPNMLPLNHKGFDD18DA,171.6,0,14.5,無,
官田區,房地(土地+建物),臺南市官田區隆田里信義街一段９９巷２弄７號,76.33,住,,,1140425,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1121117,179.63,4,2,3,有,有,12500000,69587,,0,0,,RPSNMLQJNHKGFFD58DA,171.93,0,7.7,無,
麻豆區,房地(土地+建物),臺南市麻豆區寮里寮子３之２７號二樓之３,21.72,,鄉村區,乙種建築用地,1140420,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120922,89.54,2,1,2,有,有,6250000,69801,,0,0,,RPXNMLOKNHKGFFD98DA,59.18,0,8.15,有,
麻豆區,房地(土地+建物),臺南市麻豆區寮里寮子３之２７號三樓之３,21.72,,鄉村區,乙種建築用地,1140429,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120922,89.54,2,1,2,有,有,5690000,63547,,0,0,,RPUNMLTKNHKGFFD56DA,59.18,0,8.15,有,
善化區,房地(土地+建物)+車位,臺南市善化區東勢寮１５８號二樓之８,33.07,,鄉村區,乙種建築用地,1140402,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130820,119.17,3,2,2,有,有,10870000,91882,其他,11.75,1000000,,RPVNMLRLNHKGFHD76DA,71.08,0,8.68,有,
歸仁區,房地(土地+建物),臺南市歸仁區六甲路３０５號二樓之３,29.54,,鄉村區,乙種建築用地,1140425,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131223,111.74,3,1,2,有,有,9370000,83855,,0,0,土地價款1970000元，建物價款7400000元，共計9370000元。另外有一個法定空地停車位，車位價款1500000元，面積:15.28m2。未登記建物；,RPUNMLRLNHKGFID76DA,68.31,0,3.24,有,
玉井區,房地(土地+建物),臺南市玉井區公６之２５號,108.65,,一般農業區,甲種建築用地,1140417,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1100911,158.64,3,2,3,有,無,9900000,62405,,0,0,其他增建；,RPRNMLNJOHKGFJD68DA,148.72,0,9.92,無,411
永康區,房地(土地+建物),臺南市永康區永康里永大二路４６號九樓之２,10.89,商,,,1140408,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821111,91.47,3,2,2,有,有,6100000,66689,,0,0,,RPQSNLSLNHKGFKD27DA,65.63,0,7.35,有,
安平區,房地(土地+建物),臺南市安平區育平路６６號八樓之３,7.89,住,,,1140422,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1021125,55.05,2,1,1,有,有,4800000,87193,,0,0,夾層；,RPXNMLMLMHKGFAD28DA,31.58,0,4.65,有,413
中西區,建物,臺南市中西區大同路一段４６巷７８號二樓之３,0,,,,1140429,土地0建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,790113,33.68,1,0,1,有,無,1700000,50475,,0,0,土地為租賃使用，土地為財團法人台灣省私立台南仁愛之家所有；建物坐落地號：郡王祠段154地號；地上權房屋；,RPQOMLRJNHKGFAD08DA,23.94,0,1.3,有,
北區,房地(土地+建物),臺南市北區臨安路二段９１巷１號六樓之１,11.22,住,,,1140402,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821125,64.17,3,2,2,有,有,2000000,31167,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLTJNHKGFAD88DA,37.73,1.38,6.18,有,414
中西區,房地(土地+建物),臺南市中西區頂美三街２４１巷２７號,74.85,住,,,1140427,土地3建物1車位0,全,五層,透天厝,住家用,ＲＣ造,931007,210.35,5,2,4,有,無,17900000,85096,,0,0,陽台外推；頂樓加蓋；,RPSNMLPJOHKGFAD08DA,181.72,0,28.63,無,
北區,房地(土地+建物),臺南市北區大興街２３２號,101.82,住,,,1140415,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,691129,176.82,6,2,3,有,無,8600000,48637,,0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPSPMLPJOHKGFAD28DA,176.82,0,0,無,
安南區,房地(土地+建物)+車位,臺南市安南區惠安街２４巷１４號六樓,43.99,住,,,1140414,土地1建物1車位1,六層，七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830423,179.91,3,2,2,有,有,10000000,55583,坡道平面,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLMNHKGFBD67DA,103.57,0,13.71,有,
南區,房地(土地+建物),臺南市南區金華路一段４８４巷６２之３號,34,都市：其他:住宅區,,,1140418,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710824,95.05,2,2,1,有,無,3600000,37875,,0,0,包含公共設施保留地用地；,RPSNMLPKNHKGFCD28DA,71.8,0,3.98,無,
