鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
大同區,房地(土地+建物),臺北市大同區迪化街一段４６巷３號二樓,3.65,1131212,土地2建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0721017,33.2,0,0,0,無,有,6224000,187526,,0,0,TPRNMLOLKIJGFBA77EA,23.33,0,2.79,有
中山區,房地(土地+建物)+車位,臺北市中山區林森北路４７９號二樓之５,4.83,1131215,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,64.12,1,1,1,有,有,10000000,155958,坡道機械,0,0,RPQOMLPLIIJGFCA57EA,23.67,0.74,3.11,有
中山區,房地(土地+建物),臺北市中山區民生東路一段２５號五樓之２０,2.08,1131210,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690815,26.71,0,0,0,無,有,2200000,82366,,0,0,RPOOMLNLKIJGFCA37EA,18.64,0,0,有
南港區,房地(土地+建物),臺北市南港區興中路８０巷１１號二樓,11,1131205,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0610707,27.41,3,1,1,有,無,5000000,182415,,0,0,RPPNMLOLKIJGFDA57EA,27.41,0,0,無
北投區,房地(土地+建物),臺北市北投區中和街５２５巷６弄２１號一樓,9.42,1131210,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0660809,22.5,4,1,2,有,無,3810000,169333,,0,0,RPPNMLOLKIJGFEA67EA,18.99,3.5,0,無
萬華區,房地(土地+建物),臺北市萬華區峨眉街５之４４號,1.68,1131213,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0761105,9.67,0,0,0,無,有,3440000,355739,,0,0,RPPPMLPLKIJGFBA57DA,4.36,0,0,有
中山區,房地(土地+建物),臺北市中山區林森北路９６號十一樓之３,3.63,1131214,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710224,34.53,1,1,1,有,有,7500000,217202,,0,0,RPQNMLRKKIJGFCA67DA,25.77,2.5,0,有
中山區,房地(土地+建物),臺北市中山區林森北路１３３巷５１號,2.5,1131213,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0660525,9.7,0,0,1,有,無,4440000,457732,,0,0,RPRNMLOLKIJGFCA57DA,8.58,0,0,有
松山區,房地(土地+建物),臺北市松山區南京東路四段５３巷１０弄２號四樓,52,1131205,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,,112.7,4,1,4,有,無,31250000,277285,,0,0,RPUOMLOJKIJGFDA87DA,112.7,0,0,無
信義區,房地(土地+建物),臺北市信義區富陽街２１巷８號二樓,22.88,1131202,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590420,86.97,3,1,2,有,無,7000000,80488,,0,0,RPUPMLKKKIJGFDA67DA,80.52,0,6.45,無
