鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
五股區,房地(土地+建物)+車位,新北市五股區新城八路３６５號三樓,16.41,1130704,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140508,116.36,3,2,2,有,有,17470000,168329,坡道平面,27.13,2450000,RPRSMLOKMHKGFBF58DA,54.88,0,3.56,有
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路二段７９７號二十二樓,12.81,1130703,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1120727,140.04,0,0,0,無,有,10270000,85559,坡道平面,35.2,1300000,RPSPMLNKLHKGFEF48DA,63.2,0,5.27,有
瑞芳區,房地(土地+建物),新北市瑞芳區中山路２２２巷１８號,3.44,1130729,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,630520,4.9,3,2,1,有,無,200000,40816,,0,0,RPQNMLPJQHKGFFF78DA,4.36,0.17,0.37,無
五股區,房地(土地+建物)+車位,新北市五股區新城八路３７７號十二樓,16.78,1130710,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140508,118.18,3,2,2,有,有,18250000,171334,坡道平面,27.13,2650000,RPSOMLQKOHKGFBF68DA,51.2,0,8.44,有
板橋區,房地(土地+建物)+車位,新北市板橋區新府路３０號十九樓,9.17,1130701,土地1建物1車位1,十九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1131218,126.4,2,2,1,有,有,38160000,367257,坡道平面,31.48,3300000,RPSOMLLKOHKGFAF08DA,54.58,4.88,2.51,有
土城區,房地(土地+建物)+車位,新北市土城區福寧街３２號二樓,23.54,1130708,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140613,135.08,3,2,2,有,有,22770000,184930,坡道平面,24.66,2350000,RPQNMLPJQHKGFAF28DA,66.27,0,7.93,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６０之３號八樓,36.68,1130713,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,211.09,4,2,2,有,有,20100000,101539,坡道平面,27.91,1500000,RPROMLOJOHKGFEF58DA,101.4,4.08,15.46,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６０之７號,17.53,1130701,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,98.72,1,1,1,有,有,9750000,113993,坡道平面,25.47,1400000,RPVRMLOJOHKGFEF66DA,48.35,0,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６０之１１號,17.53,1130714,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,101.16,1,2,1,有,有,10170000,118362,坡道平面,27.91,1500000,RPXNNLOJOHKGFEF56DA,48.35,0,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６８之２號十九樓,22.47,1130711,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,135.19,3,2,2,有,有,13160000,108688,坡道平面,27.91,1500000,RPPOMLOLOHKGFEF58DA,62.06,3.3,5.47,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６８之９號二十二樓,23.84,1130707,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,141.59,3,2,2,有,有,14160000,111365,坡道平面,27.91,1500000,RPVQMLPLOHKGFEF86DA,65.84,3.3,5.89,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６８之６號十七樓,19.25,1130720,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,120.46,3,2,1,有,有,11850000,112912,坡道平面,27.91,1400000,RPXNMLKMOHKGFEF98DA,53.22,3.3,4.54,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６８之６號十二樓,19.25,1130721,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,120.46,3,2,1,有,有,11710000,111399,坡道平面,27.91,1400000,RPSOMLRKPHKGFEF56DA,53.22,3.3,4.54,有
三重區,建物,新北市三重區龍門路２１５號六樓,0,1130731,土地0建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840607,65.2,2,1,1,有,有,6710000,102914,,0,0,RPPOMLTKQHKGFGF76DA,47.87,0.83,1.66,有
板橋區,房地(土地+建物),新北市板橋區新府路２８號六樓,7.74,1130708,土地1建物1車位0,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1131218,81.6,2,2,1,有,有,29600000,362745,,0,0,RPTNMLKLNHKGFAF97DA,45.82,4.72,2.95,有
板橋區,房地(土地+建物),新北市板橋區新府路２８號十七樓,8.65,1130714,土地1建物1車位0,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1131218,90.47,2,2,1,有,有,33380000,368962,,0,0,RPTRMLKLNHKGFAF38DA,51.43,4.72,2.95,有
板橋區,房地(土地+建物),新北市板橋區新府路３０號十二樓,9.07,1130719,土地1建物1車位0,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1131218,94.91,2,2,1,有,有,34450000,362975,,0,0,RPWOMLQLNHKGFAF98DA,54.58,4.88,2.51,有
