物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
萬安街大空間公寓,新北市新莊區萬安街,公寓,45.7年,建坪20.19,5房(室)3廳2衛(含加蓋2房(室)1廳1衛),5/5樓,"1,200 萬"
未來捷運三房車位,新北市中和區員山路,住宅大樓,18.0年,建坪46.27,3房(室)2廳2衛,13/13樓,"2,698 萬"
捷運電梯高樓美屋,新北市新店區北宜路一段 TR大道,住宅大樓,23.1年,建坪32.79,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),10/14樓,"2,430 萬"
未來捷運三房車位,新北市中和區員山路,住宅大樓,18.0年,建坪46.27,3房(室)2廳2衛,13/13樓,"2,698 萬"
未來捷運三房車位,新北市中和區員山路,住宅大樓,18.0年,建坪46.27,3房(室)2廳2衛,13/13樓,"2,698 萬"
嶄新府中電梯4房,新北市板橋區重慶路,辦公商業大樓,39.1年,建坪42.38,4房(室)2廳2衛,2/7樓,"2,280 萬"
磐郡景觀兩房車位,新北市板橋區和平路 磐郡,住宅大樓,5.2年,建坪38.41,2房(室)2廳1衛,10/12樓,"2,498 萬"
中正宏運新豐大樓,新北市新莊區中正路 宏運巴黎,住宅大樓,30.7年,建坪38.43,3房(室)2廳2衛,3/14樓,"1,968 萬"
庭院停車透天別墅,新北市新店區安祥路 綠中海二期,透天厝,18.9年,建坪81.33,4房(室)2廳3衛,1~4/4樓,"2,650 萬"
後埔忠孝實惠三樓,新北市板橋區忠孝路忠義巷,公寓,49.5年,建坪20.49,3房(室)2廳2衛(含加蓋--房(室)2廳1衛),3/4樓,"1,198 萬"
樂康鈞豐全新成屋,新北市新店區中央六街,華廈,0.4年,建坪44.25,2房(室)2廳2衛,2/6樓,"3,988 萬"
碧波白絕美大空間,新北市新店區北新路一段 碧波白,住宅大樓,5.9年,建坪38.33,2房(室)2廳2衛,10/30樓,"3,298 萬"
凡登兩房平面車位,新北市新莊區立信一街 凡登,住宅大樓,15.8年,建坪32.68,2房(室)2廳1衛,12/12樓,"2,048 萬"
新店獨棟電梯別墅,新北市新店區安祥路 靜岡,透天厝,16.1年,建坪156.14,8房(室)5廳5衛(含加蓋3房(室)1廳1衛),B1~4/4樓,"7,688 萬"
康橋邊間景觀庭院,新北市新店區青山路 青山鎮二期三區,公寓,14.0年,建坪60.56,3房(室)3廳3衛,1~2/4樓,"4,398 萬"
民權路廠辦大一樓,新北市新店區民權路,工廠,38.3年,建坪177.70,3房(室)1廳3衛(含加蓋--房(室)1廳3衛),B1~1/5樓,"6,188 萬"
遠陽芝聲家傳兩房,新北市板橋區華東街 家傳,住宅大樓,9.7年,建坪35.73,2房(室)2廳1衛,22/24樓,"2,960 萬"
大美雙捷邊間三房,新北市板橋區華江九路 興富發大美,住宅大樓,5.4年,建坪45.37,3房(室)2廳1衛,9/17樓,"2,789 萬"
環球稀有邊間頂加,新北市中和區民享街,公寓,37.1年,建坪31.56,7房(室)2廳4衛(含加蓋4房(室)--廳2衛),5/5樓,"1,198 萬"
板橋捷運國泰美寓,新北市板橋區金華街,公寓,48.7年,建坪25.68,3房(室)2廳1衛,4/4樓,"1,080 萬"
得和古典裝潢一樓,新北市永和區得和路,公寓,49.1年,建坪20.29,2房(室)2廳1衛,1/4樓,"1,980 萬"
南角捷運方正公寓,新北市中和區景平路,公寓,45.9年,建坪27.90,3房(室)2廳1衛,4/5樓,"1,458 萬"
漢慶裝潢邊間名廈,新北市新莊區新泰路 漢慶名廈,住宅大樓,32.1年,建坪38.24,2房(室)2廳2衛,2/12樓,"1,980 萬"
宏泰三房裝潢美寓,新北市新莊區後港一路,公寓,36.0年,建坪44.72,3房(室)2廳2衛,5/5樓,"1,450 萬"
福氣滿溢靜謐美邸,新北市土城區明德路一段 福邑,住宅大樓,29.9年,建坪38.42,3房(室)2廳2衛,17/17樓,"1,728 萬"
海山花園高樓景觀,新北市板橋區民族路 海山花園/新板極SKY,住宅大樓,4.4年,建坪61.12,3房(室)2廳2衛,24/26樓,"4,588 萬"
捷運邊間大空間,新北市中和區忠孝街,公寓,39.5年,建坪44.70,3房(室)2廳5衛(含加蓋--房(室)1廳5衛),5/5樓,"1,750 萬"
綠中海前棟陽光墅,新北市新店區安祥路 綠中海一期,透天厝,19.6年,建坪59.08,4房(室)2廳3衛,1~3/3樓,"2,280 萬"
碧波白稀有二房,新北市新店區北新路一段 碧波白,住宅大樓,5.9年,建坪24.25,2房(室)2廳1衛,5/30樓,"2,062 萬"
南方多功能空間,新北市中和區捷運路 南方之星,辦公商業大樓,14.5年,建坪22.20,--房(室)2廳1衛,9/19樓,"1,836 萬"
公園學區採光美廈,新北市永和區秀朗路一段 金台北,辦公商業大樓,28.9年,建坪33.19,3房(室)2廳2衛,6/11樓,"2,268 萬"
專任碧瑤三房車位,新北市新莊區民安西路 碧瑤皇家,華廈,28.5年,建坪47.90,3房(室)2廳2衛,2/8樓,"1,698 萬"
重劃日月光旁店面,新北市土城區學府路二段 東運御光,店面,3.7年,建坪42.06,--房(室)2廳1衛,1/13樓,"4,418 萬"
稀有靜巷樓中樓邸,新北市永和區福和路,公寓,31.8年,建坪50.02,5房(室)4廳4衛(含加蓋--房(室)1廳1衛),4~5/5樓,"2,880 萬"
花園新城電梯美墅,新北市新店區花園一路一段,透天厝,21.8年,建坪133.39,7房(室)4廳4衛(含加蓋3房(室)--廳--衛),B2~3/3樓,"3,488 萬"
花園新城電梯美墅,新北市新店區花園一路一段,透天厝,21.8年,建坪133.39,7房(室)4廳4衛(含加蓋3房(室)--廳--衛),B2~3/3樓,"3,488 萬"
獨戶捷運三房華廈,新北市新店區中央三街,華廈,26.0年,建坪39.62,3房(室)1廳2衛,6/7樓,"2,980 萬"
中央獨戶三房平車,新北市新店區中央七街,華廈,26.7年,建坪43.87,3房(室)2廳2衛,3/5樓,"2,988 萬"
新民安讚溫馨兩房,新北市新莊區民安西路 和耀民安讚,住宅大樓,6.8年,建坪23.58,2房(室)2廳1衛,4/15樓,"1,398 萬"
四維裝潢極品三樓,新北市新莊區四維路,公寓,48.0年,建坪22.89,3房(室)2廳2衛,3/4樓,980 萬
捷運站旁稀有一樓,新北市新店區國校路,店面,44.7年,建坪28.63,--房(室)2廳1衛(含加蓋--房(室)1廳1衛),1/5樓,"1,580 萬"
星洲住店雙效益,新北市新莊區新泰路 現代星洲,住宅大樓,32.2年,建坪42.22,1房(室)3廳3衛(含加蓋--房(室)1廳1衛),1~2/12樓,"2,340 萬"
專任合康三房車位,新北市新莊區民安西路 合康百儷,住宅大樓,19.1年,建坪40.48,3房(室)2廳2衛,2/12樓,"1,798 萬"
安康安民電梯鼎家,新北市新店區光華街 安民華廈(新境),華廈,33.0年,建坪36.43,5房(室)3廳2.5衛(含加蓋2房(室)1廳1衛),6/6樓,"1,788 萬"
香格里拉高樓三房,新北市土城區學府路一段,住宅大樓,32.1年,建坪34.21,3房(室)2廳2衛,12/14樓,"1,980 萬"
正和平街稀有釋出,新北市永和區和平街,公寓,45.2年,建坪27.13,3房(室)2廳1衛,4/5樓,"1,798 萬"
捷運宏普高樓遠景,新北市新莊區中信街 宏普AMAX,辦公商業大樓,8.0年,建坪36.40,1房(室)1廳1衛(含加蓋--房(室)--廳1衛),23/24樓,"1,998 萬"
懷德街邊間三房,新北市板橋區懷德街,公寓,45.9年,建坪30.56,4房(室)3廳2衛(含加蓋1房(室)1廳1衛),5/5樓,"1,400 萬"
景觀方正電梯三房,新北市土城區金安街 成功座標,住宅大樓,31.7年,建坪31.66,3房(室)2廳2衛,11/13樓,"1,288 萬"
極景虹區景觀三房,新北市新店區北新路二段 極景虹區,住宅大樓,30.0年,建坪43.36,3房(室)2廳2衛,16/16樓,"2,800 萬"
三街頂樓三房車位,新北市新店區中央三街,華廈,26.0年,建坪45.11,3房(室)1廳2衛,7/7樓,"3,380 萬"
四季裝潢高頂車位,新北市中和區中山路三段 四季紐約,辦公商業大樓,17.0年,建坪18.70,1房(室)1廳1衛,6/14樓,"1,128 萬"
土城學區邊間三房,新北市土城區興城路,公寓,37.7年,建坪33.71,3房(室)2廳2衛,5/5樓,"1,380 萬"
碧潭麗水邊間美屋,新北市新店區新烏路一段,透天厝,30.4年,建坪59.48,4房(室)2廳2衛(含加蓋1房(室)2廳1衛),B1~2/2樓,"3,168 萬"
勝旺有境二房平車,新北市新店區安光路 勝旺有境,住宅大樓,8.5年,建坪41.72,2房(室)2廳1衛,9/21樓,"2,280 萬"
小碧潭六房車位,新北市新店區中央三街,華廈,26.0年,建坪84.73,6房(室)2廳4衛,6~7/7樓,"6,360 萬"
美到冒泡遠景華廈,新北市中和區華順街,華廈,35.9年,建坪53.22,4房(室)2廳2衛,6/7樓,"2,598 萬"
江翠景觀兩房平車,新北市板橋區環河西路四段 恆隆蘊,住宅大樓,1.5年,建坪42.33,2房(室)2廳2衛,11/19樓,"2,768 萬"
橋峰 誰與爭峰,新北市板橋區中山路一段 橋峰,住宅大樓,14.8年,建坪146.32,4房(室)3廳4衛,28~29/31樓,"14,600 萬"
江翠景觀三房平車,新北市板橋區環河西路四段 恆隆蘊,住宅大樓,1.5年,建坪52.09,3房(室)2廳2衛,16/19樓,"3,486 萬"
永鼎捷運三房車,新北市土城區中央路四段 富世居,住宅大樓,10.5年,建坪48.59,3房(室)2廳2衛,4/13樓,"2,750 萬"
近市場創業做頭家,新北市板橋區民享街,公寓,50.4年,建坪10.73,--房(室)1廳1衛(含加蓋--房(室)--廳1衛),1/4樓,"1,380 萬"
面央北公園大三房,新北市新店區中央路 名家二期,住宅大樓,30.8年,建坪38.28,3房(室)2廳2衛,9/13樓,"2,780 萬"
捷運花園裝潢三房,新北市新莊區中正路 鴻邦世界花園I,住宅大樓,9.4年,建坪35.67,3房(室)2廳2衛,5/15樓,"1,998 萬"
樂華黃金兩室車位,新北市永和區中山路一段 龐畢度,辦公商業大樓,25.4年,建坪29.47,2房(室)2廳1衛,4/12樓,"2,180 萬"
雙捷W高樓兩房車,新北市新店區文化路 雙捷WIN,住宅大樓,6.5年,建坪32.42,2房(室)2廳1衛,9/13樓,"2,888 萬"
雙捷W高樓兩房車,新北市新店區文化路 雙捷WIN,住宅大樓,6.5年,建坪32.42,2房(室)2廳1衛,9/13樓,"2,888 萬"
棟樑純辦有水線,新北市新店區北新路一段 棟梁,辦公商業大樓,25.7年,建坪50.39,#NAME?,8/14樓,"2,580 萬"
帝京高樓景觀豪邸,新北市新莊區中正路 永鼎帝京,住宅大樓,8.9年,建坪79.98,2房(室)2廳2衛,19/22樓,"4,880 萬"
碧潭小資首選美居,新北市新店區永業路 美芝城,公寓,44.8年,建坪25.82,2房(室)2廳1衛,4/5樓,798 萬
國泰格局裝潢美寓,新北市新莊區景德路,公寓,36.4年,建坪35.17,3房(室)2廳2衛,4/5樓,"1,650 萬"
福田大戶高樓四房,新北市新莊區中華路二段 福田皇家世界A區,華廈,34.2年,建坪54.65,4房(室)3廳3衛(含加蓋2房(室)1廳1衛),10/10樓,"3,780 萬"
萬大莒光學區二樓,新北市中和區莒光路,公寓,46.9年,建坪24.91,--房(室)1廳1衛,2/5樓,"1,288 萬"
忠孝精美方正三樓,新北市中和區忠孝街,公寓,40.5年,建坪28.84,3房(室)2廳2衛(含加蓋--房(室)--廳0.5衛),3/5樓,"1,450 萬"
專任首購小資兩房,新北市新莊區復興路二段 萬象華都,住宅大樓,29.6年,建坪16.92,2房(室)1廳1衛,13/13樓,"1,168 萬"
復興人潮金店面,新北市中和區復興路,店面,42.3年,建坪31.56,--房(室)2廳2衛(含加蓋--房(室)--廳2衛),1~2/5樓,"2,380 萬"
國泰方正漂亮美寓,新北市中和區秀朗路三段,公寓,46.1年,建坪35.48,3房(室)2廳2衛,4/5樓,"1,798 萬"
綠中海景觀大別墅,新北市新店區安祥路 綠中海二期,透天厝,18.9年,建坪73.70,5房(室)2廳3衛,1~3/3樓,"2,708 萬"
雙橡全新頂樓三房,新北市新莊區昌德街,住宅大樓,0.6年,建坪39.49,3房(室)2廳2衛,15/15樓,"2,588 萬"
遠雄九五高樓景觀,新北市新莊區新北大道三段 遠雄九五,辦公商業大樓,7.6年,建坪171.34,4房(室)2廳5衛,20/42樓,"10,988 萬"
國慶停車美妝一樓,新北市板橋區國慶路,店面,43.9年,建坪21.83,3房(室)2廳3衛(含加蓋--房(室)--廳3衛),1/5樓,"2,080 萬"
七張博愛三房美廈,新北市新店區博愛街 博愛街華廈,華廈,41.7年,建坪38.55,4房(室)2廳2衛,6/7樓,"2,350 萬"
三民路樹海美寓,新北市新店區三民路,公寓,44.6年,建坪33.32,5房(室)4廳3衛(含加蓋2房(室)2廳1衛),5/5樓,"1,798 萬"
舒適孝親車庫透天,新北市新店區和成街,透天厝,43.3年,建坪33.03,8房(室)3廳5衛(含加蓋4房(室)1廳4衛),1~2/2樓,"1,980 萬"
近捷運採光套房,新北市新店區北新路一段 碧潭捷市,住宅大樓,13.6年,建坪9.39,1房(室)1廳1衛,2/13樓,958 萬
中正國小邊間美寓,新北市新店區平等街,公寓,46.6年,建坪32.80,3房(室)2廳1衛,4/5樓,"1,498 萬"
府中捷運邊間小品,新北市板橋區南雅東路 大順小財神(LV之星),辦公商業大樓,27.9年,建坪28.91,2房(室)1廳1衛,5/11樓,"1,648 萬"
遠雄錸儷三房雙車,新北市中和區中原街 遠雄錸儷,住宅大樓,8.9年,建坪86.19,3房(室)2廳2衛,4/23樓,"5,188 萬"
敦美極致雅苑,新北市板橋區國慶路 敦美,住宅大樓,13.0年,建坪69.69,3房(室)3廳3衛,2/15樓,"3,598 萬"
捷運景觀三房雙車,新北市新莊區新北大道三段 遠雄巴黎公園,住宅大樓,11.1年,建坪86.07,3房(室)2廳2衛,21/25樓,"4,330 萬"
綠中海高樓美景觀,新北市新店區安祥路 綠中海一期,華廈,19.6年,建坪28.03,3房(室)2廳2衛,8/9樓,"1,088 萬"
18年綠制震別墅,新北市土城區明德路一段 好萊塢別墅,透天厝,18.1年,建坪119.72,4房(室)3廳4衛,B1~4/4樓,"4,980 萬"
安和國小裝潢三房,新北市土城區延和路 春風得意,華廈,31.5年,建坪32.64,3房(室)2廳2衛,5/10樓,"1,880 萬"
新泰近公園美寓,新北市新莊區新泰路 國泰社區一期,公寓,38.3年,建坪31.10,3房(室)2廳2衛,5/5樓,"1,288 萬"
智匯總部挑高辦公,新北市新莊區福慧路,工廠,0.8年,建坪118.46,--房(室)1廳--衛,4/17樓,"6,990 萬"
四代同堂方正大戶,新北市土城區中央路二段,公寓,39.2年,建坪35.99,7房(室)4廳4衛(含加蓋4房(室)2廳2衛),5/5樓,"1,438 萬"
將捷景觀雙衛平車,新北市新店區順德街 將捷旅闊,住宅大樓,2.1年,建坪38.70,2房(室)2廳2衛,4/13樓,"2,968 萬"
將捷景觀雙衛平車,新北市新店區順德街 將捷旅闊,住宅大樓,2.1年,建坪38.70,2房(室)2廳2衛,4/13樓,"2,968 萬"
綠樹景觀捷運三房,新北市新店區文化路,公寓,44.2年,建坪32.97,3房(室)2廳2衛,5/5樓,"1,680 萬"
學府公寓大空間,新北市土城區學府路一段,公寓,40.0年,建坪35.82,3房(室)2廳2衛,4/5樓,"1,399 萬"
豐年置產經典公寓,新北市新莊區豐年街,公寓,49.5年,建坪23.93,3房(室)2廳1衛,2/3樓,"1,198 萬"
中信邊間三代同堂,新北市新莊區中信街 聯邦社區,公寓,39.8年,建坪30.74,3房(室)2廳2衛,4/5樓,"1,350 萬"
捷運年代兩房美屋,新北市新店區安德街 台北舊金山捷運年代,住宅大樓,31.0年,建坪20.38,2房(室)2廳1衛,3/12樓,"1,058 萬"
低樓層裝潢美寓,新北市新莊區中港一街,公寓,52.3年,建坪22.67,3房(室)2廳2衛,3/4樓,"1,288 萬"
前後陽台邊間貳樓,新北市中和區民治街,公寓,48.7年,建坪20.59,3房(室)2廳2衛,2/4樓,"1,398 萬"
中興邊間雙衛美寓,新北市中和區中興街,公寓,41.9年,建坪30.72,3房(室)2廳2衛,4/5樓,"1,398 萬"
頂溪公園大空間,新北市永和區保安路,公寓,40.3年,建坪26.59,4房(室)3廳2衛(含加蓋2房(室)--廳1衛),5/5樓,"1,580 萬"
嘉穗公園旁家倍佳,新北市中和區民利街,公寓,46.7年,建坪24.66,6房(室)3廳3衛(含加蓋3房(室)1廳2衛),4/4樓,"1,298 萬"
民利邊間家倍佳,新北市中和區民利街,公寓,48.2年,建坪18.11,5房(室)2廳3衛(含加蓋2房(室)--廳2衛),4/4樓,"1,150 萬"
海山全新好住好租,新北市土城區明德路二段,公寓,46.6年,建坪21.64,4房(室)2廳3衛(含加蓋1房(室)--廳1衛),4/4樓,"1,399 萬"
環球商圈活巷頂佳,新北市中和區民享街,公寓,48.8年,建坪25.80,5房(室)2廳5衛(含加蓋2房(室)--廳2衛),4/4樓,"1,498 萬"
捷運雅致三房車位,新北市新店區中央路 名家二期,住宅大樓,30.8年,建坪54.46,3房(室)2廳2衛,7/13樓,"2,900 萬"
民本首購溫馨宅,新北市新莊區民本街,公寓,45.0年,建坪23.02,2房(室)2廳1衛,4/5樓,918 萬
璽悅双星小資首選,新北市中和區民利街 漢寶双星,住宅大樓,4.9年,建坪24.62,1房(室)2廳1衛,9/15樓,"1,558 萬"
泰隆捷運三房車,新北市土城區中央路四段 福利國,住宅大樓,26.4年,建坪40.18,3房(室)2廳2衛,5/18樓,"1,880 萬"
稀有邊間三樓美寓,新北市中和區連城路,公寓,46.1年,建坪30.55,3房(室)2廳1衛,3/5樓,"1,488 萬"
景安美妝高樓車,新北市中和區中興街 景安住邑,華廈,7.4年,建坪27.42,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),6/7樓,"1,950 萬"
中原福美公園採光,新北市新莊區中原東路 亞昕平方,住宅大樓,12.8年,建坪89.86,4房(室)2廳2衛,5/19樓,"4,390 萬"
永和秀朗芳鄰三樓,新北市永和區中正路,公寓,46.1年,建坪29.08,3房(室)2廳1衛,3/5樓,"1,688 萬"
四號公園邊間2樓,新北市永和區民治街,公寓,55.0年,建坪27.85,2房(室)3廳1衛,2/4樓,"1,558 萬"
江翠捷運邊間三樓,新北市板橋區懷德街,公寓,51.6年,建坪33.43,4房(室)2廳1衛,3/4樓,"1,880 萬"
板橋典藏臻品雅居,新北市板橋區宏國路 双盈,住宅大樓,7.6年,建坪45.45,3房(室)2廳2衛,3/13樓,"3,688 萬"
大富大貴優質一樓,新北市新莊區民安東路 榮華富貴(民安東路),華廈,31.2年,建坪42.86,4房(室)2廳2衛,1/7樓,"2,050 萬"
一層一戶三房車位,新北市新店區大豐路 大豐世家,華廈,20.4年,建坪47.86,3房(室)2廳2衛,4/10樓,"3,699 萬"
江翠重劃D區兩房,新北市板橋區華江九路 興富發大美,住宅大樓,5.4年,建坪38.22,2房(室)2廳1衛,15/17樓,"2,480 萬"
合陽天擎綠景3房,新北市新店區安光路 合陽天擎,住宅大樓,7.0年,建坪49.13,3房(室)2廳2衛,5/24樓,"2,970 萬"
大豐國小大戶美寓,新北市新店區民族路,公寓,48.3年,建坪64.37,5房(室)2廳2衛,3/4樓,"3,988 萬"
一層一戶三房車位,新北市新店區大豐路 大豐世家,華廈,20.4年,建坪47.86,3房(室)2廳2衛,4/10樓,"3,699 萬"
一層一戶三房車位,新北市新店區大豐路 大豐世家,華廈,20.4年,建坪47.86,3房(室)2廳2衛,4/10樓,"3,699 萬"
捷運K7三房美寓,新北市新店區安和路二段,公寓,37.7年,建坪39.88,3房(室)2廳2衛,3/5樓,"1,488 萬"
頭前福美新世紀,新北市新莊區頭興街 合康新世紀,住宅大樓,10.5年,建坪49.68,3房(室)2廳2衛,9/18樓,"3,180 萬"
富安名門方正四房,新北市新莊區萬安街 富安名門,華廈,19.1年,建坪46.35,4房(室)2廳2衛,4/7樓,"2,398 萬"
雙鳳小資首購套房,新北市新莊區鳳山街 雙鳳報喜,套房,25.3年,建坪12.82,1房(室)1廳1衛,8/14樓,688 萬
景新大空間好五樓,新北市中和區景平路,公寓,38.4年,建坪35.10,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),5/5樓,"1,660 萬"
風華暖心雅居,新北市新店區安成街 風華,住宅大樓,11.3年,建坪33.59,2房(室)2廳1衛,8/15樓,"1,988 萬"
七張民族裝潢美屋,新北市新店區民族路 遠東雙星,公寓,40.7年,建坪35.73,4房(室)2廳2衛,3/5樓,"1,988 萬"
新埔巨蛋稀有四房,新北市板橋區民生路三段 巨蛋,住宅大樓,19.1年,建坪41.01,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),7/37樓,"2,580 萬"
園上園鋼骨兩房,新北市新店區中興路二段 園上園,住宅大樓,16.3年,建坪23.14,2房(室)2廳1衛,18/26樓,"2,168 萬"
獨家河景兩房平車,新北市新店區溪園路 湯泉二期(湯泉美地),住宅大樓,21.9年,建坪33.14,2房(室)1廳1衛,5/14樓,"2,000 萬"
建安方正邊間三房,新北市新莊區建安街 頂好新象,華廈,31.0年,建坪34.11,3房(室)2廳2衛,2/7樓,"1,580 萬"
豪美景觀高樓套房,新北市中和區中正路 摩登大國,住宅大樓,28.9年,建坪12.44,--房(室)1廳1衛,12/22樓,950 萬
捷運上城帝王景觀,新北市中和區中正路 捷運上城,住宅大樓,17.7年,建坪41.67,3房(室)2廳2衛,14/14樓,"3,080 萬"
上城後棟兩房車位,新北市中和區中正路 捷運上城,住宅大樓,17.7年,建坪33.72,2房(室)2廳1衛,2/14樓,"1,998 萬"
景安捷運電梯後棟,新北市中和區中正路 陽光大道,住宅大樓,32.5年,建坪18.20,1房(室)2廳1衛,6/12樓,"1,350 萬"
潑墨雙車庫別墅,新北市中和區圓通路 潑墨山莊,透天厝,37.0年,建坪88.19,5房(室)4廳5衛(含加蓋3房(室)--廳4衛),B1~3/3樓,"4,300 萬"
大坪林景觀兩房車,新北市新店區二十張路 中實雅藏,住宅大樓,2.6年,建坪32.10,2房(室)2廳1衛,9/13樓,"2,880 萬"
國光邊間大空間,新北市中和區國光街,公寓,44.9年,建坪31.61,4房(室)2廳2衛,4/4樓,"1,568 萬"
捷境綠地大景宅,新北市中和區莒光路,公寓,39.7年,建坪41.83,8房(室)2廳5衛(含加蓋4房(室)--廳4衛),5/5樓,"1,698 萬"
中和市民活巷透天,新北市中和區市民街,透天厝,50.1年,建坪22.05,5房(室)2廳3衛(含加蓋2房(室)--廳3衛),1~2/2樓,"2,280 萬"
悅峰露臺3房平車,新北市土城區青和街 悅峰WE時代,住宅大樓,1.0年,建坪44.44,3房(室)2廳2衛,2/12樓,"2,398 萬"
雙禧園方正4房,新北市中和區南華路 雙禧園,住宅大樓,8.9年,建坪61.52,4房(室)2廳2衛,3/23樓,"4,480 萬"
景安捷運稀有兩房,新北市中和區景平路 Yes景安,住宅大樓,8.4年,建坪33.95,2房(室)2廳1衛,4/13樓,"2,250 萬"
忠誠新村方正三房,新北市板橋區陽明街 忠誠新村,公寓,34.4年,建坪30.61,3房(室)2廳2衛,4/5樓,"2,150 萬"
百忍邊間三樓美寓,新北市新店區百忍街 中央名仕園,公寓,38.9年,建坪50.16,5房(室)2廳2衛,3/5樓,"1,988 萬"
府中三加一有電梯,新北市板橋區大華街,華廈,27.9年,建坪29.99,4房(室)2廳1衛,2/7樓,"1,788 萬"
中港學區鳳翔三房,新北市新莊區中和街 鳳翔吉第,住宅大樓,31.3年,建坪25.11,3房(室)2廳2衛,2/13樓,"1,450 萬"
熱鬧商圈辦公住家,新北市永和區永平路 富貴雙星,華廈,32.3年,建坪66.36,4房(室)3廳2衛(含加蓋2房(室)--廳2衛),1/7樓,"3,680 萬"
副都心捷運辦公,新北市新莊區新北大道四段 都峰苑一期,辦公商業大樓,12.5年,建坪62.90,--房(室)1廳1衛,16/19樓,"3,458 萬"
高品質三樓坪效佳,新北市板橋區華興街,公寓,39.2年,建坪27.51,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),3/5樓,"1,750 萬"
高品質三樓坪效佳,新北市板橋區華興街,公寓,39.2年,建坪27.51,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),3/5樓,"1,750 萬"
都心朝南捷運辦公,新北市新莊區新北大道四段 都峰苑一期,辦公商業大樓,12.5年,建坪62.86,--房(室)1廳2衛,4/19樓,"3,588 萬"
重慶三樓代代皆宜,新北市板橋區重慶路,公寓,50.3年,建坪21.61,3房(室)2廳1衛,3/4樓,980 萬
都峰高樓景觀裝潢,新北市新莊區新北大道四段 都峰苑一期,辦公商業大樓,12.5年,建坪39.56,2房(室)2廳2衛,19/19樓,"2,488 萬"
玉上園層峰露臺戶,新北市新店區寶橋路 玉上園,住宅大樓,12.1年,建坪141.63,4房(室)3廳5衛(含加蓋--房(室)--廳1衛),27/27樓,"8,468 萬"
天京捷運鋼骨名邸,新北市土城區明德路二段 摩天京華,住宅大樓,27.7年,建坪24.61,2房(室)2廳1衛,14/21樓,"1,638 萬"
新埔邊間捷運二樓,新北市板橋區民生路二段,公寓,49.1年,建坪22.93,3房(室)1廳1衛,2/4樓,"1,330 萬"
車站捷運百貨好近,新北市板橋區中山路一段 金吉第,套房,28.6年,建坪17.42,1房(室)1廳1衛,7/18樓,"1,220 萬"
秀朗四房大空間宅,新北市永和區永元路,公寓,46.4年,建坪35.73,6房(室)4廳3衛(含加蓋2房(室)2廳1衛),5/5樓,"1,580 萬"
捷運城龍景觀四房,新北市中和區中興街 城龍遊天下,住宅大樓,29.9年,建坪40.38,4房(室)2廳2衛,8/14樓,"2,498 萬"
景安捷運四樓公寓,新北市中和區景安路,公寓,46.1年,建坪23.76,3房(室)2廳1衛,4/5樓,"1,298 萬"
國泰好停車一樓,新北市板橋區三民路二段正泰三巷,公寓,40.5年,建坪31.03,3房(室)2廳2衛,1/5樓,"2,498 萬"
四號公園裝潢四房,新北市永和區得和路 華國大廈,華廈,44.1年,建坪30.81,4房(室)2廳2衛,2/7樓,"2,298 萬"
秀朗邊間三房華廈,新北市永和區民有街,華廈,34.1年,建坪45.63,3房(室)2廳2衛,2/6樓,"2,588 萬"
君泰公園迴龍捷運,新北市新莊區雙鳳路 君泰一期,住宅大樓,9.1年,建坪51.29,3房(室)2廳2衛,8/21樓,"2,488 萬"
永和一樓金住店辦,新北市永和區民有街,公寓,54.1年,建坪18.69,3房(室)2廳1衛(含加蓋--房(室)1廳--衛),1/4樓,"1,888 萬"
裕隆城旁景觀大戶,新北市新店區文化路 高峰會,住宅大樓,16.4年,建坪65.06,3房(室)2廳2衛,10/15樓,"4,658 萬"
大坪林捷運三房車,新北市新店區寶元路二段 康寧社區,華廈,24.8年,建坪45.85,3房(室)2廳2衛,6/6樓,"2,750 萬"
新埔捷運景觀三房,新北市板橋區民生路三段 春池宇宙光,住宅大樓,25.0年,建坪44.86,3房(室)2廳2衛,30/31樓,"3,398 萬"
大勇捷運獨棟四房,新北市中和區大勇街,公寓,41.3年,建坪38.43,4房(室)2廳2衛,4/5樓,"2,000 萬"
碧波白稀有美三房,新北市新店區北新路一段 碧波白,住宅大樓,5.9年,建坪38.65,3房(室)2廳2衛,7/30樓,"3,088 萬"
新和三房捷運美譽,新北市新店區永安街,公寓,46.3年,建坪30.28,3房(室)2廳2衛,3/4樓,"1,368 萬"
馥隄寧靜三房捷運,新北市新店區安和路三段 馥隄,華廈,17.4年,建坪31.77,3房(室)2廳2衛,3/4樓,"2,180 萬"
挑高多用途大住辦,新北市土城區慶和街,店面,46.7年,建坪21.35,4房(室)4廳3衛(含加蓋2房(室)3廳3衛),1/4樓,"2,180 萬"
稀有泰和方正公寓,新北市中和區泰和街,公寓,45.9年,建坪25.89,6房(室)4廳2衛(含加蓋3房(室)2廳1衛),5/5樓,"1,528 萬"
仁愛公園景觀三房,新北市永和區仁愛路 太平洋時代,住宅大樓,24.5年,建坪67.89,3房(室)2廳2衛,13/22樓,"4,288 萬"
