物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
中正美妝獨棟三房,新北市永和區中正路,公寓,43.2年,建坪34.71,3房(室)2廳2衛,5/5樓,"1,798 萬"
邊間高樓景觀美屋,新北市新店區安祥路 新鎮,住宅大樓,30.2年,建坪31.48,2房(室)2廳2衛,16/16樓,898 萬
專任元寶双囍兩房,新北市新店區光華街 元寶雙囍,住宅大樓,7.7年,建坪28.05,2房(室)2廳1衛,7/14樓,"1,588 萬"
書香捷運大空間,新北市新莊區中正路,公寓,49.2年,建坪32.99,3房(室)2廳1衛,4/4樓,"1,198 萬"
僑三採光三房,新北市板橋區僑中三街,公寓,42.6年,建坪31.26,3房(室)2廳2衛,4/5樓,"1,198 萬"
健華新城景觀三房,新北市板橋區文化路一段 健華新城,住宅大樓,19.8年,建坪55.08,3房(室)2廳2衛,13/14樓,"3,800 萬"
捷運電梯7+8,新北市土城區中央路四段,華廈,32.4年,建坪41.14,5房(室)4廳3衛(含加蓋2房(室)2廳1衛),7/7樓,"1,898 萬"
中港鼎佳大空間,新北市新莊區中港三街,公寓,38.4年,建坪34.98,7房(室)3廳3衛(含加蓋4房(室)1廳1衛),5/5樓,"1,150 萬"
捷運公園制震四房,新北市新莊區雙鳳路 君泰一期,住宅大樓,9.1年,建坪72.31,4房(室)2廳2衛,14/21樓,"4,450 萬"
永寧電梯單價42,新北市土城區中央路三段 黃金國,住宅大樓,32.2年,建坪32.95,3房(室)2廳2衛,9/16樓,"1,399 萬"
寶地三房平車美宅,新北市新店區安康路二段 寶地花園,華廈,30.3年,建坪42.09,3房(室)2廳2衛,6/8樓,"1,850 萬"
新板史丹佛陽光居,新北市板橋區新府路 史丹佛,住宅大樓,18.0年,建坪59.97,2房(室)2廳2衛,21/24樓,"5,068 萬"
光華學區首選兩房,新北市新莊區西盛街 中國海,住宅大樓,33.0年,建坪20.88,2房(室)1廳1衛,2/16樓,"1,028 萬"
秀朗明亮三房美寓,新北市永和區永元路,公寓,44.9年,建坪25.69,3房(室)2廳1衛,4/5樓,"1,398 萬"
安康明亮三房車,新北市新店區安德街 早安康橋,住宅大樓,17.0年,建坪42.43,3房(室)2廳2衛,3/13樓,"1,998 萬"
黃金廣場邊間三房,新北市新莊區中正路 宏運黃金廣場,華廈,31.4年,建坪33.61,3房(室)2廳2衛,6/9樓,"1,988 萬"
首購新莊雙語學區,新北市新莊區中正路,公寓,47.6年,建坪24.41,3房(室)2廳1衛,4/5樓,"1,200 萬"
麗京裝潢四房車位,新北市新莊區新豐街 麗京,住宅大樓,18.9年,建坪53.37,4房(室)2廳2衛,6/13樓,"3,288 萬"
永鼎捷運質感豪邸,新北市新莊區中正路 永鼎帝京,住宅大樓,8.9年,建坪123.48,4房(室)3廳3衛,21~22/22樓,"8,800 萬"
永鼎霸氣露臺豪邸,新北市新莊區中正路 永鼎帝京,住宅大樓,8.9年,建坪192.25,5房(室)3廳5衛,21~22/22樓,"12,800 萬"
豪門雙星邊間大戶,新北市新莊區景德路 豪門雙星,住宅大樓,32.8年,建坪73.61,4房(室)3廳3衛,4/15樓,"3,100 萬"
豪門雙星邊間大戶,新北市新莊區景德路 豪門雙星,住宅大樓,32.8年,建坪73.61,4房(室)3廳3衛,4/15樓,"3,100 萬"
捷運稀有裝潢美屋,新北市新莊區中正路,公寓,45.7年,建坪21.48,2房(室)2廳2衛,4/5樓,"1,050 萬"
中正次高露臺豪邸,新北市新莊區中正路 永鼎國璽,住宅大樓,12.3年,建坪107.07,4房(室)2廳3衛,17/18樓,"7,340 萬"
永鼎邊間景觀四房,新北市新莊區中正路 永鼎國璽,住宅大樓,12.3年,建坪64.41,4房(室)2廳2衛,10/18樓,"4,434 萬"
四維機能極品美寓,新北市新莊區四維路,公寓,40.8年,建坪21.51,2房(室)2廳1衛,4/5樓,898 萬
