鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
北區,房地(土地+建物)+車位,臺中市北區進化路５２７號十一樓之５,13.54,1090630,土地1建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,153.91,3,2,2,有,有,10980000,76536,坡道平面,28.74,1400000,RPSSMLRLKHKGFBB48DA,77.06,0,7.39,有
北區,房地(土地+建物)+車位,臺中市北區進化路５２５號十三樓之１,10.16,1090630,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,120.01,2,2,1,有,有,8480000,76574,坡道平面,27.55,1400000,RPTSMLRLKHKGFBB58DA,56,0,6.52,有
北區,房地(土地+建物)+車位,臺中市北區進化路５２５號六樓之２,9.03,1090612,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,103.93,2,2,1,有,有,6790000,74420,坡道機械,21.56,660000,RPTTMLRLKHKGFBB68DA,50.32,0,5.11,有
北區,房地(土地+建物),臺中市北區進化路５２５號七樓之２,9.03,1090602,土地1建物1車位0,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,82.38,2,2,1,有,有,6150000,74654,,0,0,RPXTMLRLKHKGFBB09DA,50.32,0,5.11,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１１號五樓之２,16.36,1090609,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,178.32,4,2,2,有,有,12750000,75211,坡道平面,28.74,1500000,RPWUMLRLKHKGFBB09DA,92.39,0,8.68,有
北區,房地(土地+建物)+車位,臺中市北區進化路５２５號十三樓之２,9.03,1090615,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,109.92,2,2,1,有,有,7550000,75877,坡道平面,27.55,1300000,RPVWMLRLKHKGFBB56DA,50.32,0,5.11,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１９號十三樓之５,14.9,1090601,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,164.8,3,2,2,有,有,11650000,76437,坡道平面,28.74,1250000,RPOQNLRLKHKGFBB97DA,83.73,0,8.02,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１３號十樓之３,10.16,1090625,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,121.2,2,2,1,有,有,8250000,75708,坡道平面,28.74,1250000,RPORNLRLKHKGFBB08DA,56,0,6.52,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１３號六樓之１,10.5,1090622,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,124.87,2,2,1,有,有,8570000,74586,坡道平面,28.74,1400000,RPQSNLRLKHKGFBB38DA,58.39,0,6.6,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１７號二樓之５,9.82,1090616,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,118.77,2,2,2,有,有,7390000,68199,坡道平面,28.74,1250000,RPVSNLRLKHKGFBB88DA,56.02,0,4.67,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１３號五樓之５,10.16,1090601,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,114.1,2,2,1,有,有,7360000,72401,坡道機械,21.56,660000,RPQTNLRLKHKGFBB48DA,56.08,0,6.52,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１３號十樓之５,10.16,1090624,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,121.28,2,2,1,有,有,8080000,73806,坡道平面,28.74,1250000,RPRUNLRLKHKGFBB68DA,56.08,0,6.52,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１５號六樓之１,14.22,1090617,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,159.11,3,2,2,有,有,10830000,73483,坡道平面,28.74,1250000,RPVOMLRLKHKGFBB38DA,80.12,0,7.73,有
北區,房地(土地+建物)+車位,臺中市北區進化路５２７號六樓之５,13.54,1090608,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,153.91,3,2,2,有,有,10790000,75018,坡道平面,28.74,1400000,RPURMLRLKHKGFBB58DA,77.06,0,7.39,有
北區,房地(土地+建物)+車位,臺中市北區進化路５２７號七樓之５,13.54,1090627,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,153.91,3,2,2,有,有,10880000,75737,坡道平面,28.74,1400000,RPPSMLRLKHKGFBB18DA,77.06,0,7.39,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１５號七樓之３,14.22,1090609,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,159.11,3,2,2,有,有,10920000,73023,坡道平面,28.74,1400000,RPUSMLRLKHKGFBB68DA,80.12,0,7.73,有
