鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號十八樓之３,13.26,住,,,1101106,土地1建物1車位2,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,191.63,3,2,2,有,有,18270000,110072,坡道平面,54.72,3200000,111年4月10日加購車位170萬元預售屋、或土地及建物分件登記案件；,RPPQMLSLLHKGFAD28DA,80.97,2.98,3.94,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號二樓之５,13.18,住,,,1101105,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,163.04,3,1,2,有,有,13580000,90696,坡道平面,26.54,1200000,1.本案於113年10月30日讓渡，其權利契約買賣價格不變2.本案於114年3月28日讓渡，其權利契約買賣價格不變預售屋、或土地及建物分件登記案件；,RPTPMLTJMHKGFAD58DA,82.42,0,5.17,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號三樓之５,14.37,住,,,1101018,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,173.32,3,2,2,有,有,14660000,91356,坡道平面,24.89,1100000,預售屋、或土地及建物分件登記案件；,RPROMLTKLHKGFAD28DA,82.42,7.65,5.17,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號四樓之２,14.86,住,,,1101004,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,180.17,3,2,2,有,有,15230000,91323,坡道平面,26.54,1200000,本案於113年8月24日讓渡，其權利契約買賣價格不變預售屋、或土地及建物分件登記案件；,RPPOMLLLLHKGFAD37DA,89.43,4.2,4.95,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號五樓之５,14.37,住,,,1101023,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,178.26,3,2,2,有,有,15020000,92771,坡道平面,29.83,1250000,預售屋、或土地及建物分件登記案件；,RPROMLOLLHKGFAD87DA,82.42,7.65,5.17,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號九樓之７,14.27,住,,,1101024,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,172.37,3,2,2,有,有,16200000,101031,坡道平面,24.89,1300000,預售屋、或土地及建物分件登記案件；,RPWPMLPLLHKGFAD58DA,85.29,5.53,3.8,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號七樓之５,14.37,住,,,1101002,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,174.97,3,2,2,有,有,15560000,95735,坡道平面,26.54,1350000,本案於113年8月23日讓渡，其權利契約買賣價格不變預售屋、或土地及建物分件登記案件；,RPSOMLPLLHKGFAD08DA,82.42,7.65,5.17,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號十八樓之２,14.8,住,,,1101016,土地1建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,179.58,2,2,2,有,有,18370000,110559,坡道平面,26.54,1450000,本案於113年8月23日讓渡，其權利契約買賣價格不變預售屋、或土地及建物分件登記案件；,RPOQMLSLLHKGFAD18DA,89.06,4.2,4.95,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號二十四樓之５,14.41,住,,,1101009,土地1建物1車位1,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,175.56,3,1,2,有,有,16540000,101933,坡道平面,26.54,1350000,預售屋、或土地及建物分件登記案件；,RPSOMLKMLHKGFAD67DA,82.79,7.65,5.17,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號十樓之６,15.22,住,,,1101028,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,183.88,4,2,2,有,有,18550000,109000,坡道平面,26.54,1400000,預售屋、或土地及建物分件登記案件；,RPQOMLRLLHKGFAD08DA,87.71,4.97,8.29,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號二十二樓之７,14.27,住,,,1101009,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,174.02,3,1,2,有,有,16470000,102183,坡道平面,26.54,1400000,預售屋、或土地及建物分件登記案件；,RPQSNLMJOHKGFAD18DA,85.29,5.53,3.8,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號二樓之１,14.33,住,,,1100925,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,174.65,2,1,2,有,有,15030000,93377,坡道平面,26.54,1200000,預售屋、或土地及建物分件登記案件；,RPVNMLTKLHKGFAD58DA,87.78,0,7.25,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號三樓之１,14.96,住,,,1100908,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,181.23,3,2,2,有,有,15650000,93736,坡道平面,26.54,1150000,預售屋、或土地及建物分件登記案件；,RPPOMLTKLHKGFAD08DA,87.78,4.28,7.25,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號三樓之６,15.22,住,,,1100908,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,183.88,4,2,2,有,有,15900000,93746,坡道平面,26.54,1150000,預售屋、或土地及建物分件登記案件；,RPSOMLTKLHKGFAD38DA,87.71,4.97,8.29,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號三樓之７,14.27,住,,,1100913,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,174.02,3,2,2,有,有,14020000,86927,坡道平面,26.54,1200000,本案於113年8月24日讓渡，其權利契約買賣價格不變預售屋、或土地及建物分件登記案件；,RPTOMLTKLHKGFAD48DA,85.29,5.53,3.8,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號六樓之３,13.06,住,,,1100904,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,161.49,3,2,2,有,有,13310000,89737,坡道平面,26.54,1200000,本案於112年3月9日讓渡，其權利契約買賣價格不變預售屋、或土地及建物分件登記案件；,RPPPMLOLLHKGFAD77DA,79.67,2.98,3.94,有,
