價格,車位價格,標題,地址,房屋類型,屋齡,建坪,實際坪數,樓層,格局,額外資訊1,額外資訊2,原始價格
"4,580",含車位價,生活名邸綠景四房,台北市內湖區金龍路,住宅大樓,28.9年,建坪74.54,主+陽+露53.24,2/15樓,4房(室)2廳2衛,千坪基地完整公設管理坡平車位,永慶房屋廁所有窗有天然瓦斯房間都有窗,"4,880萬"
"5,400",無,雙敦延吉金店透天,台北市松山區延吉街,透天厝,61.4年,建坪12.84,主12.84,1/1樓,--房(室)2廳1衛(含加蓋--房(室)1廳--衛),雙敦學區延吉街黃金店面,永慶房屋廁所有窗有天然瓦斯房間都有窗正面大馬路出租中近捷運台北小巨蛋站近捷運忠孝敦化站,"5,400"
"3,200",無,新幸鴻兩間收租強,台北市大同區民權西路,辦公商業大樓,38.6年,建坪42.36,主31.11,2/15樓,2房(室)2廳2衛,收租首選,永慶房屋有天然瓦斯房間都有窗近捷運L001站(規劃中)近捷運大橋頭站,"3,360萬"
"2,198",無,低總價黃金三樓,台北市信義區中坡南路,公寓,42.2年,建坪23.73,主+陽18.64,3/5樓,2房(室)2廳1衛,"近未來廣慈捷運,一旁四公頃綠地",永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運廣慈/奉天宮站(施工中),"2,298萬"
"2,560",無,興安低總價多用途,台北市中山區興安街,辦公商業大樓,39.5年,建坪32.20,主24.56,2/14樓,4房(室)2廳1衛,可住可辦，方正好規劃,永慶房屋有天然瓦斯房間都有窗近捷運SB04站(規劃中)近捷運南京復興站,"2,800萬"
"5,888",含車位價,宏普名人奢華豪邸,台北市信義區富陽街,華廈,14.8年,建坪61.92,主+陽35.89,4/7樓,3房(室)2廳2衛,知名宏普建設三房、車位稀有釋出,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運六張犁站近捷運麟光站,"5,888"
"2,780",無,面學校難得頂佳,台北市信義區忠孝東路五段,公寓,49.7年,建坪30.34,主30.34,4/4樓,4房(室)3廳2衛(含加蓋1房(室)1廳1衛),邊間 前後陽台 格局方正,永慶房屋有天然瓦斯房間都有窗近捷運後山埤站近捷運廣慈/奉天宮站(施工中),"2,780"
"7,180",含車位價450萬元,大氣美景坡平車位,台北市內湖區成功路五段,住宅大樓,15.6年,建坪100.84,主+陽42.30,8/11樓,3房(室)2廳2衛,"高樓美景明亮屋況好,有坡平車位",永慶房屋有天然瓦斯房間都有窗近捷運葫洲站,"7,180"
"6,388",無,金石山莊獨院別墅,台北市文山區秀明路一段,透天厝,34.6年,建坪120.56,主+平+陽+露94.70,B1~3/3樓,6房(室)4廳4.5衛(含加蓋--房(室)1廳0.5衛),近市區的別墅，管理優質,永慶房屋有天然瓦斯房間都有窗近捷運Y2A站(施工中)近捷運萬芳社區站,"7,200萬"
"5,308",含車位價300萬元,中山花博天璽三房,台北市中山區農安街,辦公商業大樓,9.0年,建坪65.95,主+陽34.41,3/14樓,3房(室)2廳2衛,屋齡新靜巷前後陽台正三房坡車,永慶房屋有天然瓦斯房間都有窗近捷運民權西路站,"5,308"
"2,800",無,北市稀有水岸兩房,台北市萬華區環河南路二段,住宅大樓,5.1年,建坪27.33,主+陽17.20,22/24樓,2房(室)2廳1.5衛,稀有面淡水河高樓水岸宅,永慶房屋近捷運龍山寺站,"2,990萬"
"2,600",無,公園景觀捷運美宅,台北市信義區忠孝東路五段,公寓,53.2年,建坪23.88,主23.88,2/4樓,2房(室)2廳2衛,近後山埤捷運 正面公園稀有釋出,永慶房屋房間都有窗近捷運後山埤站近捷運Y37站(施工中),"2,600"
"11,800",含車位價,高樓名宅基泰臺大,台北市大安區羅斯福路三段,住宅大樓,12.6年,建坪108.08,主+陽52.49,16/19樓,4房(室)2廳3衛,台大商圈生活機能佳-高樓層,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運公館站近捷運台電大樓站,"11,800"
"7,880",含車位價,大安面公園三房,台北市大安區大安路一段,華廈,15.7年,建坪57.37,主+陽33.32,2/10樓,3房(室)2廳2衛,鄰近忠孝sogo、面公園景觀,永慶房屋有天然瓦斯房間都有窗近捷運忠孝復興站,"7,880"
"5,200",含車位價,公園景觀晶華名邸,台北市南港區經貿二路,住宅大樓,17.1年,建坪61.20,主+陽33.57,2/12樓,4房(室)2廳2衛,稀有四房露臺戶,永慶房屋有天然瓦斯房間都有窗近捷運南港軟體園區站近捷運SB11站(施工中),"5,200"
"3,500",無,適文武百業大空間,台北市士林區華聲街,公寓,46.1年,建坪71.90,主71.90,B1/5樓,--房(室)2廳2衛,華榮市場公辦都更案旁大空間辦公,永慶房屋廁所有窗房間都有窗正面大馬路近捷運Y25站(施工中)近捷運Y26站(施工中),"3,800萬"
"1,750",無,陽明山上白雲山莊,台北市士林區仰德大道三段,公寓,46.8年,建坪46.95,主+陽44.71,2/4樓,4房(室)2廳2衛,"格局方正,停車便利,24H管理",永慶房屋廁所有窗房間都有窗,"1,750"
"5,580",含車位價,忠孝界稀有庭院戶,台北市信義區中坡南路,華廈,11.7年,建坪63.33,主+陽26.43,1/7樓,3房(室)3廳2衛(含加蓋2房(室)--廳--衛),近板南捷運/邊間/增建空間大,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運Y37站(施工中),"5,888萬"
"3,800",無,國輝花園優質好房,台北市萬華區國興路,華廈,34.6年,建坪46.68,主+陽37.44,10/10樓,3房(室)2廳2衛,稀有釋出,永慶房屋近捷運廈安站(施工中)近捷運植物園站(施工中),"3,800"
"20,900",含車位價470萬元,極景首泰信義,台北市大安區信義路四段,住宅大樓,3.6年,建坪102.92,主+陽56.90,22/34樓,#NAME?,捷運SC制震豪宅頂級公設,永慶房屋有天然瓦斯房間都有窗近捷運信義安和站,"20,900"
"3,088",無,專任附中高樓景觀,台北市大安區建國南路一段,住宅大樓,38.7年,建坪24.91,主+陽24.91,10/14樓,2房(室)2廳1衛,採光很好，景觀視野佳，可抽車位,永慶房屋新上有天然瓦斯房間都有窗,"3,088"
"5,500",無,大直捷運潛力透天,台北市中山區崇實路,透天厝,55.4年,建坪38.47,主+平+陽38.46,1~4/4樓,4房(室)2廳5衛(含加蓋1房(室)--廳1衛),生活機能交通便利,永慶房屋房間都有窗三角窗出租中近捷運大直站,"7,800萬"
"7,780",含車位價400萬元,一層一戶亮辦公室,台北市內湖區瑞光路,辦公商業大樓,19.2年,建坪122.16,主48.52,6/13樓,7房(室)1廳--衛,正瑞光路上靠近港墘生活機能便利,永慶房屋近捷運Y32站(施工中)近捷運港墘站,"7,780"
"4,980",無,稀有近捷運面寬店,台北市大安區和平東路二段,公寓,56.0年,建坪33.64,主33.64,1/4樓,3房(室)2廳2衛(含加蓋--房(室)--廳2衛),科技大樓捷運站步行約3分鐘,永慶房屋廁所有窗近捷運科技大樓站近捷運大安站,"4,980"
"3,980",無,正馬路面寬金店,台北市萬華區貴陽街二段,店面,41.4年,建坪50.32,主+平27.71,B1~1/6樓,#NAME?,正大馬路 大面寬 招牌效益佳,永慶房屋正面大馬路出租中近捷運龍山寺站,"3,980"
"6,280",含車位價,大華靜巷公園錄,台北市內湖區成功路五段,住宅大樓,26.1年,建坪86.66,主+陽41.69,3~4/14樓,4房(室)2廳3衛,大華建設面靜巷綠意,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運葫洲站,"6,280"
"6,980",含車位價200萬元,麗湖美景裝潢高樓,台北市內湖區成功路五段,住宅大樓,15.6年,建坪85.72,主+陽42.30,8/11樓,3房(室)2廳2衛,"一層一戶,綠意美景,面寬敞明亮",永慶房屋有天然瓦斯房間都有窗近捷運葫洲站,"6,980"
"2,048",無,瑞安璽朵高樓美琚,台北市大安區瑞安街,華廈,10.4年,建坪13.38,主+陽8.24,7/7樓,1房(室)--廳1衛,大安森林公園、捷運站步行約8分,永慶房屋新上近捷運大安站,"2,048"
"6,900",無,市場面寬三角窗,台北市信義區仁愛路四段,店面,45.7年,建坪32.25,主+平31.23,1/6樓,--房(室)3廳1衛,高投報.抗通膨.超大使用空間,永慶房屋近捷運台北101/世貿站近捷運國父紀念館站,"7,588萬"
"6,900",無,市場面寬三角窗,台北市信義區仁愛路四段,店面,45.7年,建坪32.25,主+平31.23,1/6樓,--房(室)3廳1衛,高投報.抗通膨.超大使用空間,永慶房屋近捷運台北101/世貿站近捷運國父紀念館站,"7,588萬"
"3,588",無,內湖國小文德店面,台北市內湖區內湖路二段,店面,43.9年,建坪28.88,主17.65,1/5樓,1房(室)2廳1衛(含加蓋1房(室)1廳--衛),近文德捷運 內湖國小 樂透店面,永慶房屋正面大馬路出租中近捷運文德站近捷運港墘站,"4,300萬"
"2,780",無,高樓樹海電梯三房,台北市內湖區康寧路三段,華廈,29.4年,建坪39.40,主+陽28.22,10/10樓,3房(室)2廳2衛,高樓層帝王景觀戶,永慶房屋有天然瓦斯房間都有窗近捷運葫洲站,"2,780"
"4,780",含車位價,捷運經貿公園三房,台北市南港區經貿二路,住宅大樓,17.1年,建坪52.17,主+陽27.23,11/12樓,3房(室)2廳2衛,高樓層採光佳，近捷運,永慶房屋有天然瓦斯房間都有窗近捷運南港軟體園區站近捷運SB11站(施工中),"4,780"
"8,600",含車位價,潤泰麗池絕美裝潢,台北市南港區經貿二路,華廈,17.1年,建坪103.53,主+陽50.74,4/9樓,3房(室)2廳2衛,潤泰建設大基地社區極少釋出,永慶房屋廁所有窗近捷運南港軟體園區站近捷運SB11站(施工中),"8,600"
"6,800",無,恆光街邊間金店,台北市文山區恆光街,店面,50.1年,建坪25.75,主25.75,1/4樓,--房(室)5廳2衛(含加蓋--房(室)4廳1衛),邊間醒目使用空間大,永慶房屋正面大馬路三角窗出租中,"6,800"
"4,298",含車位價,東方林園五室平車,台北市信義區中坡南路,其他,35.6年,建坪62.26,主+平48.02,1~B1/7樓,5房(室)2廳5衛,社區型有管理 難得平面車位,永慶房屋有天然瓦斯近捷運後山埤站近捷運廣慈/奉天宮站(施工中),"4,680萬"
"3,988",無,忠孝敦化稀有珍藏,台北市大安區忠孝東路四段,其他,52.8年,建坪28.10,主27.95,B1~11/11樓,#NAME?,東區捷運站旁傳世收租極稀有標的,永慶房屋近捷運忠孝敦化站近捷運忠孝復興站,"5,300萬"
"5,480",無,大馬路旁金透天,台北市萬華區和平西路三段,透天厝,41.0年,建坪67.74,主+平+陽+夾67.74,1~5/5樓,5房(室)6廳6衛,正面大馬路近捷運站整棟透天,永慶房屋有天然瓦斯正面大馬路出租中近捷運龍山寺站近捷運廈安站(施工中),"6,800萬"
"12,500",無,大安捷運三角窗店,台北市大安區復興南路一段,店面,52.2年,建坪38.74,主38.74,1/5樓,--房(室)4廳3衛(含加蓋--房(室)2廳2衛),大安捷運走路步行約3分鐘,永慶房屋正面大馬路三角窗出租中近捷運大安站,"12,500"
"2,150",無,大安收租角窗小品,台北市大安區和平東路二段,辦公商業大樓,15.5年,建坪11.34,主1.57,1/7樓,1房(室)1廳1衛,近台大後門、冠德安沐居,永慶房屋三角窗出租中近捷運科技大樓站,"2,580萬"
"2,988",無,後山埤捷運裝潢居,台北市南港區中坡南路,華廈,5.2年,建坪25.56,主+陽14.56,2/6樓,2房(室)2廳1衛,精緻裝潢，鄰近後山埤捷運站,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運Y37站(施工中),"3,088萬"
"1,158",無,麗山精美學區宅,台北市內湖區內湖路三段,華廈,31.3年,建坪12.63,主+陽9.89,4/8樓,1房(室)1廳1衛,屋況佳，麗山國中明星學區,永慶房屋有天然瓦斯房間都有窗近捷運內湖站,"1,158"
"2,243",無,內科捷運黃金三樓,台北市內湖區陽光街,公寓,42.2年,建坪28.54,主+陽28.53,3/5樓,3房(室)2廳1.5衛,方正三房兩廳兩衛前陽台進出,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站近捷運Y33站(施工中),"2,350萬"
"2,168",無,美日僑庭院一樓,台北市士林區中山北路七段,華廈,47.3年,建坪36.22,主+平32.15,1/7樓,3房(室)2廳2衛,近千坪基地，低公設比,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運LR11站(規劃中)近捷運LR10站(規劃中),"2,600萬"
"1,798",無,文德捷運2樓,台北市內湖區陽光街,公寓,42.8年,建坪20.10,主+陽20.11,2/5樓,2房(室)2廳1衛,近文德捷運站,永慶房屋房間都有窗近捷運文德站近捷運Y33站(施工中),"1,798"
"1,560",無,天母極品兩房裝潢,台北市士林區芝玉路一段,公寓,40.9年,建坪20.62,主+陽17.93,2/5樓,2房(室)2廳2衛(含加蓋--房(室)--廳1衛),有屋況免整理邊間兩房,永慶房屋房間都有窗近捷運LR09站(規劃中)近捷運LR10站(規劃中),"1,680萬"
"1,588",無,遠眺士北科公寓,台北市士林區通河西街二段,公寓,50.7年,建坪29.27,主29.27,4/4樓,1房(室)3廳2衛(含加蓋1房(室)1廳1衛),"河岸景觀,遠眺士北科",永慶房屋廁所有窗有天然瓦斯房間都有窗,"1,650萬"
688,無,小資成家首選,台北市萬華區西園路二段,公寓,49.2年,建坪15.33,主+陽13.81,5/5樓,3房(室)1廳2衛(含加蓋1房(室)--廳1衛),空間大，好規劃,永慶房屋廁所有窗,880萬
"2,980",無,大戶美妍家好便宜,台北市中山區中山北路二段,辦公商業大樓,20.2年,建坪23.84,主+陽14.15,3/12樓,4房(室)2廳2衛(含加蓋3房(室)--廳1衛),挑高四米二 飯店式管理,永慶房屋近捷運雙連站近捷運SB02站(規劃中),"3,300萬"
"5,780",含車位價750萬元,新鳳翔挑高獨戶,台北市內湖區文湖街,辦公商業大樓,16.5年,建坪116.62,主+陽48.69,3/7樓,5房(室)2廳2.5衛(含加蓋1房(室)--廳--衛),近捷運，一層一戶,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運西湖站,"5,780"
"2,180",無,士林中正黃金三樓,台北市士林區中正路,公寓,53.2年,建坪25.54,主+陽25.54,3/4樓,2房(室)2廳2衛,士林國中旁生活機能佳,永慶房屋廁所有窗有天然瓦斯近捷運Y25站(施工中)近捷運Y26站(施工中),"2,180"
"3,988",含車位價,26年稀雙拼華廈,台北市中山區建國北路一段,住宅大樓,26.2年,建坪42.62,主+陽28.69,8/12樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),公設15%樓板使照3.6米超讚,永慶房屋新上有天然瓦斯房間都有窗近捷運松江南京站,"3,988"
"2,179",無,邊間採光三房美寓,台北市內湖區陽光街,公寓,42.3年,建坪24.79,主+陽24.79,4/5樓,3房(室)2廳2衛,捷運站步行約8分鐘邊間三面採光,永慶房屋有天然瓦斯房間都有窗近捷運文德站近捷運Y33站(施工中),"2,258萬"
"4,375",含車位價280萬元,北科精美四房坡車,台北市北投區福美路,住宅大樓,7.9年,建坪59.10,主+陽34.04,5/13樓,4房(室)2廳2衛,格局方正、面關渡平原,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運L005站(規劃中)近捷運LR06站(規劃中),"4,580萬"
"2,480",含車位價,康樂一樓坡車美宅,台北市北投區新民路,辦公商業大樓,41.0年,建坪72.39,主+平55.02,1/7樓,5房(室)2廳5衛(含加蓋2房(室)--廳--衛),格局方正、裝潢新、新北投商圈,永慶房屋有天然瓦斯,"2,880萬"
"1,388",無,北投公園景觀美寓,台北市北投區光明路,公寓,40.0年,建坪26.83,主+陽23.16,4/5樓,3房(室)2廳1衛,公園綠景第一排,永慶房屋廁所有窗房間都有窗近捷運新北投站,"1,388"
"1,230",無,萬芳捷運美裝三房,台北市文山區興隆路三段,公寓,42.2年,建坪25.03,主+陽22.75,4/5樓,2房(室)2廳1衛,屋況佳，採光好，方正格局,永慶房屋新上有天然瓦斯房間都有窗近捷運萬芳醫院站近捷運萬芳社區站,"1,230"
"3,998",無,大安樂利景觀三房,台北市大安區樂利路,公寓,47.5年,建坪43.92,主+陽43.92,5/5樓,3房(室)2廳2衛,一層一戶，邊間都有開窗，景觀佳,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運六張犁站近捷運信義安和站,"3,998"
"1,450",無,東初和風美宅美景,台北市北投區光明路,公寓,40.1年,建坪32.79,主+陽28.22,5/5樓,2房(室)2廳2衛,與公園為鄰，景色佳,永慶房屋廁所有窗房間都有窗近捷運新北投站,"1,500萬"
"1,298",無,捷運溫馨電梯小宅,台北市北投區溫泉路,華廈,30.3年,建坪17.57,主+陽12.98,3/7樓,1房(室)2廳1衛,近捷運站，生活機能佳,永慶房屋有天然瓦斯房間都有窗近捷運新北投站近捷運北投站,"1,298"
"1,298",無,捷運溫馨電梯小宅,台北市北投區溫泉路,華廈,30.3年,建坪17.57,主+陽12.98,3/7樓,1房(室)2廳1衛,近捷運站，生活機能佳,永慶房屋有天然瓦斯房間都有窗近捷運新北投站近捷運北投站,"1,298"
"4,220",無,台北新家氣派辦公,台北市大安區基隆路二段,辦公商業大樓,36.4年,建坪53.96,主+陽44.91,7/17樓,5房(室)1廳1衛(含加蓋2房(室)--廳--衛),24H管理 有坡道平面車位可抽,永慶房屋近捷運六張犁站近捷運信義安和站,"4,220"
"1,460",無,商三土地邊間公寓,台北市北投區新市街,公寓,39.7年,建坪28.80,主+陽24.26,5/5樓,5房(室)3廳2衛(含加蓋2房(室)1廳1衛),近捷運 市場 通風採光佳,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運北投站近捷運新北投站,"1,780萬"
"4,980",無,北投庭院車庫別墅,台北市北投區大屯路,透天厝,34.0年,建坪106.18,主+平+陽+露59.74,B1~3/3樓,8房(室)4廳5衛(含加蓋4房(室)1廳1衛),環境清幽獨立庭院適合三代同堂,永慶房屋廁所有窗有天然瓦斯,"6,800萬"
"2,198",無,安和精美小豪宅,台北市大安區敦化南路二段,華廈,1.2年,建坪15.45,主+陽5.52,6/6樓,1房(室)--廳1衛,全新安和捷運獨戶有陽台,永慶房屋廁所有窗房間都有窗近捷運信義安和站,"2,468萬"
708,無,奇岩清幽景觀四房,台北市北投區奇岩路,公寓,53.1年,建坪30.55,主30.55,B1/3樓,4房(室)2廳2衛,低總價景觀環境宜人,永慶房屋近捷運新北投站近捷運北投站,768萬
770,無,關渡站小資首購宅,台北市北投區知行路,公寓,47.0年,建坪14.84,主+陽14.84,3/4樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),關渡生活商圈美寓,永慶房屋房間都有窗近捷運關渡站,888萬
"5,880",含車位價300萬元,財庫景觀三房坡車,台北市北投區自強街,住宅大樓,16.1年,建坪59.48,主+陽34.33,8/14樓,3房(室)2廳2衛,近捷運傳統市場採光通風生活機能,永慶房屋新上有天然瓦斯房間都有窗近捷運明德站近捷運石牌站,"5,880"
"3,780",無,遠企益壽電梯三房,台北市大安區通化街,華廈,44.8年,建坪43.02,主+陽38.09,3/7樓,2房(室)2廳3衛,24H管理、垃圾代收、新裝潢,永慶房屋有天然瓦斯房間都有窗近捷運六張犁站,"3,780"
"2,988",含車位價,澄品精妝三房車,台北市北投區致遠一路一段,住宅大樓,17.8年,建坪35.76,主+陽22.55,2/11樓,2房(室)2廳2衛(含加蓋--房(室)1廳--衛),精美裝潢即可入住,永慶房屋有天然瓦斯房間都有窗近捷運明德站近捷運石牌站,"3,088萬"
"1,750",無,靜巷管理平面2房,台北市北投區石牌路二段,華廈,33.0年,建坪21.88,主+陽+露17.46,5/5樓,2房(室)1廳1衛(含加蓋1房(室)1廳--衛),明學區 近醫療 靜巷 有管理員,永慶房屋有天然瓦斯房間都有窗,"1,750"
"2,528",含車位價280萬元,天母樹景2室坡車,台北市北投區同德街,辦公商業大樓,20.1年,建坪28.72,主+陽11.18,10/15樓,1房(室)2廳2衛(含加蓋1房(室)--廳1衛),近美日僑學校 近醫療 近公園,永慶房屋有天然瓦斯房間都有窗,"2,528"
"2,988",無,靜巷採光美廈三房,台北市中山區新生北路三段,華廈,42.8年,建坪38.34,主+陽+露36.19,5/6樓,3房(室)2廳2.5衛,一層二戶電梯華廈，屋況優,永慶房屋新上有天然瓦斯近捷運中山國小站,"2,988"
"1,300",無,南京商三用地一樓,台北市松山區基隆路一段,住宅大樓,45.2年,建坪20.65,主13.58,1/12樓,2房(室)2廳2衛,近南京三民站生活圈，雙面寬一樓,永慶房屋房間都有窗近捷運南京三民站,"1,488萬"
"6,980",無,仁愛天廈豪邸三房,台北市大安區仁愛路四段,住宅大樓,39.1年,建坪49.64,主+陽42.47,2/15樓,3房(室)2廳2衛,十大名宅，正仁愛路近千坪基地,永慶房屋近捷運國父紀念館站近捷運信義安和站,"7,200萬"
"2,880",無,新光三越景觀美邸,台北市士林區天母東路,公寓,46.9年,建坪58.72,主+陽58.72,5~6/4樓,4房(室)--廳2衛(含加蓋4房(室)--廳2衛),使用空間大正面公園綠意明星學區,永慶房屋近捷運LR11站(規劃中),"3,280萬"
"3,920",無,稀有邊間管理三房,台北市士林區天母東路,華廈,48.1年,建坪49.22,主+陽41.97,6/8樓,3房(室)2廳2衛(含加蓋--房(室)--廳1衛),近新光三越公園知名學區電梯社區,永慶房屋近捷運LR11站(規劃中)近捷運LR10站(規劃中),"3,920"
"2,688",含車位價,石牌學區三房車位,台北市北投區行義路,華廈,5.6年,建坪41.16,主+陽21.55,3/5樓,3房(室)2廳2衛,邊間三房車 三面採光通風好,永慶房屋廁所有窗房間都有窗,"3,080萬"
"1,880",無,國泰方正格局美寓,台北市內湖區內湖路一段,公寓,42.1年,建坪29.29,主+陽29.30,5/5樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),知名國泰建設 格局方正好規劃,永慶房屋近捷運劍南路站近捷運Y29站(施工中),"2,088萬"
"4,850",含車位價300萬元,松山捷運三房平車,台北市松山區民族東路,華廈,43.8年,建坪53.63,主+陽40.32,2/7樓,3房(室)2廳2衛,近松機捷運管理華廈坡平車位美屋,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運松山機場站近捷運中山國中站,"4,850"
"4,580",無,臺大校園電梯四房,台北市中正區羅斯福路四段,華廈,41.3年,建坪51.27,主+陽48.16,5/7樓,4房(室)2廳2衛,近捷運萬坪公園低公設前後陽台,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運公館站近捷運台電大樓站,"4,980萬"
"3,380",含車位價200萬元,古亭捷運金鑽電梯,台北市中正區南昌路二段,辦公商業大樓,28.9年,建坪37.40,主17.65,3/11樓,2房(室)2廳1衛,近捷運方正屋況棒,永慶房屋有天然瓦斯房間都有窗近捷運古亭站,"3,380"
"2,880",無,景美低樓好質感,台北市文山區景華街,公寓,44.1年,建坪43.31,主+陽36.74,3/5樓,3房(室)2廳2衛,景美商圈 低樓層 格局方正,永慶房屋新上有天然瓦斯房間都有窗近捷運景美站,"2,880"
"2,880",含車位價250萬元,威京三房景觀平車,台北市南港區南港路二段,住宅大樓,30.8年,建坪42.42,主+陽20.07,17/17樓,3房(室)2廳1衛,高樓兩房坡平車位,永慶房屋新上有天然瓦斯房間都有窗,"2,880"
"8,588",含車位價900萬元,美日僑新美齊心岳,台北市士林區中山北路六段,住宅大樓,2.0年,建坪88.37,主+陽40.01,11/14樓,3房(室)2廳2.5衛,離美校450公尺走路約 5分鐘,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運LR10站(規劃中),"8,888萬"
"2,988",含車位價,天玉街美景兩房車,台北市士林區天玉街,住宅大樓,28.5年,建坪32.65,主+陽+露20.58,10~11/11樓,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),視野看出去很舒服管理社區含車位,永慶房屋有天然瓦斯房間都有窗,"2,988"
"3,200",無,翔譽高樓朝南景觀,台北市南港區興中路,住宅大樓,13.0年,建坪27.89,主+陽15.66,21/25樓,1房(室)2廳1衛,邊間高樓層，景觀好，原始兩房,永慶房屋新上有天然瓦斯近捷運南港站,"3,200"
"1,168",無,專任中山站美套房,台北市大同區寧夏路,套房,29.0年,建坪14.03,主+陽8.72,7/14樓,1房(室)1廳1衛,全新裝潢拎包入住-近中山捷運站,永慶房屋新上近捷運SB01站(規劃中)近捷運中山站,"1,250萬"
"2,680",無,民生圓環旁靜巷宅,台北市松山區民生東路五段,公寓,50.3年,建坪31.01,主31.01,4/4樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),鬧中取靜，一巷住宅，生活機能佳,永慶房屋有天然瓦斯房間都有窗近捷運SB06站(規劃中),"3,180萬"
"1,698",無,文化邊間稀有二樓,台北市北投區中和街,公寓,48.5年,建坪34.30,主+陽34.31,2/4樓,3房(室)2廳2衛,邊間、室內乾淨、採光通風佳,永慶房屋廁所有窗房間都有窗,"1,798萬"
"3,380",無,師大黃金2樓美寓,台北市大安區師大路,公寓,49.4年,建坪34.40,主34.40,2/4樓,4房(室)2廳2衛(含加蓋1房(室)--廳1衛),近捷運師大商圈公園綠地靜巷純住,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運台電大樓站近捷運古亭站,"3,380"
"3,380",無,師大黃金2樓美寓,台北市大安區師大路,公寓,49.4年,建坪34.40,主34.40,2/4樓,4房(室)2廳2衛(含加蓋1房(室)--廳1衛),近捷運師大商圈公園綠地靜巷純住,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運台電大樓站近捷運古亭站,"3,380"
"13,900",含車位價1200萬元,縱橫天廈四房坡車,台北市大安區四維路,住宅大樓,12.4年,建坪123.00,主+陽48.25,5/11樓,4房(室)2廳3衛,一層一戶、全天管理、鬧中取靜,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站近捷運大安站,"13,900"
"2,180",含車位價,政大溫馨綠意3房,台北市文山區政大二街,華廈,22.4年,建坪41.38,主+陽25.33,5/7樓,3房(室)2廳2衛,政大附中旁正面綠景光線明亮,永慶房屋新上有天然瓦斯房間都有窗,"2,180"
"1,750",無,社子稀有舒適三房,台北市士林區延平北路六段,公寓,40.4年,建坪35.48,主+陽32.25,4/5樓,3房(室)2廳2衛,前、後陽台、天然瓦斯、房間有窗,永慶房屋有天然瓦斯房間都有窗近捷運Y24站(施工中)近捷運L004站(規劃中),"2,080萬"
"3,388",無,松菸大巨蛋旺店面,台北市大安區市民大道四段,店面,44.5年,建坪17.52,主+平17.52,1/5樓,1房(室)1廳1衛(含加蓋1房(室)--廳1衛),松菸大巨蛋東區商圈稀有店面,永慶房屋正面大馬路近捷運國父紀念館站近捷運忠孝敦化站,"3,388"
"2,288",無,一層一戶靜巷三房,台北市信義區和平東路三段,公寓,44.6年,建坪28.96,主+陽28.96,4/5樓,3房(室)2廳1衛,一層一戶公寓稀有釋出,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運麟光站近捷運六張犁站,"2,288"
"1,780",無,景美低樓捷心居,台北市文山區景華街,公寓,46.2年,建坪23.43,主+陽23.44,3/5樓,2房(室)2廳1衛,方正邊間靜巷宅，景美商圈好機能,永慶房屋有天然瓦斯房間都有窗近捷運景美站,"1,780"
"2,680",無,北藝中心捷運兩房,台北市士林區劍潭路,住宅大樓,26.9年,建坪23.56,主+陽17.65,3/13樓,2房(室)1廳1衛,近劍潭捷運站交通便利生活機能棒,永慶房屋有天然瓦斯房間都有窗近捷運劍潭站,"2,888萬"
"2,238",無,天母捷運首購美妝,台北市士林區至誠路二段,公寓,43.3年,建坪33.75,主+陽30.35,5/5樓,3房(室)2廳2衛,SOGO商圈可直接入住景觀宅,永慶房屋,"2,488萬"
"6,000",含車位價520萬元,士東景觀三房車位,台北市士林區士東路,華廈,20.9年,建坪83.72,主+陽37.33,4/9樓,3房(室)2廳2衛,三面採光方正格局鬧中取靜有管理,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運LR09站(規劃中)近捷運LR10站(規劃中),"6,550萬"
