價格,車位價格,標題,地址,房屋類型,屋齡,建坪,實際坪數,樓層,格局,額外資訊1,額外資訊2,原始價格
"4,990",含車位價350萬元,天母裝潢精美美屋,台北市士林區中山北路六段,住宅大樓,3.5年,建坪50.67,主+陽23.22,3/14樓,2房(室)2廳2衛,天母SOGO商圈,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運LR09站(規劃中)近捷運芝山站,"5,680萬"
"4,388",無,大直捷運靜巷一樓,台北市中山區大直街,店面,41.9年,建坪45.30,主+平31.77,1/5樓,1房(室)3廳1衛(含加蓋--房(室)1廳--衛),門前庭院，方便停車，面寬氣派,永慶房屋有天然瓦斯房間都有窗近捷運大直站,"5,280萬"
"4,980",含車位價250萬元,專任大直歌林花園,台北市中山區北安路,華廈,31.8年,建坪51.54,主+陽38.40,5/9樓,3房(室)2廳2衛,千坪基地 保全管理 低公設比,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運Y29站(施工中)近捷運劍南路站,"4,980"
"3,598",含車位價,綠景美妝三房車位,台北市中山區通北街,華廈,27.4年,建坪50.15,主+陽29.48,7/9樓,3房(室)2廳2衛,生活機能良好、綠意盎然、免整理,永慶房屋新上廁所有窗有天然瓦斯房間都有窗,"3,598"
"5,608",含車位價350萬元,新潤精緻豪邸坡車,台北市松山區寶清街,住宅大樓,7.9年,建坪49.33,主+陽24.06,5/13樓,3房(室)2廳2衛,拎包直接入住、坡道平面大車位,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南京三民站近捷運SB06站(規劃中),"5,980萬"
"6,000",無,藍天凱悅絕美景觀,台北市大安區敦化南路二段,住宅大樓,39.9年,建坪40.67,主+陽34.16,26/26樓,5房(室)2廳3衛(含加蓋3房(室)--廳1衛),24管理高樓景觀內梯頂加,永慶房屋有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"7,188萬"
"2,988",含車位價250萬元,信義安和捷運新宅,台北市大安區安和路二段,華廈,4.5年,建坪23.25,主+陽9.84,6/7樓,--房(室)1廳1衛,一巷住家景觀露台綠蔭環繞面公園,永慶房屋有天然瓦斯房間都有窗近捷運信義安和站近捷運大安站,"3,088萬"
"4,288",含車位價300萬元,信義區達欣全新屋,台北市信義區吳興街,住宅大樓,0.8年,建坪47.45,主+陽24.28,9/13樓,2房(室)2廳2衛,全新成屋 知名建商信義區代表作,永慶房屋有天然瓦斯房間都有窗近捷運Y39站(施工中),"4,288"
"6,880",含車位價800萬元,大安美妝三房車位,台北市大安區樂業街,住宅大樓,13.4年,建坪82.01,主+陽39.55,6/13樓,3房(室)2廳2衛,一層一戶-獨立梯間-隱私性佳,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運六張犁站近捷運麟光站,"6,880"
"3,368",無,附中朝南三房兩衛,台北市大安區建國南路一段,住宅大樓,38.6年,建坪26.39,主+陽26.39,6/12樓,3房(室)1廳2衛,近捷運 近師大附中 近延平中學,永慶房屋有天然瓦斯近捷運大安森林公園站近捷運大安站,"3,368"
"7,880",含車位價,綠樹景觀漂亮四房,台北市大安區和平東路二段,華廈,12.7年,建坪75.49,主+陽35.78,2/9樓,4房(室)2廳2衛,"靜巷面綠景豪宅，附小龍門學區,",永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站,"8,500萬"
"7,880",含車位價,綠樹景觀漂亮四房,台北市大安區和平東路二段,華廈,12.7年,建坪75.49,主+陽35.78,2/9樓,4房(室)2廳2衛,"靜巷面綠景豪宅，附小龍門學區,",永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站,"8,500萬"
"3,380",無,中正國中電梯2房,台北市中正區杭州南路一段,華廈,9.4年,建坪22.68,主+陽14.03,2/7樓,--房(室)1廳1衛,近仁愛路靜巷,永慶房屋廁所有窗房間都有窗近捷運東門站,"3,630萬"
"15,000",含車位價500萬元,大安景觀空中花園,台北市大安區大安路一段,華廈,41.8年,建坪91.29,主+陽65.87,7/7樓,5房(室)4廳4衛(含加蓋2房(室)1廳2衛),裝潢精美-101景觀-空中花園,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運忠孝復興站,"18,000萬"
"4,598",含車位價400萬元,和平實小三房坡車,台北市大安區臥龍街,住宅大樓,35.4年,建坪48.16,主+陽32.91,5/11樓,3房(室)2廳1衛,和平實小學區、與豪宅為鄰,永慶房屋有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"4,598"
"4,180",無,陸裝新城管理三房,台北市大安區敦化南路二段,住宅大樓,40.5年,建坪41.66,主+陽28.55,8/19樓,3房(室)2廳2衛,敦化南路燙金門牌、白班管理,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"4,380萬"
"1,798",無,直面公園電梯兩房,台北市內湖區康樂街,華廈,31.3年,建坪27.53,主+陽+露25.07,5/5樓,2房(室)2廳1衛(含加蓋1房(室)1廳--衛),主臥公園美景一層一戶近東湖捷運,永慶房屋有天然瓦斯房間都有窗近捷運SB11站(施工中),"1,980萬"
"2,800",無,信義龍門捷運美宅,台北市信義區福德街,公寓,40.0年,建坪42.11,主+陽38.85,4/5樓,3房(室)2廳2衛,24小時管理社區型公寓,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運廣慈/奉天宮站(施工中)近捷運Y37站(施工中),"2,800"
"2,238",無,高樓美景附中設籍,台北市大安區信義路三段,住宅大樓,18.5年,建坪15.14,主+陽9.14,11/14樓,1房(室)--廳1衛,邊間高樓層、廁所開窗,永慶房屋廁所有窗近捷運大安森林公園站近捷運大安站,"2,380萬"
"2,768",無,明湖學區電梯美邸,台北市內湖區康寧路三段,華廈,29.4年,建坪39.21,主+陽28.17,9/9樓,3房(室)2廳2衛,頂樓帝王戶電梯三房,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運葫洲站,"2,868萬"
"6,380",無,大氣樹海第一排,台北市大安區敦化南路二段,住宅大樓,42.8年,建坪66.70,主+陽55.89,6/12樓,4房(室)2廳2衛,一路發敦南燙金門牌，邊間有管理,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運六張犁站近捷運科技大樓站,"6,380"
"13,800",含車位價,降3千萬電梯別墅,台北市內湖區民權東路六段,透天厝,18.9年,建坪230.15,主+陽168.78,1~4/4樓,9房(室)6廳8衛(含加蓋3房(室)4廳5.5衛),內湖獨棟電梯別墅可停四車前後院,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運SB08站(規劃中)近捷運SB09站(規劃中),"16,800萬"
"2,000",無,師大附中菁選集,台北市大安區信義路三段,套房,18.3年,建坪11.78,主+陽7.15,3/14樓,1房(室)1廳1衛,附中 幸安國小學區,永慶房屋房間都有窗近捷運大安森林公園站近捷運大安站,"2,100萬"
"7,980",無,上林苑稀有面公園,台北市信義區青雲街,透天厝,39.6年,建坪102.90,主+平+陽75.84,1~3/3樓,4房(室)2廳6衛(含加蓋1房(室)1廳4衛),獨立地號、土地持分大、面樹蔭,永慶房屋房間都有窗,"9,800萬"
"8,800",含車位價500萬元,華固學府三房坡車,台北市大安區復興南路二段,住宅大樓,0.7年,建坪56.13,主+陽29.88,10/23樓,3房(室)2廳2衛,近科技大樓捷運站，SRC鋼骨,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站,"8,800"
"9,988",含車位價400萬元,華固後棟四房坡車,台北市大安區復興南路二段,住宅大樓,0.7年,建坪67.25,主+陽37.47,5/23樓,4房(室)2廳2衛,SRC，近科技大樓捷運站,永慶房屋新上廁所有窗有天然瓦斯房間都有窗,"9,988"
"6,998",無,名人巷綠蔭美三房,台北市大安區敦化南路一段,華廈,48.1年,建坪48.37,主+陽40.47,5/7樓,3房(室)2廳2衛,復興小學旁有裝潢有管理,永慶房屋新上有天然瓦斯房間都有窗近捷運忠孝敦化站近捷運忠孝復興站,"6,998"
"3,368",無,金華國中管理美妝,台北市大安區新生南路一段,住宅大樓,4.5年,建坪20.65,主+陽12.40,2/12樓,3房(室)2廳1衛(含加蓋2房(室)--廳--衛),全天管理金華國中學區近森林公園,永慶房屋房間都有窗近捷運大安森林公園站近捷運東門站,"3,888萬"
"2,750",無,元大公園挑高美妝,台北市大安區新生南路一段,辦公商業大樓,27.8年,建坪14.58,主+陽9.77,11/11樓,1房(室)2廳1衛(含加蓋1房(室)--廳1衛),森林公園捷運幸安金華挑高樓中樓,永慶房屋房間都有窗近捷運大安森林公園站近捷運東門站,"2,750"
"3,088",無,松江收租都更三樓,台北市中山區松江路,公寓,41.8年,建坪36.32,主+陽36.32,3/5樓,5房(室)2廳3衛(含加蓋1房(室)1廳1衛),黃金三樓，魔術大空間,永慶房屋有天然瓦斯近捷運行天宮站近捷運中山國小站,"3,088"
