鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３５１號十四樓之６,15.94,住,,,1130708,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,117.54,2,2,1,有,有,12880000,123315,坡道平面,28.5,1900000,預售屋、或土地及建物分件登記案件；,RPRPMLOLPHKGFJB09DA,53.08,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號五樓之１,21.87,住,,,1130706,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,150.29,3,2,2,有,有,15190000,111830,坡道平面,29.66,1700000,預售屋、或土地及建物分件登記案件；,RPUQMLOLPHKGFJB86DA,72.48,0,7.97,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號十一樓之１,21.87,住,,,1130706,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,150.29,3,2,2,有,有,15650000,114399,坡道平面,29.66,1850000,預售屋、或土地及建物分件登記案件；,RPVQMLOLPHKGFJB96DA,72.48,0,7.97,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號六樓之３,22.62,住,,,1130717,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,153.88,3,2,2,有,有,15480000,110932,坡道平面,29.66,1700000,預售屋、或土地及建物分件登記案件；,RPPRMLOLPHKGFJB09DA,73.74,0,9.14,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號五樓之５,16.68,住,,,1130702,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,121.85,2,2,1,有,有,12830000,120729,坡道平面,29.66,1700000,預售屋、或土地及建物分件登記案件；,RPQRMLOLPHKGFJB56DA,55.59,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號五樓之６,15.94,住,,,1130706,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,118.06,2,2,1,有,有,12430000,121380,坡道平面,29.66,1700000,預售屋、或土地及建物分件登記案件；,RPVRMLOLPHKGFJB07DA,53.08,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號六樓之６,15.94,住,,,1130703,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,118.06,2,2,1,有,有,12370000,121833,坡道平面,29.66,1600000,預售屋、或土地及建物分件登記案件；,RPWRMLOLPHKGFJB17DA,53.08,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號十一樓之６,15.94,住,,,1130704,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,118.06,2,2,1,有,有,12810000,123982,坡道平面,29.66,1850000,預售屋、或土地及建物分件登記案件；,RPOSMLOLPHKGFJB09DA,53.08,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４９號九樓之２,15.94,住,,,1130711,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,120.31,2,2,1,有,有,12680000,119470,坡道平面,29.66,1850000,預售屋、或土地及建物分件登記案件；,RPUNMLPLPHKGFJB66DA,53.15,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６５號五樓之３,23.5,住,,,1130730,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,148.16,3,2,2,有,有,15170000,113771,坡道平面,28.71,1580000,預售屋、或土地及建物分件登記案件；,RPVNMLRJQHKGFJB86DA,68.77,0,8.94,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號十樓之３,24.77,住,,,1130729,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,154.77,3,2,2,有,有,16020000,113359,坡道平面,28.71,1730000,預售屋、或土地及建物分件登記案件；,RPROMLRJQHKGFJB56DA,71.82,0,10.26,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號六樓之５,24.77,住,,,1130701,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,183.38,3,2,2,有,有,16870000,107256,坡道平面,57.42,3360000,預售屋、或土地及建物分件登記案件；,RPUOMLRJQHKGFJB86DA,71.75,0,10.23,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６８號二樓之５,22.87,住,,,1130726,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,144.87,3,2,2,有,有,14350000,107991,坡道平面,27.36,1660000,預售屋、或土地及建物分件登記案件；,RPVQMLQKPHKGFJB07DA,71.66,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６８號十一樓之５,22.87,住,,,1130712,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,144.87,3,2,2,有,有,14840000,110459,坡道平面,27.36,1860000,預售屋、或土地及建物分件登記案件；,RPQRMLRJQHKGFJB76DA,71.66,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號二樓之２,22.99,住,,,1130728,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,156.14,3,2,2,有,有,15720000,110848,坡道平面,29.66,1700000,預售屋、或土地及建物分件登記案件；,RPWQMLOLPHKGFJB07DA,76.4,0,7.97,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號十一樓之５,16.68,住,,,1130705,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,121.85,2,2,1,有,有,13110000,122139,坡道平面,29.66,1850000,預售屋、或土地及建物分件登記案件；,RPRRMLOLPHKGFJB66DA,55.59,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號九樓之６,15.94,住,,,1130701,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,118.06,2,2,1,有,有,12680000,123643,坡道平面,29.66,1750000,預售屋、或土地及建物分件登記案件；,RPXRMLOLPHKGFJB27DA,53.08,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３５１號四樓之３,22.62,住,,,1130710,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,153.49,3,2,2,有,有,15290000,109129,坡道平面,28.5,1650000,預售屋、或土地及建物分件登記案件；,RPUNMLOKQHKGFJB56DA,73.74,0,9.14,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３５１號五樓之３,22.62,住,,,1130712,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,154.65,3,2,2,有,有,15460000,110089,坡道平面,29.66,1700000,預售屋、或土地及建物分件登記案件；,RPVNMLOKQHKGFJB66DA,73.74,0,9.14,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３５１號十一樓之６,15.94,住,,,1130710,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,118.7,2,2,1,有,有,12880000,123877,坡道平面,29.66,1850000,預售屋、或土地及建物分件登記案件；,RPOOMLOKQHKGFJB68DA,53.08,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４９號四樓之２,15.94,住,,,1130712,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,120.31,2,2,1,有,有,12450000,118588,坡道平面,29.66,1700000,預售屋、或土地及建物分件登記案件；,RPROMLOKQHKGFJB98DA,53.15,0,5.92,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３４７號九樓之１,21.87,住,,,1130706,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140625,150.29,3,2,2,有,有,15370000,112078,坡道平面,29.66,1850000,預售屋、或土地及建物分件登記案件；,RPWOMLOKQHKGFJB86DA,72.48,0,7.97,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６６號十二樓之５,23.45,住,,,1130701,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,146.28,3,2,2,有,有,14970000,111083,坡道平面,27.36,1760000,預售屋、或土地及建物分件登記案件；,RPVNMLQKPHKGFJB76DA,72.53,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號十一樓之１,24.77,住,,,1130708,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,153.97,3,2,2,有,有,15670000,110610,坡道平面,27.49,1680000,預售屋、或土地及建物分件登記案件；,RPSNMLKLQHKGFJB68DA,71.51,0,10.79,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７７０號二樓之２,23.45,住,,,1130720,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,145.99,3,2,2,有,有,14380000,107224,坡道平面,27.36,1660000,預售屋、或土地及建物分件登記案件；,RPTOMLMLPHKGFJB98DA,72.01,0,6.95,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６５號三樓之１,23.5,住,,,1130703,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,148.33,3,2,2,有,有,14700000,108845,坡道平面,28.71,1680000,預售屋、或土地及建物分件登記案件；,RPVNMLTLQHKGFJB27DA,68.9,0,8.98,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６６號四樓之２,23.45,住,,,1130607,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,147.55,3,2,2,有,有,14780000,107710,坡道平面,28.62,1970000,預售屋、或土地及建物分件登記案件；,RPXUMLMJOHKGFJB07DA,72.53,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６８號十五樓之２,22.87,住,,,1130603,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,144.87,3,2,2,有,有,14630000,109523,坡道平面,27.36,1760000,113.10.4權利轉讓總價為新台幣1463萬元整姊妹預售屋、或土地及建物分件登記案件；,RPSOMLNJOHKGFJB68DA,71.66,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６８號十五樓之５,22.87,住,,,1130606,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,144.87,3,2,2,有,有,14520000,109437,坡道平面,27.36,1660000,預售屋、或土地及建物分件登記案件；,RPSNMLOJOHKGFJB68DA,71.66,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段３３５號九樓之５,24.82,住,,,1130615,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140123,183.93,3,2,2,有,有,18050000,111632,坡道平面,49.56,3050000,預售屋、或土地及建物分件登記案件；,RPOOMLNJLHKGFJB97DA,80.35,0,7.81,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號八樓之１,24.77,住,,,1130626,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,182.68,3,2,2,有,有,16880000,109266,坡道平面,56.2,3060000,預售屋、或土地及建物分件登記案件；,RPVNMLLKOHKGFJB78DA,71.51,0,10.79,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號十四樓之５,24.77,住,,,1130627,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,154.67,3,2,2,有,有,15820000,111464,坡道平面,28.71,1780000,預售屋、或土地及建物分件登記案件；,RPOOMLLKOHKGFJB18DA,71.75,0,10.23,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６６號十五樓之２,23.45,住,,,1130610,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,147.55,3,2,2,有,有,14990000,109476,坡道平面,28.62,1970000,預售屋、或土地及建物分件登記案件；,RPSNMLPJOHKGFJB78DA,72.53,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６８號三樓之５,22.87,住,,,1130601,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,144.87,3,2,2,有,有,14300000,107565,坡道平面,27.36,1660000,預售屋、或土地及建物分件登記案件；,RPPNMLOLOHKGFJB58DA,71.66,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號五樓之１,24.77,住,,,1130619,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,153.97,3,2,2,有,有,15100000,107685,坡道平面,27.49,1480000,預售屋、或土地及建物分件登記案件；,RPWOMLTKOHKGFJB17DA,71.51,0,10.79,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號十一樓之２,24.77,住,,,1130627,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,155.19,3,2,2,有,有,15800000,110848,坡道平面,28.71,1780000,預售屋、或土地及建物分件登記案件；,RPPPMLTKOHKGFJB56DA,71.51,0,10.79,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號二樓之３,24.77,住,,,1130625,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,154.77,3,2,2,有,有,15130000,106695,坡道平面,28.71,1680000,預售屋、或土地及建物分件登記案件；,RPRPMLTKOHKGFJB76DA,71.82,0,10.26,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號五樓之５,24.77,住,,,1130620,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,154.67,3,2,2,有,有,15380000,108368,坡道平面,28.71,1730000,預售屋、或土地及建物分件登記案件；,RPTPMLTKOHKGFJB96DA,71.75,0,10.23,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２７１號十四樓之５,18.42,住,,,1130612,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,151.14,2,2,1,有,有,13670000,110009,坡道平面,57.42,3360000,預售屋、或土地及建物分件登記案件；,RPXQMLTKOHKGFJB47DA,52.28,0,8.66,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段７６８號二樓之２,22.87,住,,,1130612,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140414,144.87,3,2,2,有,有,14200000,106714,坡道平面,27.36,1660000,預售屋、或土地及建物分件登記案件；,RPTNMLRJPHKGFJB56DA,71.66,0,6.54,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６７號七樓之３,24.77,住,,,1130626,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,154.77,3,2,2,有,有,15780000,111058,坡道平面,28.71,1780000,預售屋、或土地及建物分件登記案件；,RPOOMLLJPHKGFJB18DA,71.82,0,10.26,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６５號六樓之１,23.5,住,,,1130620,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,148.33,3,2,2,有,有,15000000,112189,坡道平面,28.71,1580000,預售屋、或土地及建物分件登記案件；,RPVOMLNJPHKGFJB09DA,68.9,0,8.98,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２７１號十三樓之５,18.42,住,,,1130628,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,151.14,2,2,1,有,有,14030000,111716,坡道平面,57.42,3560000,預售屋、或土地及建物分件登記案件；,RPSPMLQKPHKGFJB66DA,52.28,0,8.66,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２７３號六樓之１,18.42,住,,,1130626,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,120.43,2,2,1,有,有,12380000,115569,坡道平面,28.71,1780000,預售屋、或土地及建物分件登記案件；,RPUPMLQKPHKGFJB86DA,50.97,0,8.78,有,,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段２６５號十四樓之５,23.5,住,,,1130620,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140321,148.33,3,2,2,有,有,15220000,113192,坡道平面,28.71,1680000,預售屋、或土地及建物分件登記案件；,RPROMLMLPHKGFJB78DA,68.9,0,8.98,有,,
